	featureCounts HCT116 KO 47 A: Counts
ENSG00000223972	1.070424982
ENSG00000227232	88.8452735
ENSG00000278267	4.281699928
ENSG00000243485	0
ENSG00000237613	0
ENSG00000268020	0
ENSG00000240361	3.211274946
ENSG00000186092	1.070424982
ENSG00000238009	11.7746748
ENSG00000239945	0
ENSG00000233750	9.633824838
ENSG00000268903	139.1552477
ENSG00000269981	50.30997415
ENSG00000239906	0
ENSG00000241860	1.070424982
ENSG00000222623	0
ENSG00000241599	0
ENSG00000279928	2.140849964
ENSG00000279457	206.5920215
ENSG00000273874	0
ENSG00000228463	7.492974874
ENSG00000241670	0
ENSG00000236679	6.422549892
ENSG00000236743	0
ENSG00000236601	0
ENSG00000237094	5.35212491
ENSG00000269732	0
ENSG00000278566	0
ENSG00000224813	0
ENSG00000233653	0
ENSG00000250575	6.422549892
ENSG00000278757	0
ENSG00000230021	2.140849964
ENSG00000235146	0
ENSG00000225972	132.7326978
ENSG00000225630	357.521944
ENSG00000237973	719.3255879
ENSG00000278791	0
ENSG00000229344	808.1708614
ENSG00000240409	0
ENSG00000248527	4608.179547
ENSG00000198744	754.6496123
ENSG00000268663	0
ENSG00000273547	0
ENSG00000283574	0
ENSG00000229376	0
ENSG00000228327	57.80294903
ENSG00000223181	0
ENSG00000229905	0
ENSG00000237491	12.84509978
ENSG00000230092	7.492974874
ENSG00000177757	0
ENSG00000228794	424.9587178
ENSG00000225880	7.492974874
ENSG00000230368	0
ENSG00000234711	0
ENSG00000283040	2.140849964
ENSG00000272438	3.211274946
ENSG00000230699	8.563399856
ENSG00000241180	0
ENSG00000223764	18.19722469
ENSG00000187634	79.21144867
ENSG00000188976	10433.4323
ENSG00000187961	1141.073031
ENSG00000187583	180.901822
ENSG00000187642	83.49314859
ENSG00000272512	42.81699928
ENSG00000188290	1102.537731
ENSG00000187608	3857.811635
ENSG00000231702	0
ENSG00000224969	1.070424982
ENSG00000188157	2777.752828
ENSG00000242590	0
ENSG00000217801	268.6766705
ENSG00000273443	6.422549892
ENSG00000237330	325.4091945
ENSG00000131591	618.7056396
ENSG00000223823	2.140849964
ENSG00000207730	0
ENSG00000207607	0
ENSG00000198976	6.422549892
ENSG00000272141	37.46487437
ENSG00000205231	1.070424982
ENSG00000162571	17.12679971
ENSG00000186891	188.3947968
ENSG00000186827	3.211274946
ENSG00000078808	2678.203305
ENSG00000176022	325.4091945
ENSG00000184163	1.070424982
ENSG00000260179	3.211274946
ENSG00000160087	1091.833482
ENSG00000230415	1.070424982
ENSG00000162572	36.39444939
ENSG00000131584	1336.960802
ENSG00000278073	0
ENSG00000169972	901.2978348
ENSG00000127054	4433.700275
ENSG00000240731	118.817173
ENSG00000224051	755.7200373
ENSG00000169962	10.70424982
ENSG00000107404	6100.351972
ENSG00000162576	20.33807466
ENSG00000175756	4097.586831
ENSG00000223663	1.070424982
ENSG00000221978	2750.992204
ENSG00000224870	499.8884666
ENSG00000242485	3066.767573
ENSG00000264293	0
ENSG00000272455	127.3805729
ENSG00000235098	0
ENSG00000225905	0
ENSG00000205116	0
ENSG00000225285	0
ENSG00000179403	1017.974158
ENSG00000215915	24.61977459
ENSG00000160072	2966.147625
ENSG00000197785	4891.842168
ENSG00000205090	26.76062455
ENSG00000160075	5377.815109
ENSG00000215014	6.422549892
ENSG00000279244	0
ENSG00000274481	0
ENSG00000228594	181.9722469
ENSG00000272106	38.53529935
ENSG00000197530	2515.498708
ENSG00000189409	3.211274946
ENSG00000248333	2424.512584
ENSG00000272004	2.140849964
ENSG00000189339	721.4664378
ENSG00000269737	2.140849964
ENSG00000215914	0
ENSG00000008128	23.5493496
ENSG00000268575	19.26764968
ENSG00000227775	11.7746748
ENSG00000215790	32.11274946
ENSG00000008130	2185.807813
ENSG00000078369	12342.00004
ENSG00000231050	4.281699928
ENSG00000169885	3.211274946
ENSG00000178821	384.2825685
ENSG00000142609	53.5212491
ENSG00000233542	2.140849964
ENSG00000187730	353.2402441
ENSG00000226969	1.070424982
ENSG00000067606	672.2268887
ENSG00000271806	2.140849964
ENSG00000182873	22.47892462
ENSG00000162585	1272.735304
ENSG00000234396	0
ENSG00000157933	2166.540164
ENSG00000116151	153.0707724
ENSG00000272161	0
ENSG00000269896	42.81699928
ENSG00000272420	7.492974874
ENSG00000157916	3628.740689
ENSG00000157911	302.9302699
ENSG00000149527	10.70424982
ENSG00000224387	0
ENSG00000229393	0
ENSG00000157881	736.4523876
ENSG00000197921	0
ENSG00000272449	0
ENSG00000238164	0
ENSG00000157873	0
ENSG00000225931	0
ENSG00000228037	0
ENSG00000157870	178.760972
ENSG00000142606	6.422549892
ENSG00000237058	3.211274946
ENSG00000215912	1.070424982
ENSG00000283259	0
ENSG00000233234	0
ENSG00000231630	0
ENSG00000169717	1.070424982
ENSG00000177133	27.83104953
ENSG00000142611	315.7753697
ENSG00000283572	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000130762	1388.341202
ENSG00000272088	0
ENSG00000162591	345.7472692
ENSG00000207776	0
ENSG00000238260	5.35212491
ENSG00000158109	1419.383526
ENSG00000116213	2002.765141
ENSG00000078900	525.5786661
ENSG00000227589	9.633824838
ENSG00000235131	0
ENSG00000227372	6.422549892
ENSG00000276189	0
ENSG00000162592	2.140849964
ENSG00000235169	7.492974874
ENSG00000130764	2423.442159
ENSG00000266075	0
ENSG00000272153	6.422549892
ENSG00000116198	1045.805207
ENSG00000169598	406.7614931
ENSG00000198912	1382.989077
ENSG00000236423	4.281699928
ENSG00000233304	0
ENSG00000226374	0
ENSG00000229280	0
ENSG00000235054	4.281699928
ENSG00000227169	0
ENSG00000232596	4.281699928
ENSG00000196581	16.05637473
ENSG00000231510	1.070424982
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	1.070424982
ENSG00000264341	0
ENSG00000264101	0
ENSG00000131697	409.9727681
ENSG00000069424	404.6206432
ENSG00000116254	813.5229863
ENSG00000116251	16492.0377
ENSG00000226944	0
ENSG00000158286	198.0286217
ENSG00000116237	4280.629503
ENSG00000225077	36.39444939
ENSG00000173673	0
ENSG00000158292	119.887598
ENSG00000097021	4096.516406
ENSG00000271746	0
ENSG00000069812	286.8738952
ENSG00000187017	2055.215965
ENSG00000265392	0
ENSG00000231868	6.422549892
ENSG00000215788	372.5078937
ENSG00000171680	769.635562
ENSG00000162408	1767.271645
ENSG00000253022	1.070424982
ENSG00000229519	0
ENSG00000173662	2.140849964
ENSG00000204859	645.4662641
ENSG00000162413	2090.53999
ENSG00000116273	889.52316
ENSG00000041988	492.3954917
ENSG00000007923	2407.385784
ENSG00000228750	2.140849964
ENSG00000237436	2.140849964
ENSG00000171735	844.5653108
ENSG00000227950	0
ENSG00000237365	0
ENSG00000207056	0
ENSG00000237402	2.140849964
ENSG00000237728	0
ENSG00000225126	1.070424982
ENSG00000270171	0
ENSG00000270035	1.070424982
ENSG00000269978	3.211274946
ENSG00000049245	3797.867836
ENSG00000269925	8.563399856
ENSG00000049246	120.958023
ENSG00000236266	3.211274946
ENSG00000049247	64.22549892
ENSG00000049249	5.35212491
ENSG00000270330	0
ENSG00000116288	7132.241655
ENSG00000200344	1.070424982
ENSG00000116285	27509.92204
ENSG00000238290	8.563399856
ENSG00000232848	0
ENSG00000229305	2.140849964
ENSG00000227634	7.492974874
ENSG00000200975	0
ENSG00000233645	0
ENSG00000251977	1.070424982
ENSG00000162426	414.254468
ENSG00000252254	0
ENSG00000142599	889.52316
ENSG00000232912	1.070424982
ENSG00000221083	0
ENSG00000270282	0
ENSG00000234619	11.7746748
ENSG00000224315	2.140849964
ENSG00000222511	0
ENSG00000226545	2.140849964
ENSG00000228423	0
ENSG00000229716	0
ENSG00000074800	89299.1337
ENSG00000274258	0
ENSG00000236269	2.140849964
ENSG00000230679	0
ENSG00000201725	0
ENSG00000238249	22.47892462
ENSG00000232208	1.070424982
ENSG00000232663	0
ENSG00000131686	2.140849964
ENSG00000265141	2.140849964
ENSG00000197241	4.281699928
ENSG00000142583	6.422549892
ENSG00000252404	0
ENSG00000180758	279.3809203
ENSG00000228526	36.39444939
ENSG00000234546	3.211274946
ENSG00000281937	3.211274946
ENSG00000049239	272.9583704
ENSG00000171621	415.324893
ENSG00000252956	0
ENSG00000235263	0
ENSG00000171612	1480.39775
ENSG00000231181	0
ENSG00000188807	1255.608504
ENSG00000171608	260.1132706
ENSG00000179840	1.070424982
ENSG00000233268	1.070424982
ENSG00000231789	87.77484852
ENSG00000171603	6419.338617
ENSG00000271264	1.070424982
ENSG00000280113	0
ENSG00000178585	621.9169145
ENSG00000223989	0
ENSG00000162441	1182.819605
ENSG00000228150	7.492974874
ENSG00000173614	325.4091945
ENSG00000202415	5.35212491
ENSG00000283611	2.140849964
ENSG00000265521	0
ENSG00000241326	0
ENSG00000162444	1014.762883
ENSG00000130939	2133.356989
ENSG00000224340	0
ENSG00000233623	0
ENSG00000201746	2.140849964
ENSG00000054523	1674.144672
ENSG00000264881	0
ENSG00000199562	3.211274946
ENSG00000264501	0
ENSG00000142657	6367.958218
ENSG00000271989	0
ENSG00000251503	0
ENSG00000175279	71.71847379
ENSG00000241563	4.281699928
ENSG00000160049	2889.077026
ENSG00000203469	0
ENSG00000142655	945.1852591
ENSG00000243267	1.070424982
ENSG00000130940	120.958023
ENSG00000272078	14.98594975
ENSG00000225158	0
ENSG00000175262	2.140849964
ENSG00000215785	0
ENSG00000120948	4394.094551
ENSG00000277726	0
ENSG00000009724	23.5493496
ENSG00000271895	12.84509978
ENSG00000116649	6388.296292
ENSG00000171824	3153.471997
ENSG00000226849	8.563399856
ENSG00000230337	3.211274946
ENSG00000198793	2094.82169
ENSG00000225602	3.211274946
ENSG00000253086	0
ENSG00000171819	1.070424982
ENSG00000207451	0
ENSG00000238173	1.070424982
ENSG00000120942	692.5649633
ENSG00000238199	11.7746748
ENSG00000224338	2.140849964
ENSG00000204624	23.5493496
ENSG00000235643	2.140849964
ENSG00000116661	913.0725096
ENSG00000132879	483.8320919
ENSG00000116663	1038.312233
ENSG00000116670	2108.737214
ENSG00000162490	17.12679971
