ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa03010	Ribosome	-3.43799933853656	4.23833278983319e-07	7.29242553544828e-06	5/83	158/18122	51187/6164/6130/6218/6208	RSL24D1/RPL34/RPL7A/RPS17/RPS14	5
KEGG_hsa03460	Fanconi anemia pathway	0.0519219307622087	0.00114428600177968	0.00283647165695386	2/83	54/18122	57697/2178	FANCM/FANCE	2
KEGG_hsa00670	One carbon pool by folate	-0.867972510671793	0.00373243448700871	0.0069316640473019	1/83	20/18122	160428	ALDH1L2	1
KEGG_hsa00053	Ascorbate and aldarate metabolism	-0.957645847839908	0.00451101510025095	0.00819547774424474	1/83	30/18122	7365	UGT2B10	1
KEGG_hsa00040	Pentose and glucuronate interconversions	-0.957645847839908	0.00535792765853941	0.00927333633208745	1/83	34/18122	7365	UGT2B10	1
KEGG_hsa04950	Maturity onset diabetes of the young	-1.09469891919712	0.00535792765853941	0.00927333633208745	1/83	26/18122	3087	HHEX	1
KEGG_hsa05150	Staphylococcus aureus infection	-0.105794088707267	0.00611380892429443	0.0103970297113728	2/83	96/18122	3122/3880	HLA-DRA/KRT19	2
KEGG_hsa05310	Asthma	-0.882534588719688	0.00675361608912828	0.0110668498939497	1/83	31/18122	3122	HLA-DRA	1
KEGG_hsa04130	SNARE interactions in vesicular transport	0.95873573309921	0.00725163210364999	0.0116544087380089	1/83	33/18122	112755	STX1B	1
KEGG_hsa00500	Starch and sucrose metabolism	-2.2421967242893	0.0105731490640356	0.0159004940937296	1/83	36/18122	277	AMY1B	1
KEGG_hsa00760	Nicotinate and nicotinamide metabolism	-0.723108594956253	0.0111808871244501	0.0166010633700591	1/83	35/18122	83594	NUDT12	1
KEGG_hsa00860	Porphyrin and chlorophyll metabolism	-0.957645847839908	0.0111808871244501	0.0166010633700591	1/83	43/18122	7365	UGT2B10	1
KEGG_hsa05330	Allograft rejection	-0.882534588719688	0.0111808871244501	0.0166010633700591	1/83	38/18122	3122	HLA-DRA	1
KEGG_hsa05332	Graft-versus-host disease	-0.882534588719688	0.0118036981181339	0.0173496567816792	1/83	42/18122	3122	HLA-DRA	1
KEGG_hsa04940	Type I diabetes mellitus	-0.882534588719688	0.0144427394434032	0.0203101023422858	1/83	43/18122	3122	HLA-DRA	1
KEGG_hsa03040	Spliceosome	-0.718385758832612	0.0165731656009075	0.0229203354055104	1/83	147/18122	10772	SRSF10	1
KEGG_hsa04930	Type II diabetes mellitus	-0.906239593109503	0.0173113390992589	0.0237726135517992	1/83	46/18122	8471	IRS4	1
KEGG_hsa04973	Carbohydrate digestion and absorption	-2.2421967242893	0.0173113390992589	0.0237726135517992	1/83	47/18122	277	AMY1B	1
KEGG_hsa04672	Intestinal immune network for IgA production	-0.882534588719688	0.0180632950572811	0.0246317659872016	1/83	49/18122	3122	HLA-DRA	1
KEGG_hsa05320	Autoimmune thyroid disease	-0.882534588719688	0.0188288949581165	0.0255566207668171	1/83	53/18122	3122	HLA-DRA	1
KEGG_hsa04371	Apelin signaling pathway	-1.16910383649507	0.0236478228881382	0.0310881323787268	2/83	138/18122	7019/4209	TFAM/MEF2D	2
KEGG_hsa00140	Steroid hormone biosynthesis	-0.957645847839908	0.0237013795571148	0.0310881323787268	1/83	61/18122	7365	UGT2B10	1
KEGG_hsa04923	Regulation of lipolysis in adipocytes	-0.906239593109503	0.0254285658992683	0.0331307595792248	1/83	57/18122	8471	IRS4	1
KEGG_hsa03018	RNA degradation	-1.13063485816354	0.0272055111203353	0.0350555594832515	1/83	79/18122	2023	ENO1	1
KEGG_hsa05416	Viral myocarditis	-0.882534588719688	0.0272055111203353	0.0350555594832515	1/83	60/18122	3122	HLA-DRA	1
KEGG_hsa03015	mRNA surveillance pathway	-1.10120795616239	0.0281123207700402	0.0359862311826554	1/83	98/18122	53918	PELO	1
KEGG_hsa04978	Mineral absorption	0.891707789652145	0.0290311848819739	0.036920093817293	1/83	60/18122	4494	MT1F	1
KEGG_hsa00830	Retinol metabolism	-0.957645847839908	0.0299619768932675	0.0376132113359689	1/83	68/18122	7365	UGT2B10	1
KEGG_hsa00982	Drug metabolism	-0.957645847839908	0.0299619768932675	0.0376132113359689	1/83	72/18122	7365	UGT2B10	1
KEGG_hsa05204	Chemical carcinogenesis	-0.957645847839908	0.0299619768932675	0.0376132113359689	1/83	69/18122	7365	UGT2B10	1
KEGG_hsa04213	Longevity regulating pathway	-0.906239593109503	0.0309045711227344	0.038630713903418	1/83	62/18122	8471	IRS4	1
KEGG_hsa00010	Glycolysis / Gluconeogenesis	-1.13063485816354	0.031858842765609	0.0394860657158502	1/83	67/18122	2023	ENO1	1
KEGG_hsa04721	Synaptic vesicle cycle	0.95873573309921	0.031858842765609	0.0394860657158502	1/83	78/18122	112755	STX1B	1
KEGG_hsa05321	Inflammatory bowel disease	-0.882534588719688	0.031858842765609	0.0394860657158502	1/83	65/18122	3122	HLA-DRA	1
KEGG_hsa00980	Metabolism of xenobiotics by cytochrome P450	-0.957645847839908	0.0347904871636729	0.0424009062307264	1/83	78/18122	7365	UGT2B10	1
KEGG_hsa04612	Antigen processing and presentation	-0.882534588719688	0.0347904871636729	0.0424009062307264	1/83	78/18122	3122	HLA-DRA	1
KEGG_hsa01230	Biosynthesis of amino acids	-1.13063485816354	0.0368010547069594	0.0444806136437423	1/83	75/18122	2023	ENO1	1
