ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_1623	FA core complex 1 (Fanconi anemia core complex 1)	0.951439556779995	7.2971236025813e-06	4.08638921744553e-05	1/16	5/18122	2178	FANCE	1
CORUM_3083	FA core complex 1 (Fanconi anemia core complex 1)	0.951439556779995	7.2971236025813e-06	4.08638921744553e-05	1/16	5/18122	2178	FANCE	1
CORUM_248	BRAFT complex	0.951439556779995	1.53081786325142e-05	6.12327145300569e-05	1/16	11/18122	2178	FANCE	1
CORUM_1625	FA core complex (Fanconi anemia core complex)	0.951439556779995	1.53081786325142e-05	6.12327145300569e-05	1/16	7/18122	2178	FANCE	1
CORUM_1152	FA complex (Fanconi anemia complex)	0.951439556779995	2.04003927127741e-05	7.78924085396831e-05	1/16	8/18122	2178	FANCE	1
CORUM_244	BRAFT complex	0.951439556779995	2.62155680217037e-05	8.4696450531658e-05	1/16	13/18122	2178	FANCE	1
CORUM_245	FA core complex (Fanconi anemia core complex)	0.951439556779995	2.62155680217037e-05	8.4696450531658e-05	1/16	9/18122	2178	FANCE	1
CORUM_1624	FA core complex (Fanconi anemia core complex)	0.951439556779995	2.62155680217037e-05	8.4696450531658e-05	1/16	9/18122	2178	FANCE	1
CORUM_2739	FA complex (Fanconi anemia complex)	0.951439556779995	2.62155680217037e-05	8.4696450531658e-05	1/16	11/18122	2178	FANCE	1
CORUM_6884	Fanconi anemia FAAP100 complex	0.951439556779995	3.27525837096545e-05	9.17072343870325e-05	1/16	10/18122	2178	FANCE	1
CORUM_5614	Emerin complex 32	0.747267718204111	0.000110900859019273	0.000238863388656895	1/16	22/18122	90665	TBL1Y	1
