ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0061395	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	-1.75694920417333	0	0	1/186	1/18122	468	ATF4	1
GO:0070982	L-asparagine metabolic process	-1.75694920417333	0	0	1/186	1/18122	468	ATF4	1
GO:0061586	positive regulation of transcription by transcription factor localization	-1.50224659203412	0	0	1/186	1/18122	688	KLF5	1
GO:0099156	cell-cell signaling via exosome	-1.50224659203412	0	0	1/186	1/18122	688	KLF5	1
GO:1904871	positive regulation of protein localization to Cajal body	-1.30161450003808	0	0	1/186	11/18122	51574	LARP7	1
GO:0048034	heme O biosynthetic process	-1.61484273855761	0	0	1/186	1/18122	1352	COX10	1
GO:0000494	box C/D RNA 3'-end processing	-1.30161450003808	0	0	1/186	3/18122	51574	LARP7	1
GO:0018160	peptidyl-pyrromethane cofactor linkage	-1.54866346812886	0	0	1/186	1/18122	3145	HMBS	1
GO:1901986	response to ketamine	-1.62881730256645	0	0	1/186	1/18122	3208	HPCA	1
GO:1904009	cellular response to monosodium glutamate	-1.62881730256645	0	0	1/186	1/18122	3208	HPCA	1
GO:1904010	response to Aroclor 1254	-1.62881730256645	0	0	1/186	1/18122	3208	HPCA	1
GO:1901389	negative regulation of transforming growth factor beta activation	-1.469271190313	0	0	1/186	1/18122	3326	HSP90AB1	1
GO:0032011	ARF protein signal transduction	-1.09294798568274	0	0	1/186	1/18122	4650	MYO9B	1
GO:0045002	double-strand break repair via single-strand annealing	-1.13639479095271	0	0	1/186	1/18122	5893	RAD52	1
GO:0051878	lateral element assembly	-1.27046683420912	0	0	1/186	1/18122	6847	SYCP1	1
GO:0034247	snoRNA splicing	-1.19876627827279	0	0	1/186	2/18122	140432	RNF113B	1
GO:0021972	corticospinal neuron axon guidance through spinal cord	-1.3894219785241	0	0	1/186	1/18122	9353	SLIT2	1
GO:0050929	induction of negative chemotaxis	-1.3894219785241	0	0	1/186	1/18122	9353	SLIT2	1
GO:0085032	modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade	-1.22762927423654	0	0	1/186	1/18122	10318	TNIP1	1
GO:0018395	peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine	-2.00677785393344	0	0	1/186	1/18122	23210	JMJD6	1
GO:0070078	histone H3-R2 demethylation	-2.00677785393344	0	0	1/186	1/18122	23210	JMJD6	1
GO:0070079	histone H4-R3 demethylation	-2.00677785393344	0	0	1/186	1/18122	23210	JMJD6	1
GO:1902607	negative regulation of large conductance calcium-activated potassium channel activity	-1.17961312923616	0	0	1/186	1/18122	51185	CRBN	1
GO:1990438	U6 2'-O-snRNA methylation	-1.30161450003808	0	0	1/186	1/18122	51574	LARP7	1
GO:0030954	astral microtubule nucleation	-1.18486786992613	0	0	1/186	1/18122	55835	CENPJ	1
GO:0032788	saturated monocarboxylic acid metabolic process	-1.19876627827279	0	0	1/186	1/18122	122970	ACOT4	1
GO:0032789	unsaturated monocarboxylic acid metabolic process	-1.19876627827279	0	0	1/186	1/18122	122970	ACOT4	1
GO:0002946	tRNA C5-cytosine methylation	-1.53575508339045	0	0	1/186	1/18122	221078	NSUN6	1
GO:0042774	plasma membrane ATP synthesis coupled electron transport	-1.40134033965425	0	0	1/186	1/18122	388753	COA6	1
GO:0150138	negative regulation of interleukin-37 production	-1.59961160612292	0	0	1/186	1/18122	724027	MIR657	1
GO:0051414	response to cortisol	-3.55557371632611	4.22390106751706e-06	0.000156532804266809	2/186	4/18122	790/9353	CAD/SLIT2	2
GO:0035385	Roundabout signaling pathway	-1.88128463947806	1.04798005523698e-05	0.000366793019332944	2/186	5/18122	4650/9353	MYO9B/SLIT2	2
GO:0008535	respiratory chain complex IV assembly	-2.28583932963703	1.04798005523698e-05	0.000366793019332944	2/186	6/18122	388753/1352	COA6/COX10	2
GO:0045943	positive regulation of transcription by RNA polymerase I	-2.37893394626109	3.61263628110035e-05	0.00111022480833816	2/186	13/18122	387496/468	RASL11A/ATF4	2
GO:1902949	positive regulation of tau-protein kinase activity	-1.93943270286849	3.61263628110035e-05	0.00111022480833816	2/186	8/18122	3326/4665	HSP90AB1/NAB2	2
GO:0033554	cellular response to stress	-5.12144479111073	5.73651501263876e-05	0.00130721059001018	2/186	9/18122	5971/5052	RELB/PRDX1	2
GO:0042775	mitochondrial ATP synthesis coupled electron transport	-2.14103189435508	8.53974415659483e-05	0.00130721059001018	2/186	10/18122	388753/4731	COA6/NDUFV3	2
GO:0071676	negative regulation of mononuclear cell migration	-1.3894219785241	0.00010478434094526	0.00130721059001018	1/186	2/18122	9353	SLIT2	1
GO:0014901	satellite cell activation involved in skeletal muscle regeneration	-1.50224659203412	0.00010478434094526	0.00130721059001018	1/186	2/18122	688	KLF5	1
GO:0006784	heme A biosynthetic process	-1.61484273855761	0.00010478434094526	0.00130721059001018	1/186	2/18122	1352	COX10	1
