ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_236	WICH complex	1.47037125222879	0	0	2/566	2/18122	8467/9031	SMARCA5/BAZ1B	2
CORUM_1508	BCL6-ZBTB17 complex	1.38217986117407	0	0	1/566	2/18122	604	BCL6	1
CORUM_1813	MAD1L1 homodimer complex	1.21014924995019	0	0	1/566	1/18122	8379	MAD1L1	1
CORUM_1814	MAD1L1-MAD2L1 complex	1.21014924995019	0	0	1/566	2/18122	8379	MAD1L1	1
CORUM_2013	STAT5B homodimer complex	1.0087472585858	0	0	1/566	1/18122	6777	STAT5B	1
CORUM_2124	IKK-alpha--ER-alpha-AIB1 complex	2.03077595360533	0	0	3/566	3/18122	2099/1147/8202	ESR1/CHUK/NCOA3	3
CORUM_2628	CCNC-CDK3 complex	2.36885202088237	0	0	2/566	2/18122	1018/892	CDK3/CCNC	2
CORUM_2820	BRCA1-VCP complex	1.05121312308579	0	0	1/566	2/18122	672	BRCA1	1
CORUM_2824	BRCA1-RAD51 complex	1.05121312308579	0	0	1/566	2/18122	672	BRCA1	1
CORUM_5542	CCNB2-CDC2 complex	1.10330260899302	0	0	1/566	2/18122	9133	CCNB2	1
CORUM_5918	KSR1 homo-oligomer complex	1.17755768489378	0	0	1/566	1/18122	8844	KSR1	1
CORUM_6507	SERCA-PLN complex	3.84569529641156	0	0	1/566	2/18122	5350	PLN	1
CORUM_6747	AQP1 homotetramer	0.969398813240201	0	0	1/566	1/18122	358	AQP1	1
CORUM_7542	KNL1-MIS12-NDC80-SPC24-ZWINT complex	1.84913867195722	0	0	2/566	5/18122	11130/57082	ZWINT/KNL1	2
CORUM_306	Ribosome, cytoplasmic	3.13199668690523	3.55747776639393e-06	9.5203578071419e-05	5/566	80/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
CORUM_5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	3.1799718319058	4.59228301309739e-06	0.000121034489413377	3/566	25/18122	51187/6164/6130	RSL24D1/RPL34/RPL7A	3
CORUM_2105	IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)	1.97299270150378	1.34353219933949e-05	0.00034881705384344	3/566	6/18122	4792/1147/8518	NFKBIA/CHUK/ELP1	3
CORUM_6332	Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)	1.81528397039384	1.34353219933949e-05	0.00034881705384344	3/566	6/18122	55140/8518/54859	ELP3/ELP1/ELP6	3
CORUM_2716	Elongator core complex	1.42195293215992	3.03108072767155e-05	0.000695180081419161	2/566	3/18122	55140/8518	ELP3/ELP1	2
CORUM_5473	DISC complex (FAS, FADD, CASP8)	2.00918094647427	3.03108072767155e-05	0.000695180081419161	2/566	3/18122	841/8772	CASP8/FADD	2
