ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0072432	response to G1 DNA damage checkpoint signaling	0.900862466620685	0	0	1/566	1/18122	317	APAF1	1
GO:0085018	maintenance of symbiont-containing vacuole by host	0.969398813240201	0	0	1/566	1/18122	358	AQP1	1
GO:0019102	male somatic sex determination	0.898615251849007	0	0	1/566	1/18122	367	AR	1
GO:0060520	activation of prostate induction by androgen receptor signaling pathway	0.898615251849007	0	0	1/566	1/18122	367	AR	1
GO:0043380	regulation of memory T cell differentiation	1.38217986117407	0	0	1/566	1/18122	604	BCL6	1
GO:1903464	negative regulation of mitotic cell cycle DNA replication	1.38217986117407	0	0	1/566	1/18122	604	BCL6	1
GO:0070512	positive regulation of histone H4-K20 methylation	1.05121312308579	0	0	1/566	1/18122	672	BRCA1	1
GO:1901341	positive regulation of store-operated calcium channel activity	1.02872342311547	0	0	1/566	1/18122	844	CASQ1	1
GO:2000986	negative regulation of behavioral fear response	1.5522951700597	0	0	1/566	1/18122	885	CCK	1
GO:0045023	G0 to G1 transition	2.22329560874039	0	0	1/566	1/18122	1018	CDK3	1
GO:0034352	positive regulation of glial cell apoptotic process	0.901213356756474	0	0	1/566	1/18122	1020	CDK5	1
GO:0014056	regulation of acetylcholine secretion, neurotransmission	1.19642828330499	0	0	1/566	1/18122	1136	CHRNA3	1
GO:0010034	response to acetate	1.2651677440453	0	0	1/566	1/18122	1147	CHUK	1
GO:0034670	chemotaxis to arachidonic acid	0.954151494701217	0	0	1/566	1/18122	1385	CREB1	1
GO:0055025	positive regulation of cardiac muscle tissue development	0.954151494701217	0	0	1/566	1/18122	1385	CREB1	1
GO:0008216	spermidine metabolic process	1.50428411813494	0	0	1/566	1/18122	1725	DHPS	1
GO:0000495	box H/ACA RNA 3'-end processing	1.06102262946446	0	0	1/566	2/18122	5073	PARN	1
GO:0051545	negative regulation of elastin biosynthetic process	1.11581880532832	0	0	1/566	1/18122	1839	HBEGF	1
GO:0031583	phospholipase D-activating G protein-coupled receptor signaling pathway	0.917250184556611	0	0	1/566	1/18122	1906	EDN1	1
GO:0042313	protein kinase C deactivation	0.917250184556611	0	0	1/566	1/18122	1906	EDN1	1
GO:0043179	rhythmic excitation	0.917250184556611	0	0	1/566	1/18122	1906	EDN1	1
GO:0045933	positive regulation of muscle contraction	1.2512920815281	0	0	1/566	1/18122	2023	ENO1	1
GO:1902251	negative regulation of erythrocyte apoptotic process	1.08302419347411	0	0	1/566	1/18122	2056	EPO	1
GO:0033384	geranyl diphosphate biosynthetic process	1.23014401093126	0	0	1/566	2/18122	2224	FDPS	1
GO:0045337	farnesyl diphosphate biosynthetic process	1.23014401093126	0	0	1/566	2/18122	2224	FDPS	1
GO:1905000	regulation of membrane repolarization during atrial cardiac muscle cell action potential	1.04774972929534	0	0	1/566	1/18122	2316	FLNA	1
GO:1905031	regulation of membrane repolarization during cardiac muscle cell action potential	1.04774972929534	0	0	1/566	1/18122	2316	FLNA	1
GO:0043207	response to external biotic stimulus	0.91711737268771	0	0	1/566	1/18122	2922	GRP	1
GO:0035732	nitric oxide storage	0.994696392510364	0	0	1/566	1/18122	2950	GSTP1	1
GO:0070663	regulation of leukocyte proliferation	1.14231143918798	0	0	1/566	1/18122	3087	HHEX	1
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	1.08680311358451	0	0	1/566	1/18122	3122	HLA-DRA	1
GO:0010720	positive regulation of cell development	1.07148826537066	0	0	1/566	1/18122	3207	HOXA11	1
GO:0009087	methionine catabolic process	1.29915210211819	0	0	1/566	1/18122	4143	MAT1A	1
GO:0006049	UDP-N-acetylglucosamine catabolic process	1.2039582490456	0	0	1/566	1/18122	4245	MGAT1	1
GO:0002149	hypochlorous acid biosynthetic process	1.23632827469618	0	0	1/566	1/18122	4353	MPO	1
GO:1990268	response to gold nanoparticle	1.23632827469618	0	0	1/566	1/18122	4353	MPO	1
GO:0055073	cadmium ion homeostasis	1.16308624155982	0	0	1/566	1/18122	4504	MT3	1
GO:0031645	negative regulation of nervous system process	1.14885263048438	0	0	1/566	1/18122	4887	NPY2R	1
GO:0035494	SNARE complex disassembly	1.25502123658429	0	0	1/566	3/18122	63908	NAPB	1
GO:0009451	RNA modification	1.06102262946446	0	0	1/566	1/18122	5073	PARN	1
GO:0110008	ncRNA deadenylation	1.06102262946446	0	0	1/566	1/18122	5073	PARN	1
GO:0006558	L-phenylalanine metabolic process	1.20636944438121	0	0	1/566	1/18122	5092	PCBD1	1
GO:0072214	metanephric cortex development	1.18062247822846	0	0	1/566	1/18122	5311	PKD2	1
GO:0072219	metanephric cortical collecting duct development	1.18062247822846	0	0	1/566	1/18122	5311	PKD2	1
GO:0072235	metanephric distal tubule development	1.18062247822846	0	0	1/566	1/18122	5311	PKD2	1
GO:1902081	negative regulation of calcium ion import into sarcoplasmic reticulum	3.84569529641156	0	0	1/566	2/18122	5350	PLN	1
GO:0060121	vestibular receptor cell stereocilium organization	0.895238445785292	0	0	1/566	1/18122	5357	PLS1	1
GO:0050906	detection of stimulus involved in sensory perception	1.56371005179528	0	0	2/566	2/18122	5470/5475	PPEF2/PPEF1	2
GO:0043538	regulation of actin phosphorylation	0.926073055379023	0	0	1/566	1/18122	5756	TWF1	1
GO:0072663	establishment of protein localization to peroxisome	0.974334588489591	0	0	1/566	1/18122	5824	PEX19	1
GO:1900131	negative regulation of lipid binding	0.974334588489591	0	0	1/566	3/18122	5824	PEX19	1
GO:0031034	myosin filament assembly	1.38053522049974	0	0	1/566	1/18122	5910	RAP1GDS1	1
GO:1901827	zeaxanthin biosynthetic process	0.944370567388457	0	0	1/566	1/18122	6121	RPE65	1
GO:1905226	regulation of adhesion of symbiont to host epithelial cell	0.892932091926181	0	0	1/566	1/18122	6441	SFTPD	1
GO:0042137	sequestering of neurotransmitter	1.29078027635258	0	0	1/566	1/18122	6571	SLC18A2	1
GO:0006638	neutral lipid metabolic process	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0010517	regulation of phospholipase activity	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0035543	positive regulation of SNARE complex assembly	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0050812	regulation of acyl-CoA biosynthetic process	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0051585	negative regulation of dopamine uptake involved in synaptic transmission	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0051622	negative regulation of norepinephrine uptake	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:1903284	positive regulation of glutathione peroxidase activity	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:1904307	response to desipramine	0.895908068497932	0	0	1/566	1/18122	6622	SNCA	1
GO:0046544	development of secondary male sexual characteristics	1.0087472585858	0	0	1/566	1/18122	6777	STAT5B	1
GO:0097531	mast cell migration	1.0087472585858	0	0	1/566	1/18122	6777	STAT5B	1
GO:0007057	spindle assembly involved in female meiosis I	1.10330260899302	0	0	1/566	3/18122	9133	CCNB2	1
GO:0033316	meiotic spindle assembly checkpoint signaling	2.08090253928699	0	0	1/566	1/18122	7272	TTK	1
GO:1903096	protein localization to meiotic spindle midzone	2.08090253928699	0	0	1/566	1/18122	7272	TTK	1
GO:1903006	positive regulation of protein K63-linked deubiquitination	0.919720499843335	0	0	1/566	2/18122	29997	NOP53	1
GO:0021503	neural fold bending	1.24062772882141	0	0	1/566	1/18122	7798	LUZP1	1
GO:2000612	regulation of thyroid-stimulating hormone secretion	1.78033973762312	0	0	1/566	1/18122	7849	PAX8	1
GO:0007618	mating	0.952501619434674	0	0	1/566	1/18122	7932	OR2H2	1
GO:0010966	regulation of phosphate transport	1.35955253860073	0	0	1/566	1/18122	8074	FGF23	1
GO:0072677	eosinophil migration	0.941076123842843	0	0	1/566	1/18122	8288	EPX	1
GO:0002926	tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation	1.42195293215992	0	0	2/566	2/18122	55140/8518	ELP3/ELP1	2
GO:2000454	positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	1.33160251140628	0	0	1/566	1/18122	8772	FADD	1
GO:0032901	positive regulation of neurotrophin production	1.16115150109459	0	0	1/566	1/18122	9001	HAP1	1
GO:0008315	G2/MI transition of meiotic cell cycle	1.10330260899302	0	0	1/566	1/18122	9133	CCNB2	1
