ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa05216	Thyroid cancer	3.64986212978602	8.7756745883929e-05	0.00190816074331368	6/566	37/18122	7170/4893/5605/7849/51176/10342	TPM3/NRAS/MAP2K2/PAX8/LEF1/TFG	6
KEGG_hsa05221	Acute myeloid leukemia	3.87607738001086	0.000158113690238305	0.00305598626855036	8/566	67/18122	6777/1147/4353/1050/4893/5605/8900/51176	STAT5B/CHUK/MPO/CEBPA/NRAS/MAP2K2/CCNA1/LEF1	8
KEGG_hsa03010	Ribosome	4.21085286572559	0.000736024595555287	0.00759619600986055	7/566	158/18122	51187/6164/6130/55168/6218/6170/6208	RSL24D1/RPL34/RPL7A/MRPS18A/RPS17/RPL39/RPS14	7
KEGG_hsa05134	Legionellosis	3.62963295240797	0.00110440959147119	0.00856094923201565	6/566	57/18122	841/4792/10767/836/56681/317	CASP8/NFKBIA/HBS1L/CASP3/SAR1A/APAF1	6
KEGG_hsa05161	Hepatitis B	5.18718651259641	0.00110487674767894	0.00856094923201565	12/566	162/18122	841/4792/6777/4772/1147/836/4893/5605/8772/8900/317/1385	CASP8/NFKBIA/STAT5B/NFATC1/CHUK/CASP3/NRAS/MAP2K2/FADD/CCNA1/APAF1/CREB1	12
KEGG_hsa00983	Drug metabolism	3.57918125275322	0.00134984925573122	0.0103667230920285	7/566	80/18122	1807/2950/7367/4353/10/7365/3615	DPYS/GSTP1/UGT2B17/MPO/NAT2/UGT2B10/IMPDH2	7
KEGG_hsa01524	Platinum drug resistance	4.11813214348412	0.00148320268280252	0.0112189378692181	7/566	73/18122	841/672/2950/836/5980/8772/317	CASP8/BRCA1/GSTP1/CASP3/REV3L/FADD/APAF1	7
KEGG_hsa04215	Apoptosis	3.19752807752262	0.00217844123567411	0.0137280105712579	4/566	32/18122	841/836/8772/317	CASP8/CASP3/FADD/APAF1	4
KEGG_hsa05215	Prostate cancer	3.59563525090598	0.00267639008435544	0.0137280105712579	8/566	97/18122	4792/2950/1147/4893/5605/51176/367/1385	NFKBIA/GSTP1/CHUK/NRAS/MAP2K2/LEF1/AR/CREB1	8
KEGG_hsa00670	One carbon pool by folate	2.20587162674965	0.00306224262257927	0.0144900451887271	3/566	20/18122	10797/160428/441024	MTHFD2/ALDH1L2/MTHFD2L	3
KEGG_hsa00053	Ascorbate and aldarate metabolism	2.0517881840095	0.0044006940338025	0.0198316250564753	3/566	30/18122	7367/501/7365	UGT2B17/ALDH7A1/UGT2B10	3
