ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5619055	Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	0.895675408119799	0	0	1/566	1/18122	123041	SLC24A4	1
REACTOME_4085023	Defective GFPT1 causes CMSTA1	1.14699364967465	0	0	1/566	1/18122	2673	GFPT1	1
REACTOME_5579024	Defective MAT1A causes MATD	1.29915210211819	0	0	1/566	1/18122	4143	MAT1A	1
REACTOME_9629232	Defective Base Excision Repair Associated with NEIL3	1.49767432117185	0	0	1/566	1/18122	55247	NEIL3	1
REACTOME_9636003	NEIL3-mediated resolution of ICLs	1.49767432117185	0	0	1/566	2/18122	55247	NEIL3	1
REACTOME_5619095	Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	0.924163256233236	0	0	1/566	1/18122	6578	SLCO2A1	1
REACTOME_170145	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	1.20157690038459	0	0	1/566	3/18122	8900	CCNA1	1
REACTOME_72689	Formation of a pool of free 40S subunits	3.49741174507342	1.43946842266903e-05	0.000370956343886337	6/566	101/18122	6164/6130/27335/6218/6170/6208	RPL34/RPL7A/EIF3K/RPS17/RPL39/RPS14	6
REACTOME_156827	L13a-mediated translational silencing of Ceruloplasmin expression	3.49741174507342	3.04201416539442e-05	0.000695180081419161	6/566	111/18122	6164/6130/27335/6218/6170/6208	RPL34/RPL7A/EIF3K/RPS17/RPL39/RPS14	6
REACTOME_72706	GTP hydrolysis and joining of the 60S ribosomal subunit	3.49741174507342	3.04201416539442e-05	0.000695180081419161	6/566	112/18122	6164/6130/27335/6218/6170/6208	RPL34/RPL7A/EIF3K/RPS17/RPL39/RPS14	6
REACTOME_933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	2.97142966075005	3.0519439436532e-05	0.000695180081419161	4/566	13/18122	841/1147/89122/8772	CASP8/CHUK/TRIM4/FADD	4
REACTOME_156902	Peptide chain elongation	3.13199668690523	4.39996640874633e-05	0.000987579557163128	5/566	90/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_192823	Viral mRNA Translation	3.13199668690523	7.52582674629554e-05	0.00164668875788441	5/566	100/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	3.13199668690523	7.52582674629554e-05	0.00164668875788441	5/566	95/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_72764	Eukaryotic Translation Termination	3.13199668690523	9.64260421423062e-05	0.00208364099759679	5/566	96/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_204626	Hypusine synthesis from eIF5A-lysine	1.98493559308121	0.000118417744615975	0.00231446816583696	2/566	4/18122	1984/1725	EIF5A/DHPS	2
REACTOME_2408557	Selenocysteine synthesis	3.13199668690523	0.000189417276118199	0.00362078408579789	5/566	93/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_75157	FasL/ CD95L signaling	2.00918094647427	0.000289155937020292	0.00515883848663383	2/566	5/18122	841/8772	CASP8/FADD	2
REACTOME_9693928	Defective RIPK1-mediated regulated necrosis	2.00918094647427	0.000289155937020292	0.00515883848663383	2/566	5/18122	841/8772	CASP8/FADD	2
REACTOME_1461973	Defensins	4.0971114567031	0.000487779755806635	0.00759619600986055	5/566	42/18122	414325/503841/245913/503614/504180	DEFB103A/DEFB106B/DEFB110/DEFB107B/DEFB105B	5
REACTOME_5357905	Regulation of TNFR1 signaling	3.23274234008143	0.000487779755806635	0.00759619600986055	5/566	37/18122	841/1147/1540/8887/8772	CASP8/CHUK/CYLD/TAX1BP1/FADD	5
REACTOME_9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	3.13199668690523	0.000487779755806635	0.00759619600986055	5/566	104/18122	6164/6130/6218/6170/6208	RPL34/RPL7A/RPS17/RPL39/RPS14	5
REACTOME_5357786	TNFR1-induced proapoptotic signaling	2.54685940030019	0.000537612810967685	0.00759619600986055	3/566	13/18122	841/1540/8772	CASP8/CYLD/FADD	3
REACTOME_9013957	TLR3-mediated TICAM1-dependent programmed cell death	2.00918094647427	0.00056487655204719	0.00759619600986055	2/566	6/18122	841/8772	CASP8/FADD	2
