ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_2581	RasGAP-AURKA-survivin complex	-1.13874853373375	0	0	1/448	3/18122	5921	RASA1	1
CORUM_3080	ILF3-XPO5 complex	-0.995815359221781	0	0	1/448	2/18122	57510	XPO5	1
CORUM_3151	Sulphiredoxin-peroxiredoxin complex	-4.37121900059129	0	0	2/448	2/18122	5052/140809	PRDX1/SRXN1	2
CORUM_5253	MNK1-eIF4F complex	-0.926092758140645	0	0	1/448	4/18122	8569	MKNK1	1
CORUM_6756	RasGAP-AURKB-survivin complex	-1.13874853373375	0	0	1/448	3/18122	5921	RASA1	1
CORUM_6893	Gamma-tubulin complex	-1.43209838296175	0	0	1/448	6/18122	85378	TUBGCP6	1
CORUM_5118	RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2)	-1.64875236951829	0.0002839296306317	0.00580427848528798	2/448	6/18122	1874/2033	E2F4/EP300	2
CORUM_6344	TNF-R1-associated signaling complex	-1.99388175926226	0.000405066857493757	0.00580427848528798	3/448	15/18122	23118/7186/10318	TAB2/TRAF2/TNIP1	3
CORUM_1154	DSS1 complex	-1.65145335622804	0.000487757730697633	0.00580427848528798	2/448	13/18122	114823/1749	LENG8/DLX5	2
CORUM_5212	Kinase maturation complex 2	-1.59821989713933	0.000487757730697633	0.00580427848528798	2/448	8/18122	7186/3326	TRAF2/HSP90AB1	2
CORUM_5268	TNF-alpha/NF-kappa B signaling complex 7	-1.47226087155042	0.000487757730697633	0.00580427848528798	2/448	8/18122	23118/3326	TAB2/HSP90AB1	2
CORUM_13	MUS81-CDS1 complex	-0.891979725610949	0.00060981380355519	0.00580427848528798	1/448	2/18122	80198	MUS81	1
CORUM_429	Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)	-0.939484079246239	0.00060981380355519	0.00580427848528798	1/448	2/18122	30849	PIK3R4	1
CORUM_472	Prolyl 4-hydroxylase (alpha(I)-type)	-1.10821044174755	0.00060981380355519	0.00580427848528798	1/448	2/18122	5033	P4HA1	1
CORUM_873	SNARE complex (STX1A, SNAP29)	-1.23315147967113	0.00060981380355519	0.00580427848528798	1/448	2/18122	9342	SNAP29	1
CORUM_1158	p33ING1b-p300 complex	-0.910871768996431	0.00060981380355519	0.00580427848528798	1/448	2/18122	2033	EP300	1
CORUM_1160	ING1-p300-PCNA complex	-0.910871768996431	0.00060981380355519	0.00580427848528798	1/448	3/18122	2033	EP300	1
CORUM_1661	E2F4-p107-cyclinA complex	-1.2646700254885	0.00060981380355519	0.00580427848528798	1/448	3/18122	1874	E2F4	1
CORUM_2204	MCM8-ORC2-CDC6 complex	-0.975839721655816	0.00060981380355519	0.00580427848528798	1/448	3/18122	4999	ORC2	1
CORUM_2578	Sam68-p120GAP complex	-1.13874853373375	0.00060981380355519	0.00580427848528798	1/448	2/18122	5921	RASA1	1
CORUM_2642	SMAD1-P300 complex	-0.910871768996431	0.00060981380355519	0.00580427848528798	1/448	2/18122	2033	EP300	1
CORUM_2744	TRAF2-MALT1 complex	-1.12907218690567	0.00060981380355519	0.00580427848528798	1/448	2/18122	7186	TRAF2	1
CORUM_3046	hs4 enhancer complex (slow migrating complex)	-1.08942153124129	0.00060981380355519	0.00580427848528798	1/448	2/18122	5971	RELB	1
CORUM_4089	SMAD6-HOXC8 complex	-0.907545955178791	0.00060981380355519	0.00580427848528798	1/448	2/18122	3224	HOXC8	1
CORUM_5099	RB1(hypophosphorylated)-E2F4 complex	-1.2646700254885	0.00060981380355519	0.00580427848528798	1/448	2/18122	1874	E2F4	1
CORUM_5160	E2F4-p130 complex	-1.2646700254885	0.00060981380355519	0.00580427848528798	1/448	2/18122	1874	E2F4	1
CORUM_5375	EGR-EP300 complex	-0.910871768996431	0.00060981380355519	0.00580427848528798	1/448	2/18122	2033	EP300	1
CORUM_5529	TRAF2-cIAP1/BIRC2 complex	-1.12907218690567	0.00060981380355519	0.00580427848528798	1/448	2/18122	7186	TRAF2	1
CORUM_5540	TRAF2-TRADD complex	-1.12907218690567	0.00060981380355519	0.00580427848528798	1/448	2/18122	7186	TRAF2	1
CORUM_5550	CDK1-CCNB1-CCNF complex	-1.37981834281945	0.00060981380355519	0.00580427848528798	1/448	3/18122	899	CCNF	1
CORUM_5685	Membrane protein complex (VCP, UFD1L, SEC61B)	-1.38561292619282	0.00060981380355519	0.00580427848528798	1/448	3/18122	7353	UFD1	1
CORUM_5849	HSP90-CDC37-LRRK2 complex	-0.979791610524317	0.00060981380355519	0.00580427848528798	1/448	3/18122	3326	HSP90AB1	1
CORUM_5922	RAF1-RAS complex, EGF induced	-1.22386160386517	0.00060981380355519	0.00580427848528798	1/448	2/18122	5894	RAF1	1
CORUM_5923	RAF1-BRAF complex, RAS stimulated	-1.22386160386517	0.00060981380355519	0.00580427848528798	1/448	2/18122	5894	RAF1	1
CORUM_5924	RAF1-CNK1 complex, RAS stimulated	-1.22386160386517	0.00060981380355519	0.00580427848528798	1/448	2/18122	5894	RAF1	1
CORUM_6280	NUB1L-UFD1-NPL4-NEDD8 complex	-1.38561292619282	0.00060981380355519	0.00580427848528798	1/448	4/18122	7353	UFD1	1
CORUM_6359	RHAMM-beta-catenin complex	-1.39518765105838	0.00060981380355519	0.00580427848528798	1/448	2/18122	3161	HMMR	1
CORUM_6394	CNOT1-CNOT2-CNOT3 complex	-1.27978892544411	0.00060981380355519	0.00580427848528798	1/448	3/18122	23019	CNOT1	1
CORUM_6426	ATF4-CREB1 complex	-1.09326963043957	0.00060981380355519	0.00580427848528798	1/448	2/18122	468	ATF4	1
CORUM_6440	CHRNA2-CHRNB4 complex	-1.54278926610992	0.00060981380355519	0.00580427848528798	1/448	2/18122	1135	CHRNA2	1
CORUM_6526	SPG10-SPG33 complex	-1.24630631839005	0.00060981380355519	0.00580427848528798	1/448	2/18122	3798	KIF5A	1
CORUM_6600	NPHP1-PKD1 complex	-1.10894318321183	0.00060981380355519	0.00580427848528798	1/448	2/18122	5310	PKD1	1
CORUM_6668	GLIS3-SUFU complex	-1.11060351590433	0.00060981380355519	0.00580427848528798	1/448	2/18122	169792	GLIS3	1
CORUM_6675	PI4K2A-PRDX1 complex	-4.8599944609327	0.00060981380355519	0.00580427848528798	1/448	2/18122	5052	PRDX1	1
CORUM_6706	CAPN1-HSP90AB1 complex	-0.979791610524317	0.00060981380355519	0.00580427848528798	1/448	2/18122	3326	HSP90AB1	1
CORUM_6712	KCNQ2-KCNQ3 complex	-0.935276928845382	0.00060981380355519	0.00580427848528798	1/448	2/18122	3786	KCNQ3	1
CORUM_6717	KCNQ3-KCNQ5 complex	-0.935276928845382	0.00060981380355519	0.00580427848528798	1/448	2/18122	3786	KCNQ3	1
CORUM_6844	NIF-1-DBC1-EMSY complex	-0.957140410426844	0.00060981380355519	0.00580427848528798	1/448	3/18122	56946	EMSY	1
CORUM_6875	CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase	-1.05273837521721	0.00060981380355519	0.00580427848528798	1/448	4/18122	51185	CRBN	1
CORUM_6972	Serine-palmitoyltransferase (SPTLC1, SPTLC3, ssSPTa) complex	-1.1784970274403	0.00060981380355519	0.00580427848528798	1/448	3/18122	171546	SPTSSA	1
