ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0140018	regulation of cytoplasmic translational fidelity	-1.11757139886138	0	0	1/448	1/18122	16	AARS1	1
GO:0061395	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	-1.09326963043957	0	0	1/448	1/18122	468	ATF4	1
GO:0070982	L-asparagine metabolic process	-1.09326963043957	0	0	1/448	1/18122	468	ATF4	1
GO:0061586	positive regulation of transcription by transcription factor localization	-0.906563748644575	0	0	1/448	1/18122	688	KLF5	1
GO:0099156	cell-cell signaling via exosome	-0.906563748644575	0	0	1/448	1/18122	688	KLF5	1
GO:1904871	positive regulation of protein localization to Cajal body	-0.974921393562343	0	0	1/448	11/18122	51574	LARP7	1
GO:0099105	ion channel modulating, G protein-coupled receptor signaling pathway	-0.987885478382832	0	0	1/448	1/18122	1258	CNGB1	1
GO:1902311	regulation of copper ion transmembrane transport	-0.959251807081917	0	0	1/448	1/18122	1318	SLC31A2	1
GO:0048034	heme O biosynthetic process	-0.955431882089446	0	0	1/448	1/18122	1352	COX10	1
GO:0097376	interneuron axon guidance	-1.27796550168101	0	0	1/448	1/18122	1749	DLX5	1
GO:0001966	thigmotaxis	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0002209	behavioral defense response	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0036268	swimming	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0061921	peptidyl-lysine propionylation	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0140066	peptidyl-lysine crotonylation	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0140067	peptidyl-lysine butyrylation	-0.910871768996431	0	0	1/448	1/18122	2033	EP300	1
GO:0000494	box C/D RNA 3'-end processing	-0.974921393562343	0	0	1/448	3/18122	51574	LARP7	1
GO:0045660	positive regulation of neutrophil differentiation	-0.986527161648591	0	0	1/448	1/18122	2124	EVI2B	1
GO:0019322	pentose biosynthetic process	-3.20223862458014	0	0	2/448	2/18122	2539/5226	G6PD/PGD	2
GO:0014004	microglia differentiation	-1.18475003926463	0	0	1/448	1/18122	2629	GBA	1
GO:1901805	beta-glucoside catabolic process	-1.18475003926463	0	0	1/448	2/18122	2629	GBA	1
GO:1904457	positive regulation of neuronal action potential	-1.18475003926463	0	0	1/448	1/18122	2629	GBA	1
GO:0009304	tRNA transcription	-0.903421567314423	0	0	1/448	2/18122	2975	GTF3C1	1
GO:0018160	peptidyl-pyrromethane cofactor linkage	-0.955463141163278	0	0	1/448	1/18122	3145	HMBS	1
GO:1901986	response to ketamine	-1.15974279679914	0	0	1/448	1/18122	3208	HPCA	1
GO:1904009	cellular response to monosodium glutamate	-1.15974279679914	0	0	1/448	1/18122	3208	HPCA	1
GO:1904010	response to Aroclor 1254	-1.15974279679914	0	0	1/448	1/18122	3208	HPCA	1
GO:1901389	negative regulation of transforming growth factor beta activation	-0.979791610524317	0	0	1/448	1/18122	3326	HSP90AB1	1
GO:0006428	isoleucyl-tRNA aminoacylation	-1.18542739305312	0	0	1/448	2/18122	3376	IARS1	1
GO:1990134	epithelial cell apoptotic process involved in palatal shelf morphogenesis	-0.91088249472291	0	0	1/448	1/18122	3714	JAG2	1
GO:0072497	mesenchymal stem cell differentiation	-1.2060562823198	0	0	1/448	1/18122	3875	KRT18	1
GO:1902488	cholangiocyte apoptotic process	-1.2060562823198	0	0	1/448	1/18122	3875	KRT18	1
