ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5083627	Defective LARGE causes MDDGA6 and MDDGB6	-0.896325590860994	0	0	1/448	2/18122	9215	LARGE1	1
REACTOME_3229133	Glycogen storage disease type Ib (SLC37A4)	-0.898247714953749	0	0	1/448	1/18122	2542	SLC37A4	1
REACTOME_8985586	SLIT2:ROBO1 increases RHOA activity	-1.61730647677744	5.89331502361962e-05	0.00143349431176377	2/448	4/18122	4650/9353	MYO9B/SLIT2	2
REACTOME_189451	Heme biosynthesis	-2.27186475736625	0.00030294034491547	0.00580427848528798	3/448	14/18122	3145/7389/1352	HMBS/UROD/COX10	3
REACTOME_5357956	TNFR1-induced NFkappaB signaling pathway	-2.69796927188875	0.000554611370449293	0.00580427848528798	4/448	30/18122	23118/81858/7186/7128	TAB2/SHARPIN/TRAF2/TNFAIP3	4
REACTOME_141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	-3.00601080142433	0.000605701430423392	0.00580427848528798	6/448	96/18122	5527/140735/11004/100527963/64946/81565	PPP2R5C/DYNLL2/KIF2C/PMF1-BGLAP/CENPH/NDEL1	6
REACTOME_5619113	Defective SLC3A1 causes cystinuria (CSNU)	-0.957675656472425	0.00060981380355519	0.00580427848528798	1/448	2/18122	11136	SLC7A9	1
REACTOME_5660883	Defective SLC7A9 causes cystinuria (CSNU)	-0.957675656472425	0.00060981380355519	0.00580427848528798	1/448	2/18122	11136	SLC7A9	1
REACTOME_381042	PERK regulates gene expression	-1.09326963043957	0.00060981380355519	0.00580427848528798	1/448	9/18122	468	ATF4	1
REACTOME_6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	-2.31303580962167	0.000856193009935504	0.00778276483425802	3/448	20/18122	23019/55571/55835	CNOT1/CNOT11/CENPJ	3
REACTOME_9013695	NOTCH4 Intracellular Domain Regulates Transcription	-2.457565970623	0.00106349120864597	0.0095677787846334	3/448	26/18122	59/2033/23493	ACTA2/EP300/HEY2	3
REACTOME_9619229	Activation of RAC1 downstream of NMDARs	-1.36011869643129	0.00112812220720914	0.00994488939039739	2/448	15/18122	10645/84254	CAMKK2/CAMKK1	2
REACTOME_2408522	Selenoamino acid metabolism	-1.8692645847254	0.00112812220720914	0.00994488939039739	2/448	11/18122	51520/3376	LARS1/IARS1	2
REACTOME_8951936	RUNX3 regulates p14-ARF	-1.43387964842999	0.00112812220720914	0.00994488939039739	2/448	10/18122	6046/2033	BRD2/EP300	2
REACTOME_379716	Cytosolic tRNA aminoacylation	-2.30956022040994	0.00130362025814582	0.0104120732957693	3/448	24/18122	16/51520/3376	AARS1/LARS1/IARS1	3
REACTOME_6799198	Complex I biogenesis	-3.00709928948413	0.00139698884823096	0.0104120732957693	5/448	57/18122	55744/4731/137682/4728/4710	COA1/NDUFV3/NDUFAF6/NDUFS8/NDUFB4	5
REACTOME_5621575	CD209 (DC-SIGN) signaling	-2.07762612356347	0.00157919583679935	0.0104120732957693	3/448	21/18122	5971/5894/2033	RELB/RAF1/EP300	3
REACTOME_442729	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	-1.36011869643129	0.00158213503111268	0.0104120732957693	2/448	16/18122	10645/84254	CAMKK2/CAMKK1	2
REACTOME_5250971	Toxicity of botulinum toxin type C (botC)	-0.954429130403299	0.00179942187905568	0.0104120732957693	1/448	4/18122	112755	STX1B	1
REACTOME_139910	Activation of BMF and translocation to mitochondria	-1.04728899226563	0.00179942187905568	0.0104120732957693	1/448	3/18122	140735	DYNLL2	1
REACTOME_392023	Adrenaline signalling through Alpha-2 adrenergic receptor	-1.37128097584179	0.00179942187905568	0.0104120732957693	1/448	3/18122	151	ADRA2B	1
REACTOME_6806664	Metabolism of vitamin K	-0.95541462827037	0.00179942187905568	0.0104120732957693	1/448	3/18122	29914	UBIAD1	1
REACTOME_500753	Pyrimidine biosynthesis	-3.10013305026603	0.00179942187905568	0.0104120732957693	1/448	3/18122	790	CAD	1
REACTOME_9674519	Defective F8 sulfation at Y1699	-0.925093391670632	0.00179942187905568	0.0104120732957693	1/448	3/18122	8459	TPST2	1
REACTOME_75896	Plasmalogen biosynthesis	-1.18889405569701	0.00179942187905568	0.0104120732957693	1/448	3/18122	25979	DHRS7B	1
REACTOME_9014843	Interleukin-33 signaling	-0.970156343624981	0.00179942187905568	0.0104120732957693	1/448	3/18122	3556	IL1RAP	1
REACTOME_71336	Pentose phosphate pathway	-3.20223862458014	0.00213570756312901	0.0121177187221165	2/448	12/18122	2539/5226	G6PD/PGD	2
REACTOME_68877	Mitotic Prometaphase	-3.00601080142433	0.00251467634123961	0.0141816240810836	6/448	113/18122	5527/140735/11004/100527963/64946/81565	PPP2R5C/DYNLL2/KIF2C/PMF1-BGLAP/CENPH/NDEL1	6
REACTOME_9679504	Translation of Replicase and Assembly of the Replication Transcription Complex	-1.55402305958668	0.00279567195466887	0.0153644983784835	2/448	18/18122	30849/51652	PIK3R4/CHMP3	2
REACTOME_9694676	Translation of Replicase and Assembly of the Replication Transcription Complex	-1.55402305958668	0.00279567195466887	0.0153644983784835	2/448	16/18122	30849/51652	PIK3R4/CHMP3	2
REACTOME_111932	CaMK IV-mediated phosphorylation of CREB	-1.36011869643129	0.00279567195466887	0.0153644983784835	2/448	18/18122	10645/84254	CAMKK2/CAMKK1	2
