Gene	DMSO	PTX	EntrezID	Symbol	HumanGene	GeneID	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
BCCIP	-0.028117223214556	1.46470185058259	56647	BCCIP	BCCIP	56647	-0.028117223214556	1.46470185058259	1.49281907379715	18072	19		top	78
VWA9	-0.0938966425479095	0.828459370954231	81556	VWA9	VWA9	81556	-0.0938966425479095	0.828459370954231	0.92235601350214	17630	9327		top	354
FBXO22	-0.633768278284036	0.280831619830934	26263	FBXO22	FBXO22	26263	-0.633768278284036	0.280831619830934	0.914599898114971	17611	15089		top	521
ADAM33	-0.170887953740426	0.764031680755464	80332	ADAM33	ADAM33	80332	-0.170887953740426	0.764031680755464	0.93491963449589	17659	13298		top	384
hsa-mir-943	0.00841906088220157	1.07687914096413	100126332	hsa-mir-943	hsa-mir-943	100126332	0.00841906088220157	1.07687914096413	1.06846008008193	17854	17982		top	229
PARN	-0.076558384547849	0.98446424491661	5073	PARN	PARN	5073	-0.076558384547849	0.98446424491661	1.06102262946446	17840	5944		top	281
ZNF684	0.00843480366928037	0.901111872667733	127396	ZNF684	ZNF684	127396	0.00843480366928037	0.901111872667733	0.892677068998453	17562	6408		top	322
FOCAD	-0.0254300505585662	0.9215977457924	54914	FOCAD	FOCAD	54914	-0.0254300505585662	0.9215977457924	0.947027796350966	17671	7632		top	312
PKD2	-0.699585238109655	0.481037240118803	5311	PKD2	PKD2	5311	-0.699585238109655	0.481037240118803	1.18062247822846	17948	15492		top	484
CPD	-0.035260815597469	0.914286802223745	1362	CPD	CPD	1362	-0.035260815597469	0.914286802223745	0.949547617821215	17675	5043		top	316
XKR8	-0.0365051012685053	0.97441169750971	55113	XKR8	XKR8	55113	-0.0365051012685053	0.97441169750971	1.01091679877822	17772	7492		top	288
TMEM60	-0.686779086312858	0.256857817378722	85025	TMEM60	TMEM60	85025	-0.686779086312858	0.256857817378722	0.94363690369158	17667	7624		top	524
CASP8	0.326995852381097	1.64652349402178	841	CASP8	CASP8	841	0.326995852381097	1.64652349402178	1.31952764164068	18025	7001		top	40
ADTRP	-0.310193454633526	0.852638793694311	84830	ADTRP	ADTRP	84830	-0.310193454633526	0.852638793694311	1.16283224832784	17936	1718		top	343
VPS53	0.0861312100753837	1.17036021628208	55275	VPS53	VPS53	55275	0.0861312100753837	1.17036021628208	1.0842290062067	17870	13211		top	165
RAB43	-0.0722533377736066	1.09450917675729	339122	RAB43	RAB43	339122	-0.0722533377736066	1.09450917675729	1.1667625145309	17939	5401		top	219
CHML	0.0188135387968878	1.12634224354581	1122	CHML	CHML	1122	0.0188135387968878	1.12634224354581	1.10752870474892	17895	6307		top	198
NXPE2	-0.0519269776876268	1.00826288934582	120406	NXPE2	NXPE2	120406	-0.0519269776876268	1.00826288934582	1.06018986703345	17839	16580		top	267
CHRNA3	-0.126783930247343	1.06964435305765	1136	CHRNA3	CHRNA3	1136	-0.126783930247343	1.06964435305765	1.19642828330499	17959	17776		top	235
CCDC151	-0.422936029790197	0.836036859340492	115948	CCDC151	CCDC151	115948	-0.422936029790197	0.836036859340492	1.25897288913069	17999	14860		top	352
SPINT3	-0.232944809421453	0.840796588226335	10816	SPINT3	SPINT3	10816	-0.232944809421453	0.840796588226335	1.07374139764779	17861	903		top	349
PELO	-1.10120795616239	0.69035107760262	53918	PELO	PELO	53918	-1.10120795616239	0.69035107760262	1.79155903376501	18101	6345		top	410
SMCR8	-0.309830159547092	0.616784707943036	140775	SMCR8	SMCR8	140775	-0.309830159547092	0.616784707943036	0.926614867490128	17641	9098		top	444
ST8SIA6	-0.157682177348551	0.967443454420836	338596	ST8SIA6	ST8SIA6	338596	-0.157682177348551	0.967443454420836	1.12512563176939	17911	15565		top	291
TMPRSS11D	-0.25531167690957	0.743507729799711	9407	TMPRSS11D	TMPRSS11D	9407	-0.25531167690957	0.743507729799711	0.99881940670928	17749	15105		top	390
DUSP12	-0.0178771457116042	1.03369888051177	11266	DUSP12	DUSP12	11266	-0.0178771457116042	1.03369888051177	1.05157602622337	17830	4580		top	249
PRKAG3	-0.148884381338742	0.751237529510319	53632	PRKAG3	PRKAG3	53632	-0.148884381338742	0.751237529510319	0.900121910849062	17580	8636		top	386
NFKBIA	-0.152723199418728	0.737034498514965	4792	NFKBIA	NFKBIA	4792	-0.152723199418728	0.737034498514965	0.889757697933693	17557	3783		top	393
SRSF10	-0.718385758832612	0.285576117584342	10772	SRSF10	SRSF10	10772	-0.718385758832612	0.285576117584342	1.00396187641695	17758	14186		top	520
ZNF318	0.136105476673428	1.15855608864519	24149	ZNF318	ZNF318	24149	0.136105476673428	1.15855608864519	1.02245061197176	17788	12057		top	177
ZNF385B	0.143371378402107	1.24678242327317	151126	ZNF385B	ZNF385B	151126	0.143371378402107	1.24678242327317	1.10341104487106	17888	7981		top	140
STAT5B	-0.490660288819594	0.518086969766202	6777	STAT5B	STAT5B	6777	-0.490660288819594	0.518086969766202	1.0087472585858	17767	8457		top	477
C18orf21	-0.913959613696225	0.0453240423425482	83608	C18orf21	C18orf21	83608	-0.913959613696225	0.0453240423425482	0.959283656038773	17693	11686		top	545
C8orf46	-0.439950349671521	0.697052775873886	254778	C8orf46	C8orf46	254778	-0.439950349671521	0.697052775873886	1.13700312554541	17915	17581		top	405
FGF13	-0.548272834609912	0.489033584647019	2258	FGF13	FGF13	2258	-0.548272834609912	0.489033584647019	1.03730641925693	17809	13686		top	481
OR51M1	0.516302867003724	1.58167694768106	390059	OR51M1	OR51M1	390059	0.516302867003724	1.58167694768106	1.06537408067734	17846	3034		top	53
HBS1L	-0.532166752444673	0.796664381996802	10767	HBS1L	HBS1L	10767	-0.532166752444673	0.796664381996802	1.32883113444147	18030	6478		top	364
DLAT	-0.691047803578457	0.654177138070216	1737	DLAT	DLAT	1737	-0.691047803578457	0.654177138070216	1.34522494164867	18035	10202		top	427
TRAM1L1	0.343041385365263	1.28291828497449	133022	TRAM1L1	TRAM1L1	133022	0.343041385365263	1.28291828497449	0.939876899609225	17664	1242		top	125
RSL24D1	-1.09533468559838	1.01047140354885	51187	RSL24D1	RSL24D1	51187	-1.09533468559838	1.01047140354885	2.10580608914723	18115	10399		top	266
POTEE	-0.523175199055433	0.550338892696672	445582	POTEE	POTEE	445582	-0.523175199055433	0.550338892696672	1.0735140917521	17860	16846		top	465
DDX1	-0.0781901849777482	0.991622877160917	1653	DDX1	DDX1	1653	-0.0781901849777482	0.991622877160917	1.06981306213867	17856	16834		top	274
CYB5R4	-0.214110986648906	0.895209808849288	51167	CYB5R4	CYB5R4	51167	-0.214110986648906	0.895209808849288	1.10932079549819	17899	9818		top	327.5
CBWD2	1.79007598922225	3.82606046759577	150472	CBWD2	CBWD2	150472	1.79007598922225	3.82606046759577	2.03598447837352	18112	8135		top	2
TFDP2	-0.544791256698253	0.714492422511614	7029	TFDP2	TFDP2	7029	-0.544791256698253	0.714492422511614	1.25928367920987	18000	14716		top	399
NPY2R	0.359752959341225	1.5086055898256	4887	NPY2R	NPY2R	4887	0.359752959341225	1.5086055898256	1.14885263048438	17924	13030		top	65
EPX	-0.0622778601919409	0.878798263650903	8288	EPX	EPX	8288	-0.0622778601919409	0.878798263650903	0.941076123842843	17666	13875		top	335
CLCNKA	-0.050449577669462	0.912116365851801	1187	CLCNKA	CLCNKA	1187	-0.050449577669462	0.912116365851801	0.962565943521263	17702	6012		top	318
ADAMTSL2	-0.434107353698041	0.525321757672683	9719	ADAMTSL2	ADAMTSL2	9719	-0.434107353698041	0.525321757672683	0.959429111370724	17694	17065		top	475
TBC1D26	-0.256110926099725	0.78406061990709	353149	TBC1D26	TBC1D26	353149	-0.256110926099725	0.78406061990709	1.04017154600681	17813	2672		top	371
TTC39C	0.0603614786110018	0.989528596451146	125488	TTC39C	TTC39C	125488	0.0603614786110018	0.989528596451146	0.929167117840144	17648	12071		top	276
STEAP4	0.232669310647574	1.29891097403092	79689	STEAP4	STEAP4	79689	0.232669310647574	1.29891097403092	1.06624166338335	17849	1855		top	120
PI16	0.225796978595864	1.23535907394715	221476	PI16	PI16	221476	0.225796978595864	1.23535907394715	1.00956209535128	17769	9486		top	146
SLC18A2	0.117147528079683	1.40792780443226	6571	SLC18A2	SLC18A2	6571	0.117147528079683	1.40792780443226	1.29078027635258	18017	4416		top	87
TTK	-0.122711997820229	1.95819054146676	7272	TTK	TTK	7272	-0.122711997820229	1.95819054146676	2.08090253928699	18114	6564		top	17
BRCA1	-0.581332687475402	0.469880435610388	672	BRCA1	BRCA1	672	-0.581332687475402	0.469880435610388	1.05121312308579	17828	10154		top	488
INTS12	-0.612878810814084	0.389878912497144	57117	INTS12	INTS12	57117	-0.612878810814084	0.389878912497144	1.00275772331123	17754	18022		top	509
AADAC	0.344857860797433	1.50681593176453	13	AADAC	AADAC	13	0.344857860797433	1.50681593176453	1.16195807096709	17935	18035		top	67
COL18A1	-0.137719112349005	0.895438275835809	80781	COL18A1	COL18A1	80781	-0.137719112349005	0.895438275835809	1.03315738818481	17801	2992		top	326
SNPH	-0.247083043201841	0.649912420988501	9751	SNPH	SNPH	9751	-0.247083043201841	0.649912420988501	0.896995464190341	17575	11992		top	428
NUDT3	0.567678847143592	1.76696367374914	11165	NUDT3	NUDT3	11165	0.567678847143592	1.76696367374914	1.19928482660555	17962	4443		top	28
NASP	-0.0632496745481517	0.919084608940675	4678	NASP	NASP	4678	-0.0632496745481517	0.919084608940675	0.982334283488827	17731	15158		top	314
C1orf64	0.328509581907905	1.35077297997106	149563	C1orf64	C1orf64	149563	0.328509581907905	1.35077297997106	1.02226339806316	17787	6537		top	105
GPR128	0.235499984862705	1.1519305460361	84873	GPR128	GPR128	84873	0.235499984862705	1.1519305460361	0.916430561173393	17616	6617		top	181
B3GALT4	0.0212645696466955	0.944863300586399	8705	B3GALT4	B3GALT4	8705	0.0212645696466955	0.944863300586399	0.923598730939703	17634	15887		top	306
CDK3	-0.0676334352577881	2.1556621734826	1018	CDK3	CDK3	1018	-0.0676334352577881	2.1556621734826	2.22329560874039	18117	7778		top	11
ZFP14	-0.469710272168569	0.444368288782271	57677	ZFP14	ZFP14	57677	-0.469710272168569	0.444368288782271	0.91407856095084	17609	1816		top	493
TRAIP	-0.406133632042627	1.29788287259158	10293	TRAIP	TRAIP	10293	-0.406133632042627	1.29788287259158	1.7040165046342	18095	241		top	121
CDHR1	-0.423420423238776	0.592034117736654	92211	CDHR1	CDHR1	92211	-0.423420423238776	0.592034117736654	1.01545454097543	17780	10722		top	455
TSPYL4	0.387454209681814	1.33497068007006	23270	TSPYL4	TSPYL4	23270	0.387454209681814	1.33497068007006	0.947516470388249	17673	5392		top	111
CYP3A43	-0.0322454663800672	1.04584570862844	64816	CYP3A43	CYP3A43	64816	-0.0322454663800672	1.04584570862844	1.0780911750085	17864	6520		top	242
CASQ1	-0.991311192516121	0.0374122305993451	844	CASQ1	CASQ1	844	-0.991311192516121	0.0374122305993451	1.02872342311547	17795	7099		top	546
