id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CAD	3	2.0783e-07	2.2852e-07	0.001238	1	3	-1.0374	1.0	1.0	1.0	21326	0	0
CMPK1	3	4.3421e-06	6.8557e-07	0.002122	2	2	-0.82503	0.998	0.99818	1.0	21271	0	0
CHMP6	3	6.0759e-06	6.8557e-07	0.002122	3	2	-1.6064	0.99688	0.99666	1.0	21241	0	0
PRDX1	2	6.4558e-06	6.8557e-07	0.002122	4	2	-1.8515	0.99999	1.0	1.0	21325	0	0
SPTSSA	3	9.8279e-06	1.1426e-06	0.003094	5	3	-0.65815	0.99999	1.0	1.0	21324	0	0
GPN2	3	1.3215e-05	1.5997e-06	0.00385	6	2	-1.7261	0.99823	0.99839	1.0	21279	0	0
USB1	3	1.4429e-05	2.0567e-06	0.004455	7	2	-0.87653	0.73007	0.71406	0.999836	15421	0	0
ALG2	3	1.7241e-05	7.5413e-06	0.012211	8	2	-0.9936	0.99662	0.99631	1.0	21237	0	0
PNN	3	1.8157e-05	7.5413e-06	0.012211	9	3	-0.69011	0.99991	0.99998	1.0	21321	0	0
POLR3H	3	2.5777e-05	7.9983e-06	0.012211	10	3	-1.9801	0.99968	0.99974	1.0	21312	0	0
SYS1	3	2.6054e-05	7.9983e-06	0.012211	11	2	-0.73909	0.99731	0.99731	1.0	21251	0	0
NUP133	3	2.9197e-05	8.4554e-06	0.012211	12	2	-1.7284	0.78922	0.78265	1.0	16677	0	0
WBP4	3	3.2938e-05	1.3483e-05	0.018255	13	3	-0.71977	0.99997	0.99999	1.0	21323	0	0
hsa-mir-622	4	3.8006e-05	4.0906e-05	0.046639	14	3	-0.99351	0.95709	0.95847	1.0	20337	0	0
C1orf52	3	4.015e-05	1.6682e-05	0.021258	15	3	-0.70077	0.99996	0.99999	1.0	21322	0	0
MED27	3	5.6197e-05	2.9937e-05	0.036029	16	2	-1.4866	0.88807	0.89692	1.0	18848	0	0
BET1	3	7.0795e-05	4.639e-05	0.050248	17	3	-0.38678	0.99861	0.99875	1.0	21289	0	0
HSPE1	3	9.4547e-05	6.8785e-05	0.068182	18	2	-1.2676	0.24764	0.23635	0.894252	5588	1	0.85254
ADAM28	3	9.5613e-05	6.9242e-05	0.068182	19	3	-0.612	0.9999	0.99996	1.0	21320	0	0
YKT6	3	9.7741e-05	7.3356e-05	0.069092	20	2	-0.94779	0.95073	0.95392	1.0	20197	0	0
COPB2	3	0.00010318	8.2954e-05	0.069497	21	2	-1.394	0.85512	0.8529	1.0	18105	0	0
SERPINB6	3	0.00011799	8.3411e-05	0.069497	22	1	-1.2346	0.97525	0.9771	1.0	20721	0	0
DHX36	3	0.0001252	8.3411e-05	0.069497	23	2	-0.98846	0.44073	0.39834	0.924439	9311	0	0
C12orf39	3	0.00015333	0.00012363	0.094059	24	2	-0.85184	0.83768	0.83744	1.0	17722	0	0
RNF103-CHMP3	3	0.00016149	0.00012546	0.094059	25	2	-0.87354	0.29979	0.27701	0.894252	6545	1	0.37195
G6PD	3	0.00016518	0.00012592	0.094059	26	2	-0.93304	0.98438	0.98587	1.0	20945	0	0
GPR22	3	0.00017905	0.00013734	0.099175	27	3	-0.6266	0.99982	0.99991	1.0	21319	0	0
TCIRG1	3	0.00019367	0.00015974	0.108137	28	3	-0.38724	0.99981	0.99989	1.0	21318	0	0
LSM2	3	0.00019399	0.00015974	0.108137	29	3	-0.66291	0.99924	0.99918	1.0	21299	0	0
MRPS31	3	0.00019925	0.00016614	0.109061	30	3	-0.62312	0.9998	0.99988	1.0	21317	0	0
UFD1L	3	0.00021238	0.00019722	0.125655	31	1	-1.4227	0.61862	0.58483	0.952723	13074	0	0
N6AMT1	3	0.0002205	0.00020773	0.128571	32	2	-0.91688	0.88154	0.88417	1.0	18689	0	0
DHRS7B	3	0.00024063	0.00023195	0.13741	33	3	-0.53947	0.99976	0.99982	1.0	21316	0	0
SART3	3	0.00024988	0.00024292	0.138484	34	3	-1.205	0.99975	0.99981	1.0	21315	0	0
PRPF39	3	0.00026608	0.00027491	0.145496	35	2	-1.246	0.48209	0.44366	0.932547	10172	0	0
CUL1	3	0.00027051	0.00027537	0.145496	36	2	-1.0303	0.99651	0.99617	1.0	21233	0	0
SLC25A30	3	0.00028145	0.00027537	0.145496	37	3	-0.43602	0.99972	0.9998	1.0	21314	0	0
EEFSEC	3	0.00030676	0.00032382	0.16702	38	1	-1.28	0.8235	0.82196	1.0	17402	0	0
NonTargetingControlGuideForHuman_0347	1	0.00032252	2.2852e-07	0.001238	39	1	-1.3101	0.99968	1.0	1.0	21313	0	0
SKP1	3	0.00035394	0.00038917	0.192629	40	2	-1.1179	0.97383	0.97661	1.0	20694	0	0
DBX2	3	0.00037106	0.00039969	0.192629	41	3	-0.66911	0.99963	0.99967	1.0	21311	0	0
PPIL4	3	0.00037519	0.00040014	0.192629	42	2	-1.2936	0.99492	0.99525	1.0	21184	0	0
CDC16	3	0.00040113	0.00047738	0.224817	43	2	-1.1224	0.99316	0.99384	1.0	21139	0	0
COX7B	3	0.00042223	0.00051898	0.230594	44	3	-0.5595	0.99958	0.99965	1.0	21310	0	0
ZNF546	3	0.00044001	0.00051943	0.230594	45	3	-0.50611	0.99956	0.99965	1.0	21309	0	0
RAN	3	0.00044831	0.00053177	0.230594	46	1	-1.2514	0.84211	0.83922	1.0	17821	0	0
SCGB3A1	3	0.00048458	0.00053223	0.230594	47	3	-0.53557	0.99952	0.99964	1.0	21308	0	0
GPN1	3	0.0004955	0.0005985	0.249334	48	2	-0.62124	0.89045	0.89692	1.0	18894	0	0
hsa-mir-610	4	0.00051257	0.00055554	0.235974	49	3	-0.38054	0.2927	0.29284	0.894252	6420	1	0.4358
DCAF17	3	0.00052958	0.00061587	0.251728	50	3	-0.51262	0.99947	0.99956	1.0	21307	0	0
MCM3AP	3	0.00054739	0.00064878	0.260268	51	2	-0.66307	0.14183	0.16817	0.894252	3795	1	0.60024
PDZRN3	3	0.00058881	0.00072465	0.273948	52	3	-0.49122	0.99941	0.99945	1.0	21306	0	0
SHROOM2	3	0.00058986	0.00072465	0.273948	53	1	-0.70431	0.34615	0.30477	0.894975	7389	1	0.27391
GCSAM	3	0.00060438	0.0007251	0.273948	54	2	-0.57413	0.94993	0.95353	1.0	20181	0	0
CLNS1A	3	0.00062294	0.00078909	0.273948	55	3	-0.39634	0.99938	0.99938	1.0	21305	0	0
UBN2	3	0.00063121	0.00083205	0.273948	56	2	-1.328	0.99438	0.99482	1.0	21167	0	0
PFDN2	3	0.00065309	0.00088096	0.273948	57	2	-1.0528	0.020647	0.030911	0.714023	870	1	0.67029
PSMC6	3	0.00068422	0.00090792	0.273948	58	1	-1.2509	0.99065	0.99189	1.0	21076	0	0
CTSS	3	0.00068625	0.00090792	0.273948	59	3	-0.65311	0.99931	0.99926	1.0	21304	0	0
UPF1	3	0.00071805	0.00098379	0.273948	60	2	-0.88888	0.84163	0.83922	1.0	17809	0	0
IARS2	3	0.00072515	0.00098379	0.273948	61	3	-0.98686	0.99927	0.99918	1.0	21303	0	0
BRCC3	3	0.0007263	0.00098379	0.273948	62	3	-0.69172	0.99927	0.99918	1.0	21302	0	0
PGD	2	0.00073183	0.00023469	0.13741	63	2	-1.3548	0.99927	0.99977	1.0	21301	0	0
FBXO36	3	0.00073857	0.00098379	0.273948	64	3	-0.46469	0.99926	0.99918	1.0	21300	0	0
