mirna	comparison	method	pvalue	expr_ctrl	expr_group	Fold_Change	fdr
hsa_let_7a_5p_MIMAT0000062	control vs group	t-test	0.976225356	13.06489011	13.05497841	-1.000759228	0.981772091
hsa_let_7b_5p_MIMAT0000063	control vs group	t-test	0.919373641	10.48928451	10.43955238	-1.004763819	0.959318352
hsa_let_7c_MIMAT0000064	control vs group	t-test	0.047531134	0.533010695	3.845574907	7.214817537	0.408215
hsa_let_7d_5p_MIMAT0000065	control vs group	t-test	0.921379208	9.086045416	9.094275076	1.000905747	0.959318352
hsa_let_7e_5p_MIMAT0000066	control vs group	t-test	0.702660744	10.63132272	10.5022431	-1.012290671	0.862730169
hsa_let_7f_5p_MIMAT0000067	control vs group	t-test	0.706756353	9.338679323	9.267045358	-1.007729968	0.862730169
hsa_let_7g_5p_MIMAT0000414	control vs group	t-test	0.365276349	11.0688535	10.98119263	-1.007982819	0.609942583
hsa_let_7i_5p_MIMAT0000415	control vs group	t-test	0.608247578	8.930564487	8.908729007	-1.002451021	0.839859481
hsa_miR_100_5p_MIMAT0000098	control vs group	t-test	0.35830696	10.27085055	10.11954187	-1.014952128	0.606832653
hsa_miR_106a_5pandhsa_miR_17_5p_MIMAT0000103	control vs group	t-test	0.233223705	10.02910586	9.856276062	-1.017535	0.567146847
hsa_miR_106b_5p_MIMAT0000680	control vs group	t-test	0.315225529	8.980754634	8.417880827	-1.06686645	0.58791813
hsa_miR_107_MIMAT0000104	control vs group	t-test	0.237066464	8.031836164	7.662863919	-1.048150698	0.567146847
hsa_miR_10a_5p_MIMAT0000253	control vs group	t-test	0.22275162	5.908366822	5.324135463	-1.109732625	0.567146847
hsa_miR_10b_5p_MIMAT0000254	control vs group	t-test	0.26640834	0.533010695	2.310339411	4.334508546	0.567146847
hsa_miR_1180_MIMAT0005825	control vs group	t-test	0.645791342	0.533010695	1.077896231	2.022278806	0.850936889
hsa_miR_1206_MIMAT0005870	control vs group	t-test	0.110832078	2.193236099	4.587607867	2.091707258	0.451825156
hsa_miR_125a_3p_MIMAT0004602	control vs group	t-test	0.884175309	4.425511625	4.318189978	-1.024853387	0.943889958
hsa_miR_125a_5p_MIMAT0000443	control vs group	t-test	0.489988717	11.85776442	11.69505853	-1.013912362	0.728806747
hsa_miR_125b_5p_MIMAT0000423	control vs group	t-test	0.304917574	11.80880177	11.86120725	1.004437832	0.58791813
hsa_miR_126_3p_MIMAT0000445	control vs group	t-test	0.271278989	7.78398256	7.588013936	-1.025826076	0.567146847
hsa_miR_1260a_MIMAT0005911	control vs group	t-test	0.913560671	7.426741206	7.351836438	-1.010188579	0.959318352
hsa_miR_1268a_MIMAT0005922	control vs group	t-test	0.092467661	0.533010695	3.589482079	6.734352827	0.451825156
hsa_miR_128_MIMAT0000424	control vs group	t-test	0.043870194	1.344346273	4.812203875	3.579586577	0.408215
hsa_miR_130a_3p_MIMAT0000425	control vs group	t-test	0.064988002	11.86241089	11.56175258	-1.026004562	0.451825156
hsa_miR_130b_3p_MIMAT0000691	control vs group	t-test	0.252333363	0.533010695	2.206930161	4.140498837	0.567146847
hsa_miR_132_3p_MIMAT0000426	control vs group	t-test	0.007410622	0.533010695	3.980965424	7.468828418	0.193487152
hsa_miR_1323_MIMAT0005795	control vs group	t-test	0.079572329	6.628878054	6.940425451	1.046998511	0.451825156
hsa_miR_135b_5p_MIMAT0000758	control vs group	t-test	0.314410778	7.683878296	7.40116022	-1.038199156	0.58791813
hsa_miR_137_MIMAT0000429	control vs group	t-test	0.359985472	0.533010695	1.780224783	3.339941957	0.606832653
hsa_miR_140_5p_MIMAT0000431	control vs group	t-test	0.270758832	0.533010695	1.997594265	3.747756442	0.567146847
hsa_miR_141_3p_MIMAT0000432	control vs group	t-test	0.097218097	8.870992541	8.406356155	-1.055272032	0.451825156
hsa_miR_144_3p_MIMAT0000436	control vs group	t-test	0.298954139	5.384327509	2.915574337	-1.846746777	0.58791813
hsa_miR_148a_3p_MIMAT0000243	control vs group	t-test	0.021661035	9.660170678	9.460106521	-1.021148193	0.332482214
hsa_miR_148b_3p_MIMAT0000759	control vs group	t-test	0.864468291	8.610601457	8.593979542	-1.001934135	0.943889958
hsa_miR_149_5p_MIMAT0000450	control vs group	t-test	0.554662435	6.127153992	5.896330596	-1.039146956	0.791735896
hsa_miR_151a_3p_MIMAT0000757	control vs group	t-test	0.720955034	7.204118487	7.264557437	1.0083895	0.869304755
hsa_miR_151a_5p_MIMAT0004697	control vs group	t-test	0.02565245	0.533010695	3.082275059	5.782764004	0.349267968
hsa_miR_155_5p_MIMAT0000646	control vs group	t-test	0.328432143	5.209404026	4.033188781	-1.291634066	0.58791813
hsa_miR_15b_5p_MIMAT0000417	control vs group	t-test	0.854867125	11.55836838	11.54058214	-1.001541191	0.943889958
hsa_miR_16_5p_MIMAT0000069	control vs group	t-test	0.239672403	10.5348453	10.16797535	-1.036080924	0.567146847
hsa_miR_181a_5p_MIMAT0000256	control vs group	t-test	0.227606349	8.414634433	8.575069221	1.019066163	0.567146847
hsa_miR_181b_5pandhsa_miR_181d_MIMAT0000257	control vs group	t-test	0.007652034	4.967765656	5.704677453	1.148338679	0.193487152
hsa_miR_181c_5p_MIMAT0000258	control vs group	t-test	0.861961956	0.533010695	0.649359165	1.218285433	0.943889958
