ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0070661	leukocyte proliferation	-1.39369658119658	0	0	1/203	1/18122	2150	F2RL1	1
GO:0070963	positive regulation of neutrophil mediated killing of gram-negative bacterium	-1.39369658119658	0	0	1/203	1/18122	2150	F2RL1	1
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	-1.56944444444444	0	0	1/203	1/18122	3122	HLA-DRA	1
GO:0097205	renal filtration	-1.77800671550672	0	0	1/203	1/18122	3675	ITGA3	1
GO:0003327	type B pancreatic cell fate commitment	-1.77693833943834	0	0	1/203	1/18122	4821	NKX2-2	1
GO:0060580	ventral spinal cord interneuron fate determination	-1.77693833943834	0	0	1/203	1/18122	4821	NKX2-2	1
GO:1903934	positive regulation of DNA primase activity	-1.18143315018315	0	0	1/203	1/18122	5558	PRIM2	1
GO:0015826	threonine transport	-1.52415293040293	0	0	1/203	1/18122	6509	SLC1A4	1
GO:0034589	hydroxyproline transport	-1.52415293040293	0	0	1/203	1/18122	6509	SLC1A4	1
GO:1903812	L-serine import across plasma membrane	-1.52415293040293	0	0	1/203	1/18122	6509	SLC1A4	1
GO:0062026	negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process	-1.42853327228327	0	0	1/203	1/18122	6815	STYX	1
GO:0046782	regulation of viral transcription	-1.71581196581197	0	0	1/203	1/18122	6895	TARBP2	1
GO:0090065	regulation of production of siRNA involved in RNA interference	-1.71581196581197	0	0	1/203	1/18122	6895	TARBP2	1
GO:1903798	regulation of production of miRNAs involved in gene silencing by miRNA	-1.71581196581197	0	0	1/203	1/18122	6895	TARBP2	1
GO:0090212	negative regulation of establishment of blood-brain barrier	-1.13110500610501	0	0	1/203	1/18122	7442	TRPV1	1
GO:1901594	response to capsazepine	-1.13110500610501	0	0	1/203	1/18122	7442	TRPV1	1
GO:1990172	G protein-coupled receptor catabolic process	-1.95394536019536	0	0	1/203	2/18122	9737	GPRASP1	1
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism	-1.40411324786325	0	0	1/203	1/18122	10105	PPIF	1
GO:0010808	positive regulation of synaptic vesicle priming	-1.34603937728938	0	0	1/203	1/18122	10497	UNC13B	1
GO:0070486	leukocyte aggregation	-1.48504273504274	0	0	1/203	1/18122	10507	SEMA4D	1
GO:1903926	cellular response to bisphenol A	-1.22931929181929	0	0	1/203	1/18122	11200	CHEK2	1
GO:0010566	regulation of ketone biosynthetic process	-1.30135836385836	0	0	1/203	1/18122	23408	SIRT5	1
GO:0036046	protein demalonylation	-1.30135836385836	0	0	1/203	1/18122	23408	SIRT5	1
GO:0036047	peptidyl-lysine demalonylation	-1.30135836385836	0	0	1/203	1/18122	23408	SIRT5	1
