ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-1.04224749850338	0	0	1/68	3/18122	8451	CUL4A	1
CORUM_2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	-1.04224749850338	0	0	1/68	2/18122	8451	CUL4A	1
CORUM_2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	-1.04224749850338	0	0	1/68	4/18122	8451	CUL4A	1
CORUM_2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-1.04224749850338	0	0	1/68	3/18122	8451	CUL4A	1
CORUM_6486	CUL4A-DDB1-DTL complex	-1.04224749850338	0	0	1/68	3/18122	8451	CUL4A	1
CORUM_6489	CUL4A-DDB1-WDR5 complex	-1.04224749850338	0	0	1/68	3/18122	8451	CUL4A	1
CORUM_6493	CUL4A-DDB1-WDR57 complex	-1.39983094173829	0	0	2/68	3/18122	8451/9410	CUL4A/SNRNP40	2
CORUM_6388	CORVET complex	-2.08574680693026	1.00253940625824e-06	3.98208652165772e-05	2/68	6/18122	65082/57617	VPS33A/VPS18	2
CORUM_6389	HOPS complex	-2.08574680693026	1.00253940625824e-06	3.98208652165772e-05	2/68	6/18122	65082/57617	VPS33A/VPS18	2
CORUM_223	CAND1-CUL4A-RBX1 complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_3177	GNA14-p115RhoGEF complex	-0.688317796972548	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	9630	GNA14	1
CORUM_5460	p50-p65 NF(kappa)B complex	-1.33789446677499	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	5970	RELA	1
CORUM_5495	CIA targeting (MIP18, CIAO1, MMS19) complex	-1.89153767211152	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	51647	CIAO2B	1
CORUM_5529	TRAF2-cIAP1/BIRC2 complex	-0.854763533738134	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	329	BIRC2	1
CORUM_6117	Hook1-Vps18 complex	-0.81816043786881	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	57617	VPS18	1
CORUM_6125	FTS-Vps18 complex	-0.81816043786881	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	57617	VPS18	1
CORUM_6488	CUL4A-DDB1-EED complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_6491	CUL4A-DDB1-RBBP5 complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_6492	CUL4A-DDB1-WDR5B complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_6494	CUL4A-DDB1-WDR61 complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_6550	CUL4B-DDB1-TLE1 complex	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	8451	CUL4A	1
CORUM_6875	CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase	-1.04224749850338	1.38737999810116e-05	0.000214926335117539	1/68	4/18122	8451	CUL4A	1
CORUM_6897	CIA2B-CIA1-MMS19 complex	-1.89153767211152	1.38737999810116e-05	0.000214926335117539	1/68	3/18122	51647	CIAO2B	1
CORUM_7223	MMS19-FAM96B complex	-1.89153767211152	1.38737999810116e-05	0.000214926335117539	1/68	2/18122	51647	CIAO2B	1
