ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa05033	Nicotine addiction	2.52444207538651	0.000330557325758101	0.00177635946084961	3/163	40/18122	2554/2905/2570	GABRA1/GRIN2C/GABRR2	3
KEGG_hsa04610	Complement and coagulation cascades	3.04540591808103	0.0066831330168137	0.0140973457184253	3/163	85/18122	721/5104/1675	C4B/SERPINA5/CFD	3
KEGG_hsa03050	Proteasome	1.14060592185592	0.00681576019082129	0.0140973457184253	1/163	46/18122	51371	POMP	1
KEGG_hsa04723	Retrograde endocannabinoid signaling	3.0282630511714	0.0079866720941314	0.0160011723140263	4/163	148/18122	2554/4701/4705/2570	GABRA1/NDUFA7/NDUFA10/GABRR2	4
KEGG_hsa05032	Morphine addiction	2.64342187691562	0.00852020474776184	0.0170108254512606	3/163	91/18122	2554/2778/2570	GABRA1/GNAS/GABRR2	3
KEGG_hsa05030	Cocaine addiction	2.25313048902607	0.00918847043228891	0.0178794263910867	2/163	49/18122	2905/2778	GRIN2C/GNAS	2
KEGG_hsa04913	Ovarian steroidogenesis	2.08350302071201	0.00972411202809525	0.0188897446491715	2/163	51/18122	3284/2778	HSD3B2/GNAS	2
KEGG_hsa00564	Glycerophospholipid metabolism	2.79360344908752	0.00991204635317929	0.0188983309175203	3/163	98/18122	10908/151056/57678	PNPLA6/PLB1/GPAM	3
KEGG_hsa00100	Steroid biosynthesis	1.23965964590965	0.0137374269045468	0.0241930182851897	1/163	20/18122	1591	CYP24A1	1
KEGG_hsa00670	One carbon pool by folate	1.3904532967033	0.0137374269045468	0.0241930182851897	1/163	20/18122	4522	MTHFD1	1
KEGG_hsa04977	Vitamin digestion and absorption	1.55040445665446	0.0150946859536438	0.0260643976677032	1/163	24/18122	151056	PLB1	1
KEGG_hsa04978	Mineral absorption	2.0885056719255	0.0153595631416009	0.0264028364915412	2/163	60/18122	538/261729	ATP7A/STEAP2	2
KEGG_hsa00190	Oxidative phosphorylation	2.55217698262454	0.0154253322220366	0.0264763165005105	3/163	134/18122	539/4701/4705	ATP5PO/NDUFA7/NDUFA10	3
KEGG_hsa00561	Glycerolipid metabolism	2.25379558138394	0.0160777032123604	0.0275139266282953	2/163	61/18122	9388/57678	LIPG/GPAM	2
KEGG_hsa00592	alpha-Linolenic acid metabolism	1.55040445665446	0.0165071321559442	0.0276320261707945	1/163	25/18122	151056	PLB1	1
KEGG_hsa04927	Cortisol synthesis and secretion	2.08350302071201	0.0199483231685982	0.0325860392668862	2/163	65/18122	3284/2778	HSD3B2/GNAS	2
KEGG_hsa00591	Linoleic acid metabolism	1.55040445665446	0.0210647698310186	0.033880399028911	1/163	29/18122	151056	PLB1	1
KEGG_hsa05031	Amphetamine addiction	2.25313048902607	0.0224955579529097	0.0357401327975202	2/163	69/18122	2905/2778	GRIN2C/GNAS	2
KEGG_hsa00030	Pentose phosphate pathway	1.16502594627595	0.0260807441472946	0.0398311497601445	1/163	30/18122	230	ALDOC	1
KEGG_hsa00051	Fructose and mannose metabolism	1.16502594627595	0.0278498088346364	0.0418110707047413	1/163	33/18122	230	ALDOC	1
KEGG_hsa04976	Bile secretion	2.18858761325434	0.0311496388775036	0.0458945974748912	2/163	89/18122	200931/2778	SLC51A/GNAS	2
KEGG_hsa05150	Staphylococcus aureus infection	2.30561495117916	0.0366087079768882	0.0519753261400264	2/163	96/18122	721/1675	C4B/CFD	2
KEGG_hsa04072	Phospholipase D signaling pathway	2.61187587870073	0.0394522579929151	0.0550607969561315	3/163	148/18122	5737/56848/2778	PTGFR/SPHK2/GNAS	3
KEGG_hsa04540	Gap junction	2.45711142347671	0.0401043029158699	0.0559029677009095	2/163	88/18122	5598/2778	MAPK7/GNAS	2
KEGG_hsa04960	Aldosterone-regulated sodium reabsorption	1.16491147741148	0.0414921346818132	0.0575584497998615	1/163	37/18122	2810	SFN	1
KEGG_hsa04932	Non-alcoholic fatty liver disease	2.60098353481204	0.0420690611753754	0.0582884582550382	3/163	155/18122	4701/4705/51094	NDUFA7/NDUFA10/ADIPOR1	3
KEGG_hsa04727	GABAergic synapse	1.91234294826896	0.0425253631484416	0.0587790476210431	2/163	89/18122	2554/2570	GABRA1/GABRR2	2
