ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	-2.04510906267293	5.25664584646056e-07	1.80097257696127e-05	2/55	7/18122	5970/170506	RELA/DHX36	2
REACTOME_9636667	Manipulation of host energy metabolism	-1.88743265201403	9.04415845996583e-06	0.000131977719749131	1/55	4/18122	2023	ENO1	1
REACTOME_5660862	Defective SLC7A7 causes lysinuric protein intolerance (LPI)	-1.54440691011716	9.04415845996583e-06	0.000131977719749131	1/55	2/18122	6520	SLC3A2	1
REACTOME_8849472	PTK6 Down-Regulation	-1.15464380398529	2.70795680511581e-05	0.000205179804079929	1/55	3/18122	5753	PTK6	1
REACTOME_6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	-1.86510718828907	2.90733362797346e-05	0.000218188466556485	2/55	45/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_5696400	Dual Incision in GG-NER	-1.86510718828907	3.38460087387823e-05	0.000251609951756231	2/55	41/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_6781823	Formation of TC-NER Pre-Incision Complex	-1.86510718828907	4.48751867874579e-05	0.00031551256868814	2/55	54/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_8849468	PTK6 Regulates Proteins Involved in RNA Processing	-1.15464380398529	5.40535492041865e-05	0.00031551256868814	1/55	5/18122	5753	PTK6	1
REACTOME_8849473	PTK6 Expression	-1.15464380398529	5.40535492041865e-05	0.00031551256868814	1/55	5/18122	5753	PTK6	1
REACTOME_8849474	PTK6 Activates STAT3	-1.15464380398529	5.40535492041865e-05	0.00031551256868814	1/55	5/18122	5753	PTK6	1
REACTOME_6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	-1.86510718828907	8.2122655506588e-05	0.000440519121949312	2/55	65/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_2408557	Selenocysteine synthesis	-2.19310952361651	8.2122655506588e-05	0.000440519121949312	2/55	93/18122	6234/118672	RPS28/PSTK	2
REACTOME_203641	NOSTRIN mediated eNOS trafficking	-1.49914478747969	8.99136492541889e-05	0.000440519121949312	1/55	5/18122	1785	DNM2	1
REACTOME_5696395	Formation of Incision Complex in GG-NER	-1.86510718828907	9.14016839461927e-05	0.000440519121949312	2/55	43/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_6782135	Dual incision in TC-NER	-1.86510718828907	9.14016839461927e-05	0.000440519121949312	2/55	66/18122	2966/8451	GTF2H2/CUL4A	2
REACTOME_6784531	tRNA processing in the nucleus	-1.2980259388799	0.000101339404100474	0.000483972426855599	2/55	57/18122	23636/339487	NUP62/ZBTB8OS	2
REACTOME_2564830	Cytosolic iron-sulfur cluster assembly	-1.89153767211152	0.00013460764158896	0.000561221278159263	1/55	13/18122	51647	CIAO2B	1
REACTOME_8849470	PTK6 Regulates Cell Cycle	-1.15464380398529	0.00013460764158896	0.000561221278159263	1/55	6/18122	5753	PTK6	1
REACTOME_8857538	PTK6 promotes HIF1A stabilization	-1.15464380398529	0.00013460764158896	0.000561221278159263	1/55	6/18122	5753	PTK6	1
REACTOME_5660668	CLEC7A/inflammasome pathway	-1.33789446677499	0.00013460764158896	0.000561221278159263	1/55	6/18122	5970	RELA	1
REACTOME_6782861	Synthesis of wybutosine at G37 of tRNA(Phe)	-1.07737535277516	0.00013460764158896	0.000561221278159263	1/55	7/18122	57570	TRMT5	1
REACTOME_389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	-0.749935859060977	0.000188083524800021	0.000722974719719104	1/55	8/18122	3061	HCRTR1	1
REACTOME_5603029	IkBA variant leads to EDA-ID	-1.33789446677499	0.000188083524800021	0.000722974719719104	1/55	7/18122	5970	RELA	1
REACTOME_8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	-1.15464380398529	0.000188083524800021	0.000722974719719104	1/55	9/18122	5753	PTK6	1
REACTOME_434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	-0.688317796972548	0.000188083524800021	0.000722974719719104	1/55	15/18122	9630	GNA14	1
REACTOME_167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	-1.41877619088343	0.000321174079162621	0.00104150277522694	1/55	27/18122	2966	GTF2H2	1
REACTOME_72086	mRNA Capping	-1.41877619088343	0.000321174079162621	0.00104150277522694	1/55	29/18122	2966	GTF2H2	1
REACTOME_77075	RNA Pol II CTD phosphorylation and interaction with CE	-1.41877619088343	0.000321174079162621	0.00104150277522694	1/55	27/18122	2966	GTF2H2	1
REACTOME_9613354	Lipophagy	-1.21010433592748	0.000321174079162621	0.00104150277522694	1/55	9/18122	5564	PRKAB1	1
REACTOME_448706	Interleukin-1 processing	-1.33789446677499	0.000321174079162621	0.00104150277522694	1/55	9/18122	5970	RELA	1
REACTOME_426486	Small interfering RNA (siRNA) biogenesis	-2.39651928504233	0.000321174079162621	0.00104150277522694	1/55	9/18122	8575	PRKRA	1
REACTOME_4755510	SUMOylation of immune response proteins	-1.33789446677499	0.000400685865916399	0.00124307268638631	1/55	11/18122	5970	RELA	1
REACTOME_2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	-1.21010433592748	0.000400685865916399	0.00124307268638631	1/55	10/18122	5564	PRKAB1	1
REACTOME_399997	Acetylcholine regulates insulin secretion	-0.688317796972548	0.000400685865916399	0.00124307268638631	1/55	17/18122	9630	GNA14	1
