ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_1100	DNA polymerase alpha-primase complex	0.884695785948138	0	0	1/480	4/18122	5558	PRIM2	1
CORUM_3123	TLE2 homodimer complex	1.0459420048437	0	0	1/480	1/18122	7089	TLE2	1
CORUM_6507	SERCA-PLN complex	1.37931854259465	0	0	1/480	2/18122	5350	PLN	1
CORUM_1787	Nogo-potassium channel complex	1.56400531499346	7.24198233660988e-05	0.00193097583575243	2/480	4/18122	3737/8506	KCNA2/CNTNAP1	2
CORUM_746	C/EBPalpha-HNF6 complex	1.14079250359236	0.000700145761991697	0.00679975999974055	1/480	2/18122	1050	CEBPA	1
CORUM_817	MRIP-MBS complex	1.0011473383416	0.000700145761991697	0.00679975999974055	1/480	2/18122	4659	PPP1R12A	1
CORUM_1130	Hip1R-cortactin complex	1.06891961845513	0.000700145761991697	0.00679975999974055	1/480	2/18122	2017	CTTN	1
CORUM_1260	Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)	1.11574532006094	0.000700145761991697	0.00679975999974055	1/480	4/18122	80204	FBXO11	1
CORUM_1514	IL4-IL4R complex	0.933281940308046	0.000700145761991697	0.00679975999974055	1/480	2/18122	3565	IL4	1
CORUM_2077	B-raf-MAP3K11 complex	0.989024113494951	0.000700145761991697	0.00679975999974055	1/480	2/18122	673	BRAF	1
CORUM_2406	ITGA3-ITGB1 complex	1.45338942310955	0.000700145761991697	0.00679975999974055	1/480	2/18122	3675	ITGA3	1
CORUM_2802	OCT1-SOX2 DNA-protein complex	2.43755440362919	0.000700145761991697	0.00679975999974055	1/480	2/18122	5451	POU2F1	1
CORUM_2913	PLC-gamma-2-LAT complex	1.2696717297023	0.000700145761991697	0.00679975999974055	1/480	2/18122	27040	LAT	1
CORUM_2938	Ecsit complex (ECSIT, NDUFS3, TOM20)	1.24520472210971	0.000700145761991697	0.00679975999974055	1/480	3/18122	51295	ECSIT	1
CORUM_2957	LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated	1.2696717297023	0.000700145761991697	0.00679975999974055	1/480	2/18122	27040	LAT	1
CORUM_3122	OCT1-OBF1-DNA complex	2.43755440362919	0.000700145761991697	0.00679975999974055	1/480	2/18122	5451	POU2F1	1
CORUM_3124	TLE1-TLE2 complex	1.0459420048437	0.000700145761991697	0.00679975999974055	1/480	2/18122	7089	TLE2	1
CORUM_3132	OCT1-OBF1-DNA complex	2.43755440362919	0.000700145761991697	0.00679975999974055	1/480	2/18122	5451	POU2F1	1
CORUM_3183	PDGFRA-SHP-2 complex, PDGF stimulated	0.974507422649474	0.000700145761991697	0.00679975999974055	1/480	2/18122	5781	PTPN11	1
CORUM_3186	GRB2-SHP-2 complex, PDGF stimulated	0.974507422649474	0.000700145761991697	0.00679975999974055	1/480	2/18122	5781	PTPN11	1
CORUM_5160	E2F4-p130 complex	1.29634542772478	0.000700145761991697	0.00679975999974055	1/480	2/18122	5934	RBL2	1
CORUM_5274	Cell-cell junction complex (ARHGAP10-CTNNA1)	1.02552066022198	0.000700145761991697	0.00679975999974055	1/480	2/18122	79658	ARHGAP10	1
CORUM_5661	PlexinC1-SEMA7A complex	1.26337164977805	0.000700145761991697	0.00679975999974055	1/480	2/18122	10507	SEMA4D	1
CORUM_5923	RAF1-BRAF complex, RAS stimulated	0.989024113494951	0.000700145761991697	0.00679975999974055	1/480	2/18122	673	BRAF	1
CORUM_5925	BRAF-CNK1 complex, not RAS stimulated	0.989024113494951	0.000700145761991697	0.00679975999974055	1/480	2/18122	673	BRAF	1
CORUM_6267	Ubiquitin E3 ligase (CUL3, KLHL3)	0.997670032095009	0.000700145761991697	0.00679975999974055	1/480	2/18122	26249	KLHL3	1
CORUM_6440	CHRNA2-CHRNB4 complex	1.0020393144276	0.000700145761991697	0.00679975999974055	1/480	2/18122	1143	CHRNB4	1
CORUM_6487	CUL4B-DDB1-TLE2 complex	1.0459420048437	0.000700145761991697	0.00679975999974055	1/480	3/18122	7089	TLE2	1
CORUM_6506	ERBB2-SPG1 complex	1.21894903074348	0.000700145761991697	0.00679975999974055	1/480	2/18122	2064	ERBB2	1
CORUM_6510	ILK-SERCA2A-PLN complex	1.37931854259465	0.000700145761991697	0.00679975999974055	1/480	3/18122	5350	PLN	1
CORUM_6516	SLN-PLN-SERCA2A complex	1.37931854259465	0.000700145761991697	0.00679975999974055	1/480	3/18122	5350	PLN	1
CORUM_6600	NPHP1-PKD1 complex	0.92191658751513	0.000700145761991697	0.00679975999974055	1/480	2/18122	5310	PKD1	1
CORUM_6768	TBX20-TBX18 repressor complex	0.888369466062317	0.000700145761991697	0.00679975999974055	1/480	2/18122	9096	TBX18	1
CORUM_6790	NHERF1-PRKCZ complex	1.0325444252361	0.000700145761991697	0.00679975999974055	1/480	2/18122	5590	PRKCZ	1
CORUM_6795	LPAR2-SIVA1 complex	1.11964277425825	0.000700145761991697	0.00679975999974055	1/480	2/18122	9170	LPAR2	1
CORUM_6797	LPAR2-SIVA1 complex	1.11964277425825	0.000700145761991697	0.00679975999974055	1/480	2/18122	9170	LPAR2	1
CORUM_6903	Ubiquitin E3 ligase (CUL1, FBXO27, RBX1, SKP1)	0.94455021695144	0.000700145761991697	0.00679975999974055	1/480	4/18122	126433	FBXO27	1
CORUM_6908	CTNNB1-FERMT2-YBX1 complex	0.878844070636169	0.000700145761991697	0.00679975999974055	1/480	3/18122	10979	FERMT2	1
CORUM_7242	RPGRIP1-SPATA7 complex	0.927240797119678	0.000700145761991697	0.00679975999974055	1/480	2/18122	57096	RPGRIP1	1
CORUM_7351	GDF15-ERBB2 complex	1.21894903074348	0.000700145761991697	0.00679975999974055	1/480	2/18122	2064	ERBB2	1
CORUM_7441	HOOK1-SHP2 complex	0.974507422649474	0.000700145761991697	0.00679975999974055	1/480	2/18122	5781	PTPN11	1
CORUM_7510	IL1RAP-KIT complex	1.21322412888147	0.000700145761991697	0.00679975999974055	1/480	2/18122	3556	IL1RAP	1
CORUM_7543	KPNB1-SMN-SPN complex	1.02212441903764	0.000700145761991697	0.00679975999974055	1/480	3/18122	6693	SPN	1
CORUM_521	Polycystin-1-E-cadherin-beta-catenin complex	0.92191658751513	0.00206349802833359	0.011550075795997	1/480	3/18122	5310	PKD1	1
CORUM_550	NOS3-CAV1-NOSTRIN complex	2.03086613984427	0.00206349802833359	0.011550075795997	1/480	3/18122	115677	NOSTRIN	1
CORUM_815	MRIP-MBS-RHOA complex	1.0011473383416	0.00206349802833359	0.011550075795997	1/480	3/18122	4659	PPP1R12A	1
CORUM_1032	ORC 2-4 complex (origin recognition 2-4 complex)	1.00183777821948	0.00206349802833359	0.011550075795997	1/480	3/18122	23595	ORC3	1
CORUM_1098	DNA synthesome complex (13 subunits)	0.884695785948138	0.00206349802833359	0.011550075795997	1/480	13/18122	5558	PRIM2	1
CORUM_1107	DNA synthesome core complex	0.884695785948138	0.00206349802833359	0.011550075795997	1/480	10/18122	5558	PRIM2	1
CORUM_1473	E2F5-RB2-DP1 complex	1.29634542772478	0.00206349802833359	0.011550075795997	1/480	3/18122	5934	RBL2	1
CORUM_1515	IL4-IL4R-IL2RG complex	0.933281940308046	0.00206349802833359	0.011550075795997	1/480	3/18122	3565	IL4	1
CORUM_1714	TICAM1-TICAM2-TLR4 complex	1.09616412188731	0.00206349802833359	0.011550075795997	1/480	3/18122	148022	TICAM1	1
CORUM_2226	MutS-alpha-PK-zeta complex	1.0325444252361	0.00206349802833359	0.011550075795997	1/480	3/18122	5590	PRKCZ	1
CORUM_2398	ITGA3-ITGB1-BSG complex	1.45338942310955	0.00206349802833359	0.011550075795997	1/480	3/18122	3675	ITGA3	1
CORUM_2399	ITGA3-ITGB1-CD63 complex	1.45338942310955	0.00206349802833359	0.011550075795997	1/480	3/18122	3675	ITGA3	1
