ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_1552	TNPO2-RAN-NXF1 complex	0.285447033400041	0	0	1/467	3/18122	30000	TNPO2	1
CORUM_3123	TLE2 homodimer complex	0.381544220417751	0	0	1/467	1/18122	7089	TLE2	1
CORUM_5449	Splicing-associated factors complex	0.327556460545071	0	0	1/467	5/18122	7913	DEK	1
CORUM_6507	SERCA-PLN complex	0.262533844562723	0	0	1/467	2/18122	5350	PLN	1
CORUM_746	C/EBPalpha-HNF6 complex	0.364088007270316	0.000662696246590801	0.00701784970510805	1/467	2/18122	1050	CEBPA	1
CORUM_817	MRIP-MBS complex	0.317999349229349	0.000662696246590801	0.00701784970510805	1/467	2/18122	4659	PPP1R12A	1
CORUM_1130	Hip1R-cortactin complex	0.314222703829068	0.000662696246590801	0.00701784970510805	1/467	2/18122	2017	CTTN	1
CORUM_1260	Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)	0.376711356054683	0.000662696246590801	0.00701784970510805	1/467	4/18122	80204	FBXO11	1
CORUM_1514	IL4-IL4R complex	0.351785083786252	0.000662696246590801	0.00701784970510805	1/467	2/18122	3565	IL4	1
CORUM_1703	IGHM-VPREB1-IGLL1 complex	0.378740254727903	0.000662696246590801	0.00701784970510805	1/467	3/18122	3543	IGLL1	1
CORUM_1893	mTOR complex (MTOR, RICTOR, MLST8)	0.263075185418039	0.000662696246590801	0.00701784970510805	1/467	3/18122	253260	RICTOR	1
CORUM_1895	mTOR complex (MTOR, RICTOR, MLST8)	0.263075185418039	0.000662696246590801	0.00701784970510805	1/467	3/18122	253260	RICTOR	1
CORUM_2077	B-raf-MAP3K11 complex	0.350201069802209	0.000662696246590801	0.00701784970510805	1/467	2/18122	673	BRAF	1
CORUM_2152	ARNT-HLF complex	0.307328068929719	0.000662696246590801	0.00701784970510805	1/467	2/18122	3131	HLF	1
CORUM_2406	ITGA3-ITGB1 complex	0.37490445482528	0.000662696246590801	0.00701784970510805	1/467	2/18122	3675	ITGA3	1
CORUM_2802	OCT1-SOX2 DNA-protein complex	0.616500661841169	0.000662696246590801	0.00701784970510805	1/467	2/18122	5451	POU2F1	1
CORUM_2913	PLC-gamma-2-LAT complex	0.377862339509084	0.000662696246590801	0.00701784970510805	1/467	2/18122	27040	LAT	1
CORUM_2938	Ecsit complex (ECSIT, NDUFS3, TOM20)	0.36770104226684	0.000662696246590801	0.00701784970510805	1/467	3/18122	51295	ECSIT	1
CORUM_2957	LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated	0.377862339509084	0.000662696246590801	0.00701784970510805	1/467	2/18122	27040	LAT	1
CORUM_2969	mTORC2 complex	0.263075185418039	0.000662696246590801	0.00701784970510805	1/467	3/18122	253260	RICTOR	1
CORUM_3087	CCND1-CDK6 complex	0.297504125021897	0.000662696246590801	0.00701784970510805	1/467	2/18122	1021	CDK6	1
CORUM_3088	CCND2-CDK6 complex	0.297504125021897	0.000662696246590801	0.00701784970510805	1/467	2/18122	1021	CDK6	1
CORUM_3089	CCND3-CDK6 complex	0.297504125021897	0.000662696246590801	0.00701784970510805	1/467	2/18122	1021	CDK6	1
CORUM_3122	OCT1-OBF1-DNA complex	0.616500661841169	0.000662696246590801	0.00701784970510805	1/467	2/18122	5451	POU2F1	1
CORUM_3124	TLE1-TLE2 complex	0.381544220417751	0.000662696246590801	0.00701784970510805	1/467	2/18122	7089	TLE2	1
CORUM_3132	OCT1-OBF1-DNA complex	0.616500661841169	0.000662696246590801	0.00701784970510805	1/467	2/18122	5451	POU2F1	1
CORUM_3174	CIN85-BLNK complex	0.283650173235552	0.000662696246590801	0.00701784970510805	1/467	2/18122	29760	BLNK	1
CORUM_5160	E2F4-p130 complex	0.32390420680209	0.000662696246590801	0.00701784970510805	1/467	2/18122	5934	RBL2	1
CORUM_5274	Cell-cell junction complex (ARHGAP10-CTNNA1)	0.346999502654548	0.000662696246590801	0.00701784970510805	1/467	2/18122	79658	ARHGAP10	1
CORUM_5661	PlexinC1-SEMA7A complex	0.332199610496008	0.000662696246590801	0.00701784970510805	1/467	2/18122	10507	SEMA4D	1
CORUM_5923	RAF1-BRAF complex, RAS stimulated	0.350201069802209	0.000662696246590801	0.00701784970510805	1/467	2/18122	673	BRAF	1
CORUM_5925	BRAF-CNK1 complex, not RAS stimulated	0.350201069802209	0.000662696246590801	0.00701784970510805	1/467	2/18122	673	BRAF	1
CORUM_6124	FTS-Vps16 complex	0.407491230125423	0.000662696246590801	0.00701784970510805	1/467	2/18122	64400	AKTIP	1
CORUM_6125	FTS-Vps18 complex	0.407491230125423	0.000662696246590801	0.00701784970510805	1/467	2/18122	64400	AKTIP	1
CORUM_6126	FTS-Vps41 complex	0.407491230125423	0.000662696246590801	0.00701784970510805	1/467	2/18122	64400	AKTIP	1
CORUM_6267	Ubiquitin E3 ligase (CUL3, KLHL3)	0.316892082823443	0.000662696246590801	0.00701784970510805	1/467	2/18122	26249	KLHL3	1
CORUM_6440	CHRNA2-CHRNB4 complex	0.294413069149431	0.000662696246590801	0.00701784970510805	1/467	2/18122	1143	CHRNB4	1
