ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0070413	trehalose metabolism in response to stress	0.989024113494951	0	0	1/480	1/18122	673	BRAF	1
GO:0071387	cellular response to cortisol stimulus	0.96176312907851	0	0	1/480	1/18122	687	KLF9	1
GO:0032347	regulation of aldosterone biosynthetic process	0.93848852621195	0	0	1/480	1/18122	1181	CLCN2	1
GO:0045112	integrin biosynthetic process	1.21396999898293	0	0	1/480	1/18122	1289	COL5A1	1
GO:0021742	abducens nucleus development	1.02294463454388	0	0	1/480	1/18122	1386	ATF2	1
GO:0021743	hypoglossal nucleus development	1.02294463454388	0	0	1/480	1/18122	1386	ATF2	1
GO:1904478	regulation of intestinal absorption	1.00364019930107	0	0	1/480	1/18122	2035	EPB41	1
GO:0070661	leukocyte proliferation	0.958436168984146	0	0	1/480	1/18122	2150	F2RL1	1
GO:0070963	positive regulation of neutrophil mediated killing of gram-negative bacterium	0.958436168984146	0	0	1/480	1/18122	2150	F2RL1	1
GO:0042249	establishment of planar polarity of embryonic epithelium	1.51621714051233	0	0	2/480	3/18122	9620/2295	CELSR1/FOXF2	2
GO:1902914	regulation of protein polyubiquitination	0.90637294724195	0	0	1/480	1/18122	2295	FOXF2	1
GO:0030222	eosinophil differentiation	1.31857280837173	0	0	1/480	2/18122	2623	GATA1	1
GO:0070663	regulation of leukocyte proliferation	0.968019346076731	0	0	1/480	1/18122	3087	HHEX	1
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	1.0520194893431	0	0	1/480	1/18122	3122	HLA-DRA	1
GO:1903894	regulation of IRE1-mediated unfolded protein response	0.977132926392099	0	0	1/480	3/18122	11153	FICD	1
GO:0061888	regulation of astrocyte activation	1.08289138868866	0	0	1/480	1/18122	3569	IL6	1
GO:0070091	glucagon secretion	1.08289138868866	0	0	1/480	1/18122	3569	IL6	1
GO:0032723	positive regulation of connective tissue growth factor production	1.11739261548528	0	0	1/480	2/18122	9475	ROCK2	1
GO:0097205	renal filtration	1.45338942310955	0	0	1/480	1/18122	3675	ITGA3	1
GO:0045188	regulation of circadian sleep/wake cycle, non-REM sleep	1.07425266212308	0	0	1/480	1/18122	3737	KCNA2	1
GO:0038002	endocrine signaling	1.23906525558689	0	0	1/480	1/18122	3845	KRAS	1
GO:0001705	ectoderm formation	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0035847	uterine epithelium development	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0035849	nephric duct elongation	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0035852	horizontal cell localization	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0072077	renal vesicle morphogenesis	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0072283	metanephric renal vesicle morphogenesis	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0097379	dorsal spinal cord interneuron posterior axon guidance	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:2000744	positive regulation of anterior head development	1.02256877386228	0	0	1/480	1/18122	3975	LHX1	1
GO:0035508	positive regulation of myosin-light-chain-phosphatase activity	1.0011473383416	0	0	1/480	1/18122	4659	PPP1R12A	1
GO:0003327	type B pancreatic cell fate commitment	1.70283417455337	0	0	1/480	1/18122	4821	NKX2-2	1
GO:0060580	ventral spinal cord interneuron fate determination	1.70283417455337	0	0	1/480	1/18122	4821	NKX2-2	1
GO:0035494	SNARE complex disassembly	1.39843684002315	0	0	1/480	3/18122	63908	NAPB	1
GO:0072237	metanephric proximal tubule development	0.92191658751513	0	0	1/480	1/18122	5310	PKD1	1
GO:0072287	metanephric distal tubule morphogenesis	0.92191658751513	0	0	1/480	1/18122	5310	PKD1	1
GO:1902081	negative regulation of calcium ion import into sarcoplasmic reticulum	1.37931854259465	0	0	1/480	2/18122	5350	PLN	1
GO:1903934	positive regulation of DNA primase activity	0.884695785948138	0	0	1/480	1/18122	5558	PRIM2	1
GO:0032535	regulation of cellular component size	0.885786974210069	0	0	1/480	1/18122	5728	PTEN	1
GO:0097107	postsynaptic density assembly	0.885786974210069	0	0	1/480	2/18122	5728	PTEN	1
GO:2000808	negative regulation of synaptic vesicle clustering	0.885786974210069	0	0	1/480	1/18122	5728	PTEN	1
GO:0051463	negative regulation of cortisol secretion	0.974507422649474	0	0	1/480	1/18122	5781	PTPN11	1
GO:0060125	negative regulation of growth hormone secretion	0.974507422649474	0	0	1/480	1/18122	5781	PTPN11	1
GO:0061582	intestinal epithelial cell migration	0.974507422649474	0	0	1/480	1/18122	5781	PTPN11	1
GO:0015826	threonine transport	1.10571882452762	0	0	1/480	1/18122	6509	SLC1A4	1
GO:0034589	hydroxyproline transport	1.10571882452762	0	0	1/480	1/18122	6509	SLC1A4	1
GO:1903812	L-serine import across plasma membrane	1.10571882452762	0	0	1/480	1/18122	6509	SLC1A4	1
GO:0062026	negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process	1.05478402059423	0	0	1/480	1/18122	6815	STYX	1
GO:0046782	regulation of viral transcription	1.14825017670737	0	0	1/480	1/18122	6895	TARBP2	1
GO:0090065	regulation of production of siRNA involved in RNA interference	1.14825017670737	0	0	1/480	1/18122	6895	TARBP2	1
GO:1903798	regulation of production of miRNAs involved in gene silencing by miRNA	1.14825017670737	0	0	1/480	1/18122	6895	TARBP2	1
GO:0090212	negative regulation of establishment of blood-brain barrier	0.960368240518758	0	0	1/480	1/18122	7442	TRPV1	1
GO:1901594	response to capsazepine	0.960368240518758	0	0	1/480	1/18122	7442	TRPV1	1
GO:0060829	negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	0.888369466062317	0	0	1/480	1/18122	9096	TBX18	1
GO:0060930	sinoatrial node cell fate commitment	0.888369466062317	0	0	1/480	1/18122	9096	TBX18	1
GO:0150033	negative regulation of protein localization to lysosome	1.11739261548528	0	0	1/480	1/18122	9475	ROCK2	1
GO:0060488	orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis	1.09428756411353	0	0	1/480	1/18122	9620	CELSR1	1
GO:0060489	planar dichotomous subdivision of terminal units involved in lung branching morphogenesis	1.09428756411353	0	0	1/480	1/18122	9620	CELSR1	1
GO:0060490	lateral sprouting involved in lung morphogenesis	1.09428756411353	0	0	1/480	1/18122	9620	CELSR1	1
GO:1990172	G protein-coupled receptor catabolic process	1.62714727587141	0	0	1/480	2/18122	9737	GPRASP1	1
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism	0.932741486980668	0	0	1/480	1/18122	10105	PPIF	1
GO:0010808	positive regulation of synaptic vesicle priming	1.03886842030657	0	0	1/480	1/18122	10497	UNC13B	1
GO:0070486	leukocyte aggregation	1.26337164977805	0	0	1/480	1/18122	10507	SEMA4D	1
GO:0045584	negative regulation of cytotoxic T cell differentiation	1.00851144974499	0	0	1/480	1/18122	11006	LILRB4	1
GO:0044602	protein deadenylylation	0.977132926392099	0	0	1/480	1/18122	11153	FICD	1
GO:1903926	cellular response to bisphenol A	1.00882412377003	0	0	1/480	1/18122	11200	CHEK2	1
GO:0060566	positive regulation of DNA-templated transcription, termination	1.03078743862493	0	0	1/480	1/18122	23064	SETX	1
GO:2000806	positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled	1.03078743862493	0	0	1/480	1/18122	23064	SETX	1
GO:0010566	regulation of ketone biosynthetic process	0.942083584075588	0	0	1/480	1/18122	23408	SIRT5	1
GO:0036046	protein demalonylation	0.942083584075588	0	0	1/480	1/18122	23408	SIRT5	1
