ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0070413	trehalose metabolism in response to stress	0.350201069802209	0	0	1/467	1/18122	673	BRAF	1
GO:0032347	regulation of aldosterone biosynthetic process	0.354346031965956	0	0	1/467	1/18122	1181	CLCN2	1
GO:0050668	positive regulation of homocysteine metabolic process	0.299764082982568	0	0	1/467	1/18122	1312	COMT	1
GO:0021742	abducens nucleus development	0.292263737938344	0	0	1/467	1/18122	1386	ATF2	1
GO:0021743	hypoglossal nucleus development	0.292263737938344	0	0	1/467	1/18122	1386	ATF2	1
GO:1904478	regulation of intestinal absorption	0.281365857943568	0	0	1/467	1/18122	2035	EPB41	1
GO:0042249	establishment of planar polarity of embryonic epithelium	0.462135577240793	0	0	2/467	3/18122	9620/2295	CELSR1/FOXF2	2
GO:1902914	regulation of protein polyubiquitination	0.277723054588596	0	0	1/467	1/18122	2295	FOXF2	1
GO:0030222	eosinophil differentiation	0.281501535179393	0	0	1/467	2/18122	2623	GATA1	1
GO:1903894	regulation of IRE1-mediated unfolded protein response	0.339380750933136	0	0	1/467	3/18122	11153	FICD	1
GO:0061888	regulation of astrocyte activation	0.407199181288746	0	0	1/467	1/18122	3569	IL6	1
GO:0070091	glucagon secretion	0.407199181288746	0	0	1/467	1/18122	3569	IL6	1
GO:0032723	positive regulation of connective tissue growth factor production	0.323271416871006	0	0	1/467	2/18122	9475	ROCK2	1
GO:0097205	renal filtration	0.37490445482528	0	0	1/467	1/18122	3675	ITGA3	1
GO:0045188	regulation of circadian sleep/wake cycle, non-REM sleep	0.371240231033415	0	0	1/467	1/18122	3737	KCNA2	1
GO:0038002	endocrine signaling	0.470113963858309	0	0	1/467	1/18122	3845	KRAS	1
GO:0001705	ectoderm formation	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0035847	uterine epithelium development	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0035849	nephric duct elongation	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0035852	horizontal cell localization	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0072077	renal vesicle morphogenesis	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0072283	metanephric renal vesicle morphogenesis	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0097379	dorsal spinal cord interneuron posterior axon guidance	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:2000744	positive regulation of anterior head development	0.352624568847837	0	0	1/467	1/18122	3975	LHX1	1
GO:0035508	positive regulation of myosin-light-chain-phosphatase activity	0.317999349229349	0	0	1/467	1/18122	4659	PPP1R12A	1
