ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa00785	Lipoic acid metabolism	0.97439294073231	0.00405457623330107	0.0181005663504902	1/480	4/18122	51601	LIPT1	1
KEGG_hsa03030	DNA replication	1.42329256623706	0.00433246490143279	0.0189941996351306	2/480	36/18122	84153/5558	RNASEH2C/PRIM2	2
KEGG_hsa05310	Asthma	1.8564143632555	0.00526034031617765	0.0228910655005179	3/480	31/18122	3565/3122/3117	IL4/HLA-DRA/HLA-DQA1	3
KEGG_hsa04672	Intestinal immune network for IgA production	2.27658218188489	0.00652129694069053	0.0242806591281878	4/480	49/18122	3565/3122/3117/3569	IL4/HLA-DRA/HLA-DQA1/IL6	4
KEGG_hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3.23808866925675	0.00828123509423711	0.0296205640626798	6/480	89/18122	55509/27040/3845/5781/5728/148022	BATF3/LAT/KRAS/PTPN11/PTEN/TICAM1	6
KEGG_hsa00440	Phosphonate and phosphinate metabolism	0.893744138687695	0.00978497674587247	0.0316769721806225	1/480	6/18122	9468	PCYT1B	1
KEGG_hsa04062	Chemokine signaling pathway	4.49844807191377	0.0117279716048997	0.0373892833882291	10/480	192/18122	108/9547/5590/2793/6362/9475/5196/3845/673/2868	ADCY2/CXCL14/PRKCZ/GNGT2/CCL18/ROCK2/PF4/KRAS/BRAF/GRK4	10
KEGG_hsa05330	Allograft rejection	1.8564143632555	0.0132960805838728	0.0386667065892706	3/480	38/18122	3565/3122/3117	IL4/HLA-DRA/HLA-DQA1	3
KEGG_hsa04750	Inflammatory mediator regulation of TRP channels	3.12908034493938	0.0138159665335543	0.0396499313531455	6/480	98/18122	108/41/7442/5732/2150/3556	ADCY2/ASIC1/TRPV1/PTGER2/F2RL1/IL1RAP	6
KEGG_hsa05332	Graft-versus-host disease	1.95282179637602	0.0146526212174421	0.0418055817419823	3/480	42/18122	3122/3117/3569	HLA-DRA/HLA-DQA1/IL6	3
KEGG_hsa00532	Glycosaminoglycan biosynthesis	1.63902884872906	0.0150561312348233	0.0425840240228898	2/480	20/18122	51363/113189	CHST15/CHST14	2
KEGG_hsa01521	EGFR tyrosine kinase inhibitor resistance	2.84490613161406	0.0153699658550442	0.0433879786841623	5/480	79/18122	2064/3845/673/5728/3569	ERBB2/KRAS/BRAF/PTEN/IL6	5
KEGG_hsa05213	Endometrial cancer	2.48855468982193	0.0161075473208161	0.0452957203182681	4/480	58/18122	2064/3845/673/5728	ERBB2/KRAS/BRAF/PTEN	4
