ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5619094	Variant SLC6A14 may confer susceptibility towards obesity	1.28859100487158	0	0	1/480	1/18122	11254	SLC6A14	1
REACTOME_168275	Entry of Influenza Virion into Host Cell via Endocytosis	1.00597115855818	0	0	1/480	11/18122	1211	CLTA	1
REACTOME_5579000	Defective CYP1B1 causes Glaucoma	0.869198459896955	0	0	1/480	1/18122	1545	CYP1B1	1
REACTOME_5674404	PTEN Loss of Function in Cancer	0.885786974210069	0	0	1/480	1/18122	5728	PTEN	1
REACTOME_5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	1.09866918842107	0	0	1/480	1/18122	6575	SLC20A2	1
REACTOME_168142	Toll Like Receptor 10 (TLR10) Cascade	1.05637728334694	0	0	1/480	1/18122	81793	TLR10	1
REACTOME_9657689	Defective SERPING1 causes hereditary angioedema	1.46254898860714	1.84696288207523e-05	0.000511051144634589	2/480	3/18122	710/2161	SERPING1/F12	2
REACTOME_9028731	Activated NTRK2 signals through FRS2 and FRS3	2.20746717860771	0.000138339916015153	0.00365541417722921	3/480	17/18122	3845/10818/5781	KRAS/FRS2/PTPN11	3
REACTOME_9634635	Estrogen-stimulated signaling through PRKCZ	1.7215582129344	0.000177479474759681	0.00456620438131705	2/480	8/18122	5590/3845	PRKCZ/KRAS	2
REACTOME_419771	Opsins	1.46703029687615	0.000347968725241069	0.00679975999974055	2/480	10/18122	611/10692	OPN1SW/RRH	2
REACTOME_9726840	SHOC2 M1731 mutant abolishes MRAS complex function	1.43089309952368	0.00059696904726921	0.00679975999974055	2/480	8/18122	673/8036	BRAF/SHOC2	2
REACTOME_9726842	Gain-of-function MRAS complexes activate RAF signaling	1.43089309952368	0.00059696904726921	0.00679975999974055	2/480	8/18122	673/8036	BRAF/SHOC2	2
REACTOME_351143	Agmatine biosynthesis	1.29494210973515	0.000700145761991697	0.00679975999974055	1/480	2/18122	79814	AGMAT	1
REACTOME_168164	Toll Like Receptor 3 (TLR3) Cascade	1.09616412188731	0.000700145761991697	0.00679975999974055	1/480	3/18122	148022	TICAM1	1
REACTOME_5602566	TICAM1 deficiency - HSE	1.09616412188731	0.000700145761991697	0.00679975999974055	1/480	2/18122	148022	TICAM1	1
REACTOME_8964540	Alanine metabolism	1.10027334103651	0.000700145761991697	0.00679975999974055	1/480	2/18122	2875	GPT	1
REACTOME_211728	Regulation of PAK-2p34 activity by PS-GAP/RHG10	1.02552066022198	0.000700145761991697	0.00679975999974055	1/480	2/18122	79658	ARHGAP10	1
REACTOME_444411	Rhesus glycoproteins mediate ammonium transport.	0.989527113421751	0.000700145761991697	0.00679975999974055	1/480	3/18122	51458	RHCG	1
REACTOME_5683329	Defective ABCD4 causes MAHCJ	0.921032495909025	0.000700145761991697	0.00679975999974055	1/480	2/18122	5826	ABCD4	1
REACTOME_427652	Sodium-coupled phosphate cotransporters	1.09866918842107	0.000700145761991697	0.00679975999974055	1/480	2/18122	6575	SLC20A2	1
REACTOME_389661	Glyoxylate metabolism and glycine degradation	2.58025093924338	0.000896144079637266	0.00864602166307928	4/480	29/18122	1737/51601/27232/54363	DLAT/LIPT1/GNMT/HAO1	4
REACTOME_629597	Highly calcium permeable nicotinic acetylcholine receptors	1.59727464786862	0.000936390231475963	0.00880266842602243	2/480	9/18122	1143/1138	CHRNB4/CHRNA5	2
REACTOME_2142816	Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	1.52772243135592	0.000936390231475963	0.00880266842602243	2/480	9/18122	1545/8529	CYP1B1/CYP4F2	2
REACTOME_5654706	FRS-mediated FGFR3 signaling	2.20746717860771	0.0013730851297457	0.011550075795997	3/480	20/18122	3845/10818/5781	KRAS/FRS2/PTPN11	3
REACTOME_9014325	TICAM1,TRAF6-dependent induction of TAK1 complex	1.62671995650951	0.0013770344054743	0.011550075795997	2/480	11/18122	257397/148022	TAB3/TICAM1	2
REACTOME_110056	MAPK3 (ERK1) activation	1.55921673113201	0.0013770344054743	0.011550075795997	2/480	10/18122	5781/3569	PTPN11/IL6	2
REACTOME_112411	MAPK1 (ERK2) activation	1.55921673113201	0.0013770344054743	0.011550075795997	2/480	9/18122	5781/3569	PTPN11/IL6	2
REACTOME_975871	MyD88 cascade initiated on plasma membrane	1.74427298742644	0.0013770344054743	0.011550075795997	2/480	10/18122	51295/81793	ECSIT/TLR10	2
REACTOME_114604	GPVI-mediated activation cascade	2.41366128654686	0.00164185889182267	0.011550075795997	4/480	40/18122	391/5590/27040/5781	RHOG/PRKCZ/LAT/PTPN11	4
REACTOME_5654693	FRS-mediated FGFR1 signaling	2.20746717860771	0.00168075817008931	0.011550075795997	3/480	23/18122	3845/10818/5781	KRAS/FRS2/PTPN11	3
REACTOME_5654712	FRS-mediated FGFR4 signaling	2.20746717860771	0.00168075817008931	0.011550075795997	3/480	22/18122	3845/10818/5781	KRAS/FRS2/PTPN11	3
REACTOME_388844	Receptor-type tyrosine-protein phosphatases	2.34782786804117	0.00168075817008931	0.011550075795997	3/480	20/18122	139065/8497/3556	SLITRK4/PPFIA4/IL1RAP	3
REACTOME_8853334	Signaling by FGFR3 fusions in cancer	1.85761731932367	0.00192865720104901	0.011550075795997	2/480	10/18122	3845/10818	KRAS/FRS2	2
REACTOME_9634285	Constitutive Signaling by Overexpressed ERBB2	1.86282648725509	0.00192865720104901	0.011550075795997	2/480	11/18122	2064/3845	ERBB2/KRAS	2
REACTOME_189085	Digestion of dietary carbohydrate	1.41938572392162	0.00192865720104901	0.011550075795997	2/480	11/18122	277/278	AMY1B/AMY1C	2
REACTOME_9703648	Signaling by FLT3 ITD and TKD mutants	1.67757438978883	0.00192865720104901	0.011550075795997	2/480	14/18122	3845/5781	KRAS/PTPN11	2
REACTOME_416572	Sema4D induced cell migration and growth-cone collapse	2.31963370358083	0.00203320833868273	0.011550075795997	3/480	26/18122	10507/2064/9475	SEMA4D/ERBB2/ROCK2	3
REACTOME_389948	PD-1 signaling	1.88297981734087	0.00203320833868273	0.011550075795997	3/480	23/18122	3122/3117/5781	HLA-DRA/HLA-DQA1/PTPN11	3
REACTOME_69091	Polymerase switching	0.884695785948138	0.00206349802833359	0.011550075795997	1/480	14/18122	5558	PRIM2	1
REACTOME_69166	Removal of the Flap Intermediate	0.884695785948138	0.00206349802833359	0.011550075795997	1/480	14/18122	5558	PRIM2	1
REACTOME_69183	Processive synthesis on the lagging strand	0.884695785948138	0.00206349802833359	0.011550075795997	1/480	10/18122	5558	PRIM2	1
REACTOME_9652282	Drug-mediated inhibition of ERBB2 signaling	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665233	Resistance of ERBB2 KD mutants to trastuzumab	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665244	Resistance of ERBB2 KD mutants to sapitinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665245	Resistance of ERBB2 KD mutants to tesevatinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665246	Resistance of ERBB2 KD mutants to neratinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665247	Resistance of ERBB2 KD mutants to osimertinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665249	Resistance of ERBB2 KD mutants to afatinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665250	Resistance of ERBB2 KD mutants to AEE788	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665251	Resistance of ERBB2 KD mutants to lapatinib	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
REACTOME_9665737	Drug resistance in ERBB2 TMD/JMD mutants	1.21894903074348	0.00206349802833359	0.011550075795997	1/480	4/18122	2064	ERBB2	1
