ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5619094	Variant SLC6A14 may confer susceptibility towards obesity	0.526356575101574	0	0	1/467	1/18122	11254	SLC6A14	1
REACTOME_168275	Entry of Influenza Virion into Host Cell via Endocytosis	0.26476624891309	0	0	1/467	11/18122	1211	CLTA	1
REACTOME_5674404	PTEN Loss of Function in Cancer	0.266068387079373	0	0	1/467	1/18122	5728	PTEN	1
REACTOME_5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	0.42141854978702	0	0	1/467	1/18122	6575	SLC20A2	1
REACTOME_168142	Toll Like Receptor 10 (TLR10) Cascade	0.331891446125181	0	0	1/467	1/18122	81793	TLR10	1
REACTOME_9657689	Defective SERPING1 causes hereditary angioedema	0.487683399007049	1.7006277851254e-05	0.000569185422898143	2/467	3/18122	710/2161	SERPING1/F12	2
REACTOME_9634635	Estrogen-stimulated signaling through PRKCZ	0.562398869073932	0.000163596980482154	0.00498327431558561	2/467	8/18122	5590/3845	PRKCZ/KRAS	2
REACTOME_351143	Agmatine biosynthesis	0.358906606656256	0.000662696246590801	0.00701784970510805	1/467	2/18122	79814	AGMAT	1
REACTOME_379398	Enzymatic degradation of Dopamine by monoamine oxidase	0.299764082982568	0.000662696246590801	0.00701784970510805	1/467	2/18122	1312	COMT	1
REACTOME_5619049	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	0.289087928647327	0.000662696246590801	0.00701784970510805	1/467	2/18122	1356	CP	1
REACTOME_5619060	Defective CP causes aceruloplasminemia (ACERULOP)	0.289087928647327	0.000662696246590801	0.00701784970510805	1/467	2/18122	1356	CP	1
REACTOME_168164	Toll Like Receptor 3 (TLR3) Cascade	0.28217283411673	0.000662696246590801	0.00701784970510805	1/467	3/18122	148022	TICAM1	1
REACTOME_5602566	TICAM1 deficiency - HSE	0.28217283411673	0.000662696246590801	0.00701784970510805	1/467	2/18122	148022	TICAM1	1
REACTOME_8964540	Alanine metabolism	0.32928979748877	0.000662696246590801	0.00701784970510805	1/467	2/18122	2875	GPT	1
REACTOME_211728	Regulation of PAK-2p34 activity by PS-GAP/RHG10	0.346999502654548	0.000662696246590801	0.00701784970510805	1/467	2/18122	79658	ARHGAP10	1
REACTOME_444411	Rhesus glycoproteins mediate ammonium transport.	0.266876701234904	0.000662696246590801	0.00701784970510805	1/467	3/18122	51458	RHCG	1
REACTOME_5683329	Defective ABCD4 causes MAHCJ	0.309943828273178	0.000662696246590801	0.00701784970510805	1/467	2/18122	5826	ABCD4	1
REACTOME_427652	Sodium-coupled phosphate cotransporters	0.42141854978702	0.000662696246590801	0.00701784970510805	1/467	2/18122	6575	SLC20A2	1
REACTOME_629597	Highly calcium permeable nicotinic acetylcholine receptors	0.500441457897754	0.000864556341945076	0.00898012353644867	2/467	9/18122	1143/1138	CHRNB4/CHRNA5	2
REACTOME_425410	Metal ion SLC transporters	0.442068001290612	0.00127208563590355	0.0125236419267458	2/467	9/18122	1356/254428	CP/SLC41A1	2
REACTOME_975871	MyD88 cascade initiated on plasma membrane	0.53019196223101	0.00127208563590355	0.0125236419267458	2/467	10/18122	51295/81793	ECSIT/TLR10	2
REACTOME_388844	Receptor-type tyrosine-protein phosphatases	0.747904016214638	0.00151940525393561	0.0125236419267458	3/467	20/18122	139065/8497/3556	SLITRK4/PPFIA4/IL1RAP	3
REACTOME_8853334	Signaling by FGFR3 fusions in cancer	0.608566011422704	0.00178262944880555	0.0125236419267458	2/467	10/18122	3845/10818	KRAS/FRS2	2
REACTOME_9630794	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	0.297504125021897	0.0019540761840699	0.0125236419267458	1/467	3/18122	1021	CDK6	1
REACTOME_9632700	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	0.297504125021897	0.0019540761840699	0.0125236419267458	1/467	3/18122	1021	CDK6	1
REACTOME_5250958	Toxicity of botulinum toxin type B (botB)	0.371517174958971	0.0019540761840699	0.0125236419267458	1/467	4/18122	127833	SYT2	1
