ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-0.989912333668213	0	0	1/510	3/18122	8451	CUL4A	1
CORUM_1984	PEX14 homodimer complex	-0.944663924191205	0	0	1/510	1/18122	5195	PEX14	1
CORUM_2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	-0.989912333668213	0	0	1/510	2/18122	8451	CUL4A	1
CORUM_2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	-0.989912333668213	0	0	1/510	4/18122	8451	CUL4A	1
CORUM_2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-0.989912333668213	0	0	1/510	3/18122	8451	CUL4A	1
CORUM_6486	CUL4A-DDB1-DTL complex	-0.989912333668213	0	0	1/510	3/18122	8451	CUL4A	1
CORUM_6489	CUL4A-DDB1-WDR5 complex	-0.989912333668213	0	0	1/510	3/18122	8451	CUL4A	1
CORUM_6493	CUL4A-DDB1-WDR57 complex	-1.98636721701982	0	0	2/510	3/18122	8451/9410	CUL4A/SNRNP40	2
CORUM_6523	Ubiquilin-VCP-erasin complex	-1.91695983290679	0	0	2/510	3/18122	23190/29979	UBXN4/UBQLN1	2
CORUM_6982	ORMDL3-SPTLC1 complex	-0.882223591319311	0	0	1/510	2/18122	94103	ORMDL3	1
CORUM_6738	PRAME-ElonginBC ubiquitin ligase	-1.51088883419876	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	6923/23532	ELOB/PRAME	2
CORUM_7146	GNAS-L-GNB1-GNG1 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7151	GNAS-L-GNB4-GNG2 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7156	GNAS-L-GNB5-GNG3 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7164	GNAS-L-GNB5-GNG4 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7169	GNAS-L-GNB5-GNG5 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7174	GNAS-L-GNB5-GNG7 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7179	GNAS-L-GNB5-GNG8 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7194	GNAS-L-GNB5-GNG10 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7203	GNAS-L-GNB5-GNG11 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7208	GNAS-L-GNB5-GNG12 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_7213	GNAS-L-GNB5-GNG13 complex	-1.73635308398063	2.21618081489702e-05	0.000527451033945491	2/510	3/18122	2778/10681	GNAS/GNB5	2
CORUM_338	40S ribosomal subunit, cytoplasmic	-1.58195859957045	0.000212420126363907	0.00435250245675448	2/510	31/18122	6234/6231	RPS28/RPS26	2
CORUM_7556	PRAME complex	-1.51088883419876	0.000212420126363907	0.00435250245675448	2/510	7/18122	6923/23532	ELOB/PRAME	2
