ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
CORUM_391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-0.426223572192572	0	0	1/499	3/18122	8451	CUL4A	1
CORUM_819	20S methylosome-SmD complex	-0.370784763451306	0	0	1/499	4/18122	6634	SNRPD3	1
CORUM_833	6S methyltransferase complex	-0.370784763451306	0	0	1/499	3/18122	6634	SNRPD3	1
CORUM_834	20S methylosome and RG-containing Sm protein complex	-0.370784763451306	0	0	1/499	6/18122	6634	SNRPD3	1
CORUM_1984	PEX14 homodimer complex	-0.265557376334696	0	0	1/499	1/18122	5195	PEX14	1
CORUM_2162	APPBP1-UBA3 complex	-0.414235457020536	0	0	1/499	2/18122	8883	NAE1	1
CORUM_2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	-0.426223572192572	0	0	1/499	2/18122	8451	CUL4A	1
CORUM_2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	-0.426223572192572	0	0	1/499	4/18122	8451	CUL4A	1
CORUM_2540	BCR-ABL (p210 fusion protein)-GRB2 complex	-0.271195670197886	0	0	1/499	1/18122	2885	GRB2	1
CORUM_2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	-0.426223572192572	0	0	1/499	3/18122	8451	CUL4A	1
CORUM_2892	BCR-ABL (p185 fusion protein)-GRB2 complex	-0.271195670197886	0	0	1/499	1/18122	2885	GRB2	1
CORUM_6486	CUL4A-DDB1-DTL complex	-0.426223572192572	0	0	1/499	3/18122	8451	CUL4A	1
CORUM_6489	CUL4A-DDB1-WDR5 complex	-0.426223572192572	0	0	1/499	3/18122	8451	CUL4A	1
CORUM_6493	CUL4A-DDB1-WDR57 complex	-0.758972031541271	0	0	2/499	3/18122	8451/9410	CUL4A/SNRNP40	2
CORUM_430	18S U11/U12 snRNP	-0.717195119100018	8.15440078346437e-06	0.00022955407488545	3/499	24/18122	85437/6634/154007	ZCRB1/SNRPD3/SNRNP48	3
CORUM_6332	Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)	-0.659145529711143	8.15440078346437e-06	0.00022955407488545	3/499	6/18122	55140/8518/54859	ELP3/ELP1/ELP6	3
CORUM_2716	Elongator core complex	-0.505002968672099	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	55140/8518	ELP3/ELP1	2
CORUM_2788	BRCA1 B complex	-0.426469352199917	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	571/580	BACH1/BARD1	2
CORUM_6178	LUBAC complex	-0.559482703810589	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	81858/10616	SHARPIN/RBCK1	2
CORUM_7085	GNAI1-GNB5-GNG11 complex	-0.4927828361405	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	2791/10681	GNG11/GNB5	2
CORUM_7203	GNAS-L-GNB5-GNG11 complex	-0.4927828361405	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	2791/10681	GNG11/GNB5	2
CORUM_351	Spliceosome	-1.17020763373705	3.24664718831409e-05	0.00081411724453187	7/499	143/18122	10915/26986/7919/9410/6634/51645/4809	TCERG1/PABPC1/DDX39B/SNRNP40/SNRPD3/PPIL1/SNU13	7
CORUM_1380	Elongator holo complex	-0.505002968672099	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	55140/8518	ELP3/ELP1	2
CORUM_2196	9-1-1-LIG1 complex	-0.433797500707502	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	3978/5883	LIG1/RAD9A	2
CORUM_338	40S ribosomal subunit, cytoplasmic	-0.648539560903236	0.000199128566746086	0.00436911502331118	2/499	31/18122	6234/6231	RPS28/RPS26	2
CORUM_2817	BRCA1-BARD1-BACH1-DNA damage complex I	-0.426469352199917	0.000199128566746086	0.00436911502331118	2/499	6/18122	571/580	BACH1/BARD1	2
CORUM_5228	REL-MAP3K8-RELA-TNIP2-PAPOLA complex	-0.637150118283119	0.000199128566746086	0.00436911502331118	2/499	5/18122	1326/5970	MAP3K8/RELA	2
CORUM_7373	BRD7-SWI\u2013SNF-SUZ12 complex	-0.482516667495781	0.000199128566746086	0.00436911502331118	2/499	5/18122	54496/29117	PRMT7/BRD7	2
CORUM_1068	12S U11 snRNP	-0.549059590744049	0.000390102732708707	0.00680146295627497	2/499	15/18122	6634/154007	SNRPD3/SNRNP48	2
CORUM_2105	IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)	-0.573691632543998	0.000390102732708707	0.00680146295627497	2/499	6/18122	5970/8518	RELA/ELP1	2
CORUM_6388	CORVET complex	-0.745753581321282	0.000390102732708707	0.00680146295627497	2/499	6/18122	65082/57617	VPS33A/VPS18	2
CORUM_6389	HOPS complex	-0.745753581321282	0.000390102732708707	0.00680146295627497	2/499	6/18122	65082/57617	VPS33A/VPS18	2
CORUM_305	40S ribosomal subunit, cytoplasmic	-0.648539560903236	0.000668720926923328	0.00680146295627497	2/499	33/18122	6234/6231	RPS28/RPS26	2
CORUM_2815	BRCA1-BARD1-BACH1-DNA damage complex II	-0.426469352199917	0.000668720926923328	0.00680146295627497	2/499	8/18122	571/580	BACH1/BARD1	2
CORUM_201	HUIC complex	-0.29460720012681	0.000756731133204856	0.00680146295627497	1/499	2/18122	580	BARD1	1
CORUM_223	CAND1-CUL4A-RBX1 complex	-0.426223572192572	0.000756731133204856	0.00680146295627497	1/499	3/18122	8451	CUL4A	1
