ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:1900159	positive regulation of bone mineralization involved in bone maturation	-0.998409056058398	0	0	1/510	2/18122	4057	LTF	1
GO:0051089	constitutive protein ectodomain proteolysis	-1.02261074806348	0	0	1/510	1/18122	102	ADAM10	1
GO:1902443	negative regulation of ripoptosome assembly involved in necroptotic process	-0.940138228487829	0	0	1/510	1/18122	329	BIRC2	1
GO:0003359	noradrenergic neuron fate commitment	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0007400	neuroblast fate determination	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0021750	vestibular nucleus development	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0060163	subpallium neuron fate commitment	-0.873704001261621	0	0	1/510	2/18122	429	ASCL1	1
GO:0060165	regulation of timing of subpallium neuron differentiation	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0061100	lung neuroendocrine cell differentiation	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0061102	stomach neuroendocrine cell differentiation	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0061103	carotid body glomus cell differentiation	-0.873704001261621	0	0	1/510	1/18122	429	ASCL1	1
GO:0018205	peptidyl-lysine modification	-0.899921874404471	0	0	1/510	1/18122	538	ATP7A	1
GO:0034760	negative regulation of iron ion transmembrane transport	-0.899921874404471	0	0	1/510	2/18122	538	ATP7A	1
GO:0042414	epinephrine metabolic process	-0.899921874404471	0	0	1/510	1/18122	538	ATP7A	1
GO:0051542	elastin biosynthetic process	-0.899921874404471	0	0	1/510	1/18122	538	ATP7A	1
GO:1903036	positive regulation of response to wounding	-0.899921874404471	0	0	1/510	1/18122	538	ATP7A	1
GO:0032490	detection of molecule of bacterial origin	-1.60722808704448	0	0	2/510	2/18122	721/3929	C4B/LBP	2
GO:0099105	ion channel modulating, G protein-coupled receptor signaling pathway	-1.12008056879882	0	0	1/510	1/18122	1258	CNGB1	1
GO:0071306	cellular response to vitamin E	-0.885358387562056	0	0	1/510	1/18122	1277	COL1A1	1
GO:1902618	cellular response to fluoride	-0.885358387562056	0	0	1/510	1/18122	1277	COL1A1	1
GO:0097376	interneuron axon guidance	-1.35079814979627	0	0	1/510	1/18122	1749	DLX5	1
GO:0071245	cellular response to carbon monoxide	-1.3670667960267	0	0	1/510	1/18122	1785	DNM2	1
GO:0045933	positive regulation of muscle contraction	-1.4588612234426	0	0	1/510	1/18122	2023	ENO1	1
GO:0035606	peptidyl-cysteine S-trans-nitrosylation	-0.896138427006254	0	0	1/510	2/18122	6280	S100A9	1
GO:0033036	macromolecule localization	-0.90290297138839	0	0	1/510	1/18122	3929	LBP	1
GO:0045919	positive regulation of cytolysis	-0.90290297138839	0	0	1/510	1/18122	3929	LBP	1
GO:0060265	positive regulation of respiratory burst involved in inflammatory response	-0.90290297138839	0	0	1/510	2/18122	3929	LBP	1
GO:1903461	Okazaki fragment processing involved in mitotic DNA replication	-1.00380758248232	0	0	1/510	1/18122	3978	LIG1	1
GO:0018969	thiocyanate metabolic process	-0.966502566237985	0	0	1/510	1/18122	4025	LPO	1
GO:1900229	negative regulation of single-species biofilm formation in or on host organism	-0.998409056058398	0	0	1/510	2/18122	4057	LTF	1
GO:2000308	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	-0.998409056058398	0	0	1/510	1/18122	4057	LTF	1
GO:0006049	UDP-N-acetylglucosamine catabolic process	-0.972342008232178	0	0	1/510	1/18122	4245	MGAT1	1
GO:0009070	serine family amino acid biosynthetic process	-1.12664161450027	0	0	1/510	1/18122	4522	MTHFD1	1
GO:0072697	protein localization to cell cortex	-0.90794008450523	0	0	1/510	2/18122	7430	EZR	1
GO:0051866	general adaptation syndrome	-0.967238078374015	0	0	1/510	1/18122	4929	NR4A2	1
GO:0061107	seminal vesicle development	-1.19888116939505	0	0	1/510	1/18122	5104	SERPINA5	1
GO:0036250	peroxisome transport along microtubule	-0.944663924191205	0	0	1/510	1/18122	5195	PEX14	1
GO:0044721	protein import into peroxisome matrix, substrate release	-0.944663924191205	0	0	1/510	1/18122	5195	PEX14	1
GO:0071042	nuclear polyadenylation-dependent mRNA catabolic process	-1.12909566784214	0	0	1/510	4/18122	87178	PNPT1	1
GO:0002190	cap-independent translational initiation	-1.10851820647211	0	0	1/510	1/18122	5936	RBM4	1
GO:0002192	IRES-dependent translational initiation of linear mRNA	-1.10851820647211	0	0	1/510	1/18122	5936	RBM4	1
GO:0006117	acetaldehyde metabolic process	-0.900852342232869	0	0	1/510	1/18122	5970	RELA	1
GO:0045113	regulation of integrin biosynthetic process	-0.896138427006254	0	0	1/510	1/18122	6280	S100A9	1
GO:0032341	aldosterone metabolic process	-1.03031686224301	0	0	1/510	1/18122	6338	SCNN1B	1
GO:0010585	glutamine secretion	-0.917563662166202	0	0	1/510	1/18122	6510	SLC1A5	1
GO:1903803	L-glutamine import across plasma membrane	-0.917563662166202	0	0	1/510	1/18122	6510	SLC1A5	1
GO:0035921	desmosome disassembly	-1.1213296646387	0	0	1/510	1/18122	6591	SNAI2	1
GO:0001315	age-dependent response to reactive oxygen species	-1.8428842931136	0	0	1/510	1/18122	6648	SOD2	1
GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure	-1.8428842931136	0	0	1/510	1/18122	6648	SOD2	1
GO:0071000	response to magnetism	-1.8428842931136	0	0	1/510	1/18122	6648	SOD2	1
GO:1901610	positive regulation of vesicle transport along microtubule	-1.06767867271748	0	0	1/510	1/18122	6794	STK11	1
GO:0034130	toll-like receptor 1 signaling pathway	-1.11274441430838	0	0	1/510	1/18122	7096	TLR1	1
GO:0014886	transition between slow and fast fiber	-1.09217767739734	0	0	1/510	1/18122	9569	GTF2IRD1	1
GO:0051383	kinetochore organization	-1.01861384995792	0	0	1/510	6/18122	64946	CENPH	1
GO:0046341	CDP-diacylglycerol metabolic process	-0.956715838253938	0	0	1/510	1/18122	10423	CDIPT	1
GO:0046601	positive regulation of centriole replication	-0.87432013835177	0	0	1/510	2/18122	23636	NUP62	1
GO:2000176	positive regulation of pro-T cell differentiation	-0.872134346916802	0	0	1/510	1/18122	22890	ZBTB1	1
GO:1903064	positive regulation of reverse cholesterol transport	-0.926255383975281	0	0	1/510	1/18122	23461	ABCA5	1
GO:0062208	positive regulation of pattern recognition receptor signaling pathway	-1.15934429647388	0	0	1/510	1/18122	25921	ZDHHC5	1
GO:1901340	negative regulation of store-operated calcium channel activity	-0.958133529609306	0	0	1/510	1/18122	29979	UBQLN1	1
GO:1905609	positive regulation of smooth muscle cell-matrix adhesion	-1.26088303747053	0	0	1/510	1/18122	30008	EFEMP2	1
GO:0033514	L-lysine catabolic process to acetyl-CoA via L-pipecolate	-0.907258734393024	0	0	1/510	1/18122	51268	PIPOX	1
GO:0043400	cortisol secretion	-1.0780608933243	0	0	1/510	1/18122	51738	GHRL	1
GO:0006055	CMP-N-acetylneuraminate biosynthetic process	-0.926896265384036	0	0	1/510	1/18122	54187	NANS	1
GO:0000964	mitochondrial RNA 5'-end processing	-1.5230733081912	0	0	2/510	2/18122	87178/54931	PNPT1/TRMT10C	2
GO:0090646	mitochondrial tRNA processing	-0.880611611003192	0	0	1/510	2/18122	54931	TRMT10C	1
GO:0015931	nucleobase-containing compound transport	-0.994884046783153	0	0	1/510	1/18122	55508	SLC35E3	1
GO:1901264	carbohydrate derivative transport	-0.994884046783153	0	0	1/510	1/18122	55508	SLC35E3	1
GO:0030954	astral microtubule nucleation	-1.22022039304377	0	0	1/510	1/18122	55835	CENPJ	1
GO:0003236	sinus venosus morphogenesis	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0003259	cardioblast anterior-lateral migration	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0042664	negative regulation of endodermal cell fate specification	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0060921	sinoatrial node cell differentiation	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0060975	cardioblast migration to the midline involved in heart field formation	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0070368	positive regulation of hepatocyte differentiation	-1.03715428177446	0	0	1/510	1/18122	55897	MESP1	1
GO:0006669	sphinganine-1-phosphate biosynthetic process	-1.1073749183815	0	0	1/510	1/18122	56848	SPHK2	1
GO:0033008	positive regulation of mast cell activation involved in immune response	-1.1073749183815	0	0	1/510	1/18122	56848	SPHK2	1
GO:0043977	histone H2A-K5 acetylation	-1.1073749183815	0	0	1/510	1/18122	56848	SPHK2	1
GO:0043980	histone H2B-K12 acetylation	-1.1073749183815	0	0	1/510	1/18122	56848	SPHK2	1
GO:0030026	cellular manganese ion homeostasis	-0.984252276938072	0	0	1/510	1/18122	64116	SLC39A8	1
GO:0061757	leukocyte adhesion to arterial endothelial cell	-0.984252276938072	0	0	1/510	1/18122	64116	SLC39A8	1
GO:0097080	plasma membrane selenite transport	-0.984252276938072	0	0	1/510	1/18122	64116	SLC39A8	1
GO:1990540	mitochondrial manganese ion transmembrane transport	-0.984252276938072	0	0	1/510	1/18122	64116	SLC39A8	1
GO:0003142	cardiogenic plate morphogenesis	-1.05778399634232	0	0	1/510	1/18122	64321	SOX17	1
GO:2000043	regulation of cardiac cell fate specification	-1.05778399634232	0	0	1/510	1/18122	64321	SOX17	1
GO:0060300	regulation of cytokine activity	-0.915210139369359	0	0	1/510	1/18122	64388	GREM2	1
GO:0043543	protein acylation	-1.15306866946684	0	0	1/510	1/18122	64429	ZDHHC6	1
GO:0034477	U6 snRNA 3'-end processing	-0.971544647079689	0	0	1/510	2/18122	79650	USB1	1
GO:0061960	regulation of heme oxygenase activity	-1.70577662055202	0	0	1/510	1/18122	81502	HM13	1
GO:1905584	outer hair cell apoptotic process	-0.959100923770491	0	0	1/510	1/18122	84899	TMTC4	1
GO:0071654	positive regulation of chemokine (C-C motif) ligand 1 production	-1.13368892722726	0	0	1/510	1/18122	85480	TSLP	1
GO:0000957	mitochondrial RNA catabolic process	-1.12909566784214	0	0	1/510	1/18122	87178	PNPT1	1
GO:0035927	RNA import into mitochondrion	-1.12909566784214	0	0	1/510	1/18122	87178	PNPT1	1
GO:0097222	mitochondrial mRNA polyadenylation	-1.12909566784214	0	0	1/510	1/18122	87178	PNPT1	1
GO:1904221	negative regulation of serine C-palmitoyltransferase activity	-0.882223591319311	0	0	1/510	1/18122	94103	ORMDL3	1
GO:1901228	positive regulation of transcription from RNA polymerase II promoter involved in heart development	-1.65908840623681	0	0	1/510	1/18122	140628	GATA5	1
GO:2000691	negative regulation of cardiac muscle cell myoblast differentiation	-0.964581622125131	0	0	1/510	1/18122	144165	PRICKLE1	1
GO:1902064	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis	-1.24254940797156	0	0	1/510	1/18122	170506	DHX36	1
GO:0061028	establishment of endothelial barrier	-2.69678074081486	6.71340020963122e-06	0.000187128470708099	5/510	18/18122	7430/2889/5908/54538/9693	EZR/RAPGEF1/RAP1B/ROBO4/RAPGEF2	5
