ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
GO:0140018	regulation of cytoplasmic translational fidelity	-0.339752472592456	0	0	1/499	1/18122	16	AARS1	1
GO:0032464	positive regulation of protein homooligomerization	-0.262900226390356	0	0	1/499	1/18122	21	ABCA3	1
GO:1900159	positive regulation of bone mineralization involved in bone maturation	-0.316219394964804	0	0	1/499	2/18122	4057	LTF	1
GO:1902443	negative regulation of ripoptosome assembly involved in necroptotic process	-0.386297096801177	0	0	1/499	1/18122	329	BIRC2	1
GO:0061394	regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	-0.295826384802942	0	0	1/499	1/18122	467	ATF3	1
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	-0.268122483803172	0	0	1/499	1/18122	571	BACH1	1
GO:0031441	negative regulation of mRNA 3'-end processing	-0.29460720012681	0	0	1/499	1/18122	580	BARD1	1
GO:0097403	cellular response to raffinose	-0.266471966640362	0	0	1/499	1/18122	677	ZFP36L1	1
GO:0099105	ion channel modulating, G protein-coupled receptor signaling pathway	-0.297768128349891	0	0	1/499	1/18122	1258	CNGB1	1
GO:0097376	interneuron axon guidance	-0.57089960399406	0	0	1/499	1/18122	1749	DLX5	1
GO:0071245	cellular response to carbon monoxide	-0.590336609836059	0	0	1/499	1/18122	1785	DNM2	1
GO:0045933	positive regulation of muscle contraction	-0.653273685793987	0	0	1/499	1/18122	2023	ENO1	1
GO:1900134	negative regulation of renin secretion into blood stream	-0.265804879608848	0	0	1/499	1/18122	2149	F2R	1
GO:0006426	glycyl-tRNA aminoacylation	-0.354183298894457	0	0	1/499	1/18122	2617	GARS1	1
GO:0070150	mitochondrial glycyl-tRNA aminoacylation	-0.354183298894457	0	0	1/499	1/18122	2617	GARS1	1
GO:0045041	protein import into mitochondrial intermembrane space	-0.26296700120677	0	0	1/499	3/18122	9131	AIFM1	1
GO:0033036	macromolecule localization	-0.328716573956568	0	0	1/499	1/18122	3929	LBP	1
GO:0045919	positive regulation of cytolysis	-0.328716573956568	0	0	1/499	1/18122	3929	LBP	1
GO:0060265	positive regulation of respiratory burst involved in inflammatory response	-0.328716573956568	0	0	1/499	2/18122	3929	LBP	1
GO:1903461	Okazaki fragment processing involved in mitotic DNA replication	-0.29791852121822	0	0	1/499	1/18122	3978	LIG1	1
GO:0018969	thiocyanate metabolic process	-0.290000819702505	0	0	1/499	1/18122	4025	LPO	1
GO:1900229	negative regulation of single-species biofilm formation in or on host organism	-0.316219394964804	0	0	1/499	2/18122	4057	LTF	1
GO:2000308	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	-0.316219394964804	0	0	1/499	1/18122	4057	LTF	1
GO:0048211	Golgi vesicle docking	-0.303824931281073	0	0	1/499	2/18122	8615	USO1	1
GO:0036250	peroxisome transport along microtubule	-0.265557376334696	0	0	1/499	1/18122	5195	PEX14	1
GO:0044721	protein import into peroxisome matrix, substrate release	-0.265557376334696	0	0	1/499	1/18122	5195	PEX14	1
GO:0071042	nuclear polyadenylation-dependent mRNA catabolic process	-0.358417410060987	0	0	1/499	4/18122	87178	PNPT1	1
GO:0006221	pyrimidine nucleotide biosynthetic process	-0.320631375790426	0	0	1/499	1/18122	5631	PRPS1	1
GO:0046101	hypoxanthine biosynthetic process	-0.320631375790426	0	0	1/499	1/18122	5631	PRPS1	1
GO:1903771	positive regulation of beta-galactosidase activity	-0.278551111449846	0	0	1/499	1/18122	5660	PSAP	1
GO:1905572	ganglioside GM1 transport to membrane	-0.278551111449846	0	0	1/499	1/18122	5660	PSAP	1
GO:0006425	glutaminyl-tRNA aminoacylation	-0.389726732810222	0	0	1/499	2/18122	51520	LARS1	1
GO:0002190	cap-independent translational initiation	-0.413351869813699	0	0	1/499	1/18122	5936	RBM4	1
GO:0002192	IRES-dependent translational initiation of linear mRNA	-0.413351869813699	0	0	1/499	1/18122	5936	RBM4	1
GO:0006117	acetaldehyde metabolic process	-0.434360127283188	0	0	1/499	1/18122	5970	RELA	1
GO:0090169	regulation of spindle assembly	-0.264803322412734	0	0	1/499	2/18122	6047	RNF4	1
GO:0002035	brain renin-angiotensin system	-0.340119207738052	0	0	1/499	1/18122	6196	RPS6KA2	1
GO:0032341	aldosterone metabolic process	-0.273109413753273	0	0	1/499	1/18122	6338	SCNN1B	1
GO:0010585	glutamine secretion	-0.265723037254393	0	0	1/499	1/18122	6510	SLC1A5	1
GO:1903803	L-glutamine import across plasma membrane	-0.265723037254393	0	0	1/499	1/18122	6510	SLC1A5	1
GO:0035921	desmosome disassembly	-0.275674626092113	0	0	1/499	1/18122	6591	SNAI2	1
GO:0001315	age-dependent response to reactive oxygen species	-0.688341222996362	0	0	1/499	1/18122	6648	SOD2	1
GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure	-0.688341222996362	0	0	1/499	1/18122	6648	SOD2	1
GO:0071000	response to magnetism	-0.688341222996362	0	0	1/499	1/18122	6648	SOD2	1
GO:1901610	positive regulation of vesicle transport along microtubule	-0.3913629143161	0	0	1/499	1/18122	6794	STK11	1
GO:0097696	receptor signaling pathway via STAT	-0.264700672490999	0	0	1/499	1/18122	7066	THPO	1
GO:0019860	uracil metabolic process	-0.32870557473882	0	0	1/499	1/18122	7298	TYMS	1
GO:0002926	tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation	-0.505002968672099	0	0	2/499	2/18122	55140/8518	ELP3/ELP1	2
GO:0006437	tyrosyl-tRNA aminoacylation	-0.368181024608165	0	0	1/499	1/18122	8565	YARS1	1
GO:0014886	transition between slow and fast fiber	-0.281794185415272	0	0	1/499	1/18122	9569	GTF2IRD1	1
GO:0045132	meiotic chromosome segregation	-0.387171474088447	0	0	1/499	4/18122	151648	SGO1	1
GO:0051383	kinetochore organization	-0.535670196540365	0	0	1/499	6/18122	64946	CENPH	1
GO:0046341	CDP-diacylglycerol metabolic process	-0.360223367060266	0	0	1/499	1/18122	10423	CDIPT	1
GO:0016246	RNA interference	-0.296706636677726	0	0	1/499	2/18122	10658	CELF1	1
GO:0046601	positive regulation of centriole replication	-0.390920715889986	0	0	1/499	2/18122	23636	NUP62	1
GO:0045620	negative regulation of lymphocyte differentiation	-0.300266264522883	0	0	1/499	1/18122	25793	FBXO7	1
GO:0062208	positive regulation of pattern recognition receptor signaling pathway	-0.338429451986347	0	0	1/499	1/18122	25921	ZDHHC5	1
GO:0000349	generation of catalytic spliceosome for first transesterification step	-0.287243121257571	0	0	1/499	3/18122	55702	YJU2	1
GO:0009234	menaquinone biosynthetic process	-0.273148896122841	0	0	1/499	1/18122	29914	UBIAD1	1
GO:0032194	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	-0.273148896122841	0	0	1/499	1/18122	29914	UBIAD1	1
GO:0042371	vitamin K biosynthetic process	-0.273148896122841	0	0	1/499	1/18122	29914	UBIAD1	1
GO:1905609	positive regulation of smooth muscle cell-matrix adhesion	-0.348529501615971	0	0	1/499	1/18122	30008	EFEMP2	1
GO:0071701	regulation of MAPK export from nucleus	-0.309292317824173	0	0	1/499	1/18122	51277	DNAJC27	1
GO:1903541	regulation of exosomal secretion	-0.311184212807162	0	0	1/499	2/18122	51652	CHMP3	1
GO:0006055	CMP-N-acetylneuraminate biosynthetic process	-0.276557835647432	0	0	1/499	1/18122	54187	NANS	1
GO:0015931	nucleobase-containing compound transport	-0.265225247864605	0	0	1/499	1/18122	55508	SLC35E3	1
GO:1901264	carbohydrate derivative transport	-0.265225247864605	0	0	1/499	1/18122	55508	SLC35E3	1
GO:0030954	astral microtubule nucleation	-0.317765544632782	0	0	1/499	1/18122	55835	CENPJ	1
GO:0006669	sphinganine-1-phosphate biosynthetic process	-0.270884195231859	0	0	1/499	1/18122	56848	SPHK2	1
GO:0033008	positive regulation of mast cell activation involved in immune response	-0.270884195231859	0	0	1/499	1/18122	56848	SPHK2	1
GO:0043977	histone H2A-K5 acetylation	-0.270884195231859	0	0	1/499	1/18122	56848	SPHK2	1
GO:0043980	histone H2B-K12 acetylation	-0.270884195231859	0	0	1/499	1/18122	56848	SPHK2	1
GO:1905553	regulation of blood vessel branching	-0.296816065422674	0	0	1/499	1/18122	63943	FKBPL	1
GO:0003142	cardiogenic plate morphogenesis	-0.317126811508275	0	0	1/499	1/18122	64321	SOX17	1
GO:2000043	regulation of cardiac cell fate specification	-0.317126811508275	0	0	1/499	1/18122	64321	SOX17	1
GO:0043543	protein acylation	-0.308173610513238	0	0	1/499	1/18122	64429	ZDHHC6	1
GO:0034477	U6 snRNA 3'-end processing	-0.514396482727572	0	0	1/499	2/18122	79650	USB1	1
GO:0061960	regulation of heme oxygenase activity	-0.307094660150906	0	0	1/499	1/18122	81502	HM13	1
GO:0000957	mitochondrial RNA catabolic process	-0.358417410060987	0	0	1/499	1/18122	87178	PNPT1	1
GO:0035927	RNA import into mitochondrion	-0.358417410060987	0	0	1/499	1/18122	87178	PNPT1	1
GO:0097222	mitochondrial mRNA polyadenylation	-0.358417410060987	0	0	1/499	1/18122	87178	PNPT1	1
GO:1901228	positive regulation of transcription from RNA polymerase II promoter involved in heart development	-0.583217265051595	0	0	1/499	1/18122	140628	GATA5	1
GO:1902064	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis	-0.538450496725434	0	0	1/499	1/18122	170506	DHX36	1
GO:0000398	mRNA splicing, via spliceosome	-1.85915686846539	2.8559651179171e-09	8.35509795280846e-08	14/499	183/18122	143884/26986/7919/9410/139804/85437/5936/6634/51645/10929/11193/57721/54883/4809	CWF19L2/PABPC1/DDX39B/SNRNP40/RBMXL3/ZCRB1/RBM4/SNRPD3/PPIL1/SRSF8/WBP4/METTL14/CWC25/SNU13	14
GO:1904582	positive regulation of intracellular mRNA localization	-0.610017156239948	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	677/170506	ZFP36L1/DHX36	2
GO:0051036	regulation of endosome size	-0.540070227295436	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	57679/51652	ALS2/CHMP3	2
GO:1904045	cellular response to aldosterone	-0.40626995153522	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	6338/9131	SCNN1B/AIFM1	2
GO:0097039	protein linear polyubiquitination	-0.559482703810589	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	81858/10616	SHARPIN/RBCK1	2
GO:0006418	tRNA aminoacylation for protein translation	-0.787550683035149	3.70680851240463e-05	0.000921759716751284	4/499	18/18122	16/2617/51520/7407	AARS1/GARS1/LARS1/VARS1	4
GO:0044793	negative regulation by host of viral process	-0.470998327131611	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	4057/5806	LTF/PTX3	2
GO:0042373	vitamin K metabolic process	-0.470395666302698	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	154807/29914	VKORC1L1/UBIAD1	2
GO:0032642	regulation of chemokine production	-0.628648183470107	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	2532/6591	ACKR1/SNAI2	2
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-0.524536968269028	8.13187160652568e-05	0.00191066967510808	2/499	14/18122	84365/54680	NIFK/ZNHIT6	2
GO:0006655	phosphatidylglycerol biosynthetic process	-0.506634899016588	8.13187160652568e-05	0.00191066967510808	2/499	4/18122	8760/57678	CDS2/GPAM	2
GO:0043276	anoikis	-0.618472837069689	0.000104532460330398	0.00243691298145241	3/499	11/18122	6794/5290/7027	STK11/PIK3CA/TFDP1	3
GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity	-0.655362943118467	0.000160694316606069	0.00371714605234503	3/499	13/18122	16/51520/7407	AARS1/LARS1/VARS1	3
GO:0015820	leucine transport	-0.711105513909021	0.000199128566746086	0.00436911502331118	2/499	5/18122	6520/3993	SLC3A2/LLGL2	2
GO:0007059	chromosome segregation	-1.10879225049666	0.000318650975227391	0.00680146295627497	6/499	74/18122	151648/51647/7405/90417/79023/64946	SGO1/CIAO2B/UVRAG/KNSTRN/NUP37/CENPH	6
GO:0002031	G protein-coupled receptor internalization	-0.897569626284529	0.000333218151303546	0.00680146295627497	3/499	13/18122	407/2966/1785	ARR3/GTF2H2/DNM2	3
GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter	-0.63520043496936	0.000333218151303546	0.00680146295627497	3/499	16/18122	55837/10915/7469	EAPP/TCERG1/NELFA	3
GO:0035196	production of miRNAs involved in gene silencing by miRNA	-1.01413405170709	0.000333218151303546	0.00680146295627497	3/499	15/18122	8575/29066/51490	PRKRA/ZC3H7A/SPOUT1	3
GO:0030490	maturation of SSU-rRNA	-0.571428387651174	0.000390102732708707	0.00680146295627497	2/499	16/18122	6234/4809	RPS28/SNU13	2
GO:0017196	N-terminal peptidyl-methionine acetylation	-0.589640069447823	0.000390102732708707	0.00680146295627497	2/499	7/18122	80018/51126	NAA25/NAA20	2
GO:0106035	protein maturation by [4Fe-4S] cluster transfer	-0.648050993640368	0.000390102732708707	0.00680146295627497	2/499	6/18122	51647/220064	CIAO2B/LTO1	2
GO:0008380	RNA splicing	-1.46576766291299	0.000547433999405719	0.00680146295627497	9/499	169/18122	10915/79650/7919/9410/55702/85437/6634/11193/154007	TCERG1/USB1/DDX39B/SNRNP40/YJU2/ZCRB1/SNRPD3/WBP4/SNRNP48	9
GO:0055091	phospholipid homeostasis	-0.548098425315301	0.000608873547645959	0.00680146295627497	3/499	15/18122	9388/21/57678	LIPG/ABCA3/GPAM	3
GO:0001944	vasculature development	-0.628423851253667	0.000608873547645959	0.00680146295627497	3/499	15/18122	6794/5290/79583	STK11/PIK3CA/TMEM231	3
GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	-0.704194613345068	0.000608873547645959	0.00680146295627497	3/499	15/18122	677/26986/170506	ZFP36L1/PABPC1/DHX36	3
GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator	-0.531607691502775	0.000608873547645959	0.00680146295627497	3/499	15/18122	6591/55702/64844	SNAI2/YJU2/MARCHF7	3
GO:0072091	regulation of stem cell proliferation	-0.442285168117558	0.000668720926923328	0.00680146295627497	2/499	7/18122	677/64321	ZFP36L1/SOX17	2
GO:0010501	RNA secondary structure unwinding	-0.661417129999433	0.000668720926923328	0.00680146295627497	2/499	8/18122	7919/170506	DDX39B/DHX36	2
GO:0000028	ribosomal small subunit assembly	-0.579850891790289	0.000668720926923328	0.00680146295627497	2/499	15/18122	51081/6234	MRPS7/RPS28	2
GO:0000492	box C/D snoRNP assembly	-0.446534693357144	0.000668720926923328	0.00680146295627497	2/499	10/18122	54680/4809	ZNHIT6/SNU13	2
GO:0043457	regulation of cellular respiration	-0.486883691277804	0.000668720926923328	0.00680146295627497	2/499	7/18122	5290/87178	PIK3CA/PNPT1	2
GO:0150172	regulation of phosphatidylcholine metabolic process	-0.262900226390356	0.000756731133204856	0.00680146295627497	1/499	2/18122	21	ABCA3	1
GO:1901661	quinone metabolic process	-0.361724092375848	0.000756731133204856	0.00680146295627497	1/499	2/18122	9946	CRYZL1	1
GO:1904026	regulation of collagen fibril organization	-0.348529501615971	0.000756731133204856	0.00680146295627497	1/499	2/18122	30008	EFEMP2	1
GO:2001169	regulation of ATP biosynthetic process	-0.270884195231859	0.000756731133204856	0.00680146295627497	1/499	2/18122	56848	SPHK2	1
GO:0051054	positive regulation of DNA metabolic process	-0.265658412722404	0.000756731133204856	0.00680146295627497	1/499	2/18122	306	ANXA3	1
GO:0044869	negative regulation by host of viral exo-alpha-sialidase activity	-0.305266623646157	0.000756731133204856	0.00680146295627497	1/499	2/18122	5806	PTX3	1
GO:0044871	negative regulation by host of viral glycoprotein metabolic process	-0.305266623646157	0.000756731133204856	0.00680146295627497	1/499	2/18122	5806	PTX3	1
GO:1903016	negative regulation of exo-alpha-sialidase activity	-0.305266623646157	0.000756731133204856	0.00680146295627497	1/499	2/18122	5806	PTX3	1
GO:1903019	negative regulation of glycoprotein metabolic process	-0.305266623646157	0.000756731133204856	0.00680146295627497	1/499	2/18122	5806	PTX3	1
GO:0006168	adenine salvage	-0.329812887272389	0.000756731133204856	0.00680146295627497	1/499	2/18122	353	APRT	1
GO:0021903	rostrocaudal neural tube patterning	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	3/18122	64321	SOX17	1
GO:0003342	proepicardium development	-0.266471966640362	0.000756731133204856	0.00680146295627497	1/499	2/18122	677	ZFP36L1	1
GO:0031086	nuclear-transcribed mRNA catabolic process, deadenylation-independent decay	-0.266471966640362	0.000756731133204856	0.00680146295627497	1/499	2/18122	677	ZFP36L1	1
GO:1902172	regulation of keratinocyte apoptotic process	-0.266471966640362	0.000756731133204856	0.00680146295627497	1/499	2/18122	677	ZFP36L1	1
GO:0032490	detection of molecule of bacterial origin	-0.328716573956568	0.000756731133204856	0.00680146295627497	1/499	2/18122	3929	LBP	1
GO:0015920	lipopolysaccharide transport	-0.328716573956568	0.000756731133204856	0.00680146295627497	1/499	2/18122	3929	LBP	1
GO:0000076	DNA replication checkpoint signaling	-0.274480712638839	0.000756731133204856	0.00680146295627497	1/499	10/18122	5883	RAD9A	1
GO:1901329	regulation of odontoblast differentiation	-0.564898997104278	0.000756731133204856	0.00680146295627497	1/499	2/18122	1834	DSPP	1
GO:0010893	positive regulation of steroid biosynthetic process	-0.312668628590119	0.000756731133204856	0.00680146295627497	1/499	2/18122	2488	FSHB	1
GO:1902510	regulation of apoptotic DNA fragmentation	-0.26296700120677	0.000756731133204856	0.00680146295627497	1/499	2/18122	9131	AIFM1	1
GO:0021630	olfactory nerve maturation	-0.297768128349891	0.000756731133204856	0.00680146295627497	1/499	2/18122	1258	CNGB1	1
GO:0099553	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	-0.265804879608848	0.000756731133204856	0.00680146295627497	1/499	3/18122	2149	F2R	1
GO:0018879	biphenyl metabolic process	-0.294178483978058	0.000756731133204856	0.00680146295627497	1/499	2/18122	1580	CYP4B1	1
GO:0006231	dTMP biosynthetic process	-0.32870557473882	0.000756731133204856	0.00680146295627497	1/499	2/18122	7298	TYMS	1
GO:1903526	negative regulation of membrane tubulation	-0.590336609836059	0.000756731133204856	0.00680146295627497	1/499	2/18122	1785	DNM2	1
GO:0030917	midbrain-hindbrain boundary development	-0.31582331040446	0.000756731133204856	0.00680146295627497	1/499	2/18122	2019	EN1	1
GO:0007529	establishment of synaptic specificity at neuromuscular junction	-0.265804879608848	0.000756731133204856	0.00680146295627497	1/499	2/18122	2149	F2R	1
GO:2000348	regulation of CD40 signaling pathway	-0.362086644578581	0.000756731133204856	0.00680146295627497	1/499	2/18122	81858	SHARPIN	1
GO:0010747	positive regulation of long-chain fatty acid import across plasma membrane	-0.280073826688048	0.000756731133204856	0.00680146295627497	1/499	2/18122	51703	ACSL5	1
GO:0019322	pentose biosynthetic process	-0.346611429328417	0.000756731133204856	0.00680146295627497	1/499	2/18122	5226	PGD	1
GO:0007493	endodermal cell fate determination	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	2/18122	64321	SOX17	1
GO:0110076	negative regulation of ferroptosis	-0.279855020837156	0.000756731133204856	0.00680146295627497	1/499	2/18122	2879	GPX4	1
GO:0002643	regulation of tolerance induction	-0.26205529576826	0.000756731133204856	0.00680146295627497	1/499	2/18122	64844	MARCHF7	1
GO:0018216	peptidyl-arginine methylation	-0.312196546156693	0.000756731133204856	0.00680146295627497	1/499	4/18122	54496	PRMT7	1
GO:0061031	endodermal digestive tract morphogenesis	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	2/18122	64321	SOX17	1
GO:0006273	lagging strand elongation	-0.29791852121822	0.000756731133204856	0.00680146295627497	1/499	3/18122	3978	LIG1	1
GO:0016072	rRNA metabolic process	-0.37001308726654	0.000756731133204856	0.00680146295627497	1/499	2/18122	84365	NIFK	1
GO:0034418	urate biosynthetic process	-0.320631375790426	0.000756731133204856	0.00680146295627497	1/499	2/18122	5631	PRPS1	1
GO:0040017	positive regulation of locomotion	-0.303879544674925	0.000756731133204856	0.00680146295627497	1/499	2/18122	11149	BVES	1
GO:0019543	propionate catabolic process	-0.27821334839967	0.000756731133204856	0.00680146295627497	1/499	2/18122	5106	PCK2	1
GO:0046327	glycerol biosynthetic process from pyruvate	-0.27821334839967	0.000756731133204856	0.00680146295627497	1/499	2/18122	5106	PCK2	1
GO:0016561	protein import into peroxisome matrix, translocation	-0.265557376334696	0.000756731133204856	0.00680146295627497	1/499	2/18122	5195	PEX14	1
GO:0046177	D-gluconate catabolic process	-0.346611429328417	0.000756731133204856	0.00680146295627497	1/499	2/18122	5226	PGD	1
GO:0006041	glucosamine metabolic process	-0.354877437152447	0.000756731133204856	0.00680146295627497	1/499	2/18122	64841	GNPNAT1	1
GO:0080090	regulation of primary metabolic process	-0.546164818684685	0.000756731133204856	0.00680146295627497	1/499	2/18122	5564	PRKAB1	1
GO:0071322	cellular response to carbohydrate stimulus	-0.340119207738052	0.000756731133204856	0.00680146295627497	1/499	2/18122	6196	RPS6KA2	1
GO:1901726	negative regulation of histone deacetylase activity	-0.270884195231859	0.000756731133204856	0.00680146295627497	1/499	3/18122	56848	SPHK2	1
GO:0032055	negative regulation of translation in response to stress	-0.413351869813699	0.000756731133204856	0.00680146295627497	1/499	2/18122	5936	RBM4	1
GO:0090234	regulation of kinetochore assembly	-0.264803322412734	0.000756731133204856	0.00680146295627497	1/499	3/18122	6047	RNF4	1
GO:0097274	urea homeostasis	-0.273109413753273	0.000756731133204856	0.00680146295627497	1/499	2/18122	6338	SCNN1B	1
GO:0015823	phenylalanine transport	-0.532869567873085	0.000756731133204856	0.00680146295627497	1/499	2/18122	6520	SLC3A2	1
GO:0070563	negative regulation of vitamin D receptor signaling pathway	-0.275674626092113	0.000756731133204856	0.00680146295627497	1/499	2/18122	6591	SNAI2	1
GO:0042796	snRNA transcription by RNA polymerase III	-0.2775278872811	0.000756731133204856	0.00680146295627497	1/499	8/18122	23379	ICE1	1
GO:1902631	negative regulation of membrane hyperpolarization	-0.688341222996362	0.000756731133204856	0.00680146295627497	1/499	2/18122	6648	SOD2	1
GO:1905932	positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching	-0.688341222996362	0.000756731133204856	0.00680146295627497	1/499	3/18122	6648	SOD2	1
GO:0000965	mitochondrial RNA 3'-end processing	-0.358417410060987	0.000756731133204856	0.00680146295627497	1/499	2/18122	87178	PNPT1	1
GO:1905524	negative regulation of protein autoubiquitination	-0.26205529576826	0.000756731133204856	0.00680146295627497	1/499	2/18122	64844	MARCHF7	1
GO:0002756	MyD88-independent toll-like receptor signaling pathway	-0.49982112429376	0.000756731133204856	0.00680146295627497	1/499	2/18122	79931	TNIP3	1
GO:0060693	regulation of branching involved in salivary gland morphogenesis	-0.271130759109086	0.000756731133204856	0.00680146295627497	1/499	2/18122	55727	BTBD7	1
GO:0006438	valyl-tRNA aminoacylation	-0.287542877183857	0.000756731133204856	0.00680146295627497	1/499	2/18122	7407	VARS1	1
GO:1903843	cellular response to arsenite ion	-0.538450496725434	0.000756731133204856	0.00680146295627497	1/499	3/18122	170506	DHX36	1
GO:0046784	viral mRNA export from host cell nucleus	-0.334294638629522	0.000756731133204856	0.00680146295627497	1/499	8/18122	7919	DDX39B	1
GO:2000002	negative regulation of DNA damage checkpoint	-0.334294638629522	0.000756731133204856	0.00680146295627497	1/499	4/18122	7919	DDX39B	1
GO:0006478	peptidyl-tyrosine sulfation	-0.364983544070421	0.000756731133204856	0.00680146295627497	1/499	2/18122	8460	TPST1	1
GO:0036367	light adaption	-0.3715719751676	0.000756731133204856	0.00680146295627497	1/499	2/18122	10681	GNB5	1
GO:0021649	vestibulocochlear nerve structural organization	-0.304062338211709	0.000756731133204856	0.00680146295627497	1/499	2/18122	8828	NRP2	1
GO:1904835	dorsal root ganglion morphogenesis	-0.304062338211709	0.000756731133204856	0.00680146295627497	1/499	2/18122	8828	NRP2	1
GO:0001828	inner cell mass cellular morphogenesis	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	2/18122	64321	SOX17	1
GO:1901475	pyruvate transmembrane transport	-0.407967330328133	0.000756731133204856	0.00680146295627497	1/499	2/18122	9194	SLC16A7	1
GO:2001257	regulation of cation channel activity	-0.269427971727917	0.000756731133204856	0.00680146295627497	1/499	2/18122	23630	KCNE5	1
GO:1903438	positive regulation of mitotic cytokinetic process	-0.390920715889986	0.000756731133204856	0.00680146295627497	1/499	2/18122	23636	NUP62	1
GO:0033127	regulation of histone phosphorylation	-0.557954187300362	0.000756731133204856	0.00680146295627497	1/499	2/18122	10270	AKAP8	1
GO:0044839	cell cycle G2/M phase transition	-0.557954187300362	0.000756731133204856	0.00680146295627497	1/499	2/18122	10270	AKAP8	1
GO:0060973	cell migration involved in heart development	-0.303879544674925	0.000756731133204856	0.00680146295627497	1/499	2/18122	11149	BVES	1
GO:0097309	cap1 mRNA methylation	-0.340410336608267	0.000756731133204856	0.00680146295627497	1/499	2/18122	23070	CMTR1	1
GO:1905171	positive regulation of protein localization to phagocytic vesicle	-0.338429451986347	0.000756731133204856	0.00680146295627497	1/499	2/18122	25921	ZDHHC5	1
GO:0006429	leucyl-tRNA aminoacylation	-0.389726732810222	0.000756731133204856	0.00680146295627497	1/499	2/18122	51520	LARS1	1
GO:0061010	gall bladder development	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	2/18122	64321	SOX17	1
GO:0061763	multivesicular body-lysosome fusion	-0.311184212807162	0.000756731133204856	0.00680146295627497	1/499	2/18122	51652	CHMP3	1
GO:0061511	centriole elongation	-0.317765544632782	0.000756731133204856	0.00680146295627497	1/499	2/18122	55835	CENPJ	1
GO:0044565	dendritic cell proliferation	-0.280168669194934	0.000756731133204856	0.00680146295627497	1/499	2/18122	29110	TBK1	1
GO:2000156	regulation of retrograde vesicle-mediated transport, Golgi to ER	-0.354959442194089	0.000756731133204856	0.00680146295627497	1/499	2/18122	51272	BET1L	1
GO:0048866	stem cell fate specification	-0.317126811508275	0.000756731133204856	0.00680146295627497	1/499	2/18122	64321	SOX17	1
