ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa04932	Non-alcoholic fatty liver disease	-4.06291134992686	0.00269111862026432	0.0131123165529099	10/510	155/18122	5564/5970/51085/5290/4728/4701/4705/5313/4713/51094	PRKAB1/RELA/MLXIPL/PIK3CA/NDUFS8/NDUFA7/NDUFA10/PKLR/NDUFB7/ADIPOR1	10
KEGG_hsa04960	Aldosterone-regulated sodium reabsorption	-2.26623931762695	0.00317416435638666	0.0152261465405586	4/510	37/18122	478/6338/2810/5290	ATP1A3/SCNN1B/SFN/PIK3CA	4
KEGG_hsa05033	Nicotine addiction	-2.47506837600257	0.00358668584538036	0.0170506466397397	4/510	40/18122	2554/2905/2559/2570	GABRA1/GRIN2C/GABRA6/GABRR2	4
KEGG_hsa03420	Nucleotide excision repair	-2.01366240145386	0.00650749757195284	0.0249803939052383	3/510	47/18122	2966/8451/3978	GTF2H2/CUL4A/LIG1	3
KEGG_hsa03022	Basal transcription factors	-1.99339514387476	0.00842638012544643	0.0277648776444422	3/510	45/18122	2966/51616/9569	GTF2H2/TAF9B/GTF2IRD1	3
KEGG_hsa03010	Ribosome	-3.19031864814716	0.00845318913327447	0.0278235821046289	5/510	158/18122	6150/6234/55173/6231/100529239	MRPL23/RPS28/MRPS10/RPS26/RPS10-NUDT3	5
KEGG_hsa04610	Complement and coagulation cascades	-3.13677977343202	0.00884416633154329	0.0290795437086025	6/510	85/18122	733/721/5104/1675/2/713	C8G/C4B/SERPINA5/CFD/A2M/C1QB	6
KEGG_hsa00450	Selenocompound metabolism	-1.49430340194145	0.00944217339704857	0.0306870635404078	2/510	17/18122	56267/118672	KYAT3/PSTK	2
KEGG_hsa05211	Renal cell carcinoma	-2.4669537341629	0.0105382801569949	0.0322858016768034	5/510	69/18122	2889/6923/5290/5908/112398	RAPGEF1/ELOB/PIK3CA/RAP1B/EGLN2	5
KEGG_hsa04211	Longevity regulating pathway	-3.4904334349449	0.0113177408477325	0.0327568664012015	6/510	89/18122	6794/5564/5970/6648/5290/51094	STK11/PRKAB1/RELA/SOD2/PIK3CA/ADIPOR1	6
KEGG_hsa04723	Retrograde endocannabinoid signaling	-3.67526554558629	0.0155025462829786	0.040613783403502	8/510	148/18122	2554/4728/2559/4701/4705/2570/4713/10681	GABRA1/NDUFS8/GABRA6/NDUFA7/NDUFA10/GABRR2/NDUFB7/GNB5	8
KEGG_hsa03018	RNA degradation	-2.98084683586823	0.0203744803796492	0.0483796180311854	4/510	79/18122	2023/645974/170506/87178	ENO1/PABPC1L2B/DHX36/PNPT1	4
KEGG_hsa05146	Amoebiasis	-2.93627056991445	0.0217027101617581	0.051297314927792	6/510	102/18122	733/9630/5970/1277/5290/2778	C8G/GNA14/RELA/COL1A1/PIK3CA/GNAS	6
