ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
KEGG_hsa00970	Aminoacyl-tRNA biosynthesis	-1.20428099578715	9.06517140444705e-06	0.00025280814458757	7/499	66/18122	16/2617/8565/51520/6897/7407/118672	AARS1/GARS1/YARS1/LARS1/TARS1/VARS1/PSTK	7
KEGG_hsa03040	Spliceosome	-1.20374120077914	1.93976389854962e-05	0.000524875871607923	7/499	147/18122	10915/7919/9410/6634/51645/10929/4809	TCERG1/DDX39B/SNRNP40/SNRPD3/PPIL1/SRSF8/SNU13	7
KEGG_hsa03010	Ribosome	-1.29030895122876	0.00168042377234147	0.0113101809502558	6/499	158/18122	51081/6150/6234/55173/6231/100529239	MRPS7/MRPL23/RPS28/MRPS10/RPS26/RPS10-NUDT3	6
KEGG_hsa03018	RNA degradation	-1.12522209986174	0.004283250332952	0.0177903511563516	5/499	79/18122	26986/2023/645974/170506/87178	PABPC1/ENO1/PABPC1L2B/DHX36/PNPT1	5
KEGG_hsa03420	Nucleotide excision repair	-0.79626779878526	0.00602941930604956	0.0235803239963983	3/499	47/18122	2966/8451/3978	GTF2H2/CUL4A/LIG1	3
KEGG_hsa00030	Pentose phosphate pathway	-0.607510241712186	0.00688389003690643	0.0246736679974865	3/499	30/18122	230/5631/5226	ALDOC/PRPS1/PGD	3
KEGG_hsa04068	FoxO signaling pathway	-1.33294416013509	0.00774072735388569	0.0260116333603546	8/499	131/18122	5106/10912/2885/6794/10769/5564/6648/5290	PCK2/GADD45G/GRB2/STK11/PLK2/PRKAB1/SOD2/PIK3CA	8
KEGG_hsa03022	Basal transcription factors	-0.687153048348816	0.00781471627982851	0.0260257961819289	3/499	45/18122	2966/51616/9569	GTF2H2/TAF9B/GTF2IRD1	3
KEGG_hsa00450	Selenocompound metabolism	-0.577975054451571	0.00889581618507468	0.0292025473006192	2/499	17/18122	56267/118672	KYAT3/PSTK	2
KEGG_hsa05135	Yersinia infection	-1.10882478293007	0.0108697968758246	0.0322420217469788	8/499	137/18122	29110/63916/5970/5290/23365/3984/5586/6196	TBK1/ELMO2/RELA/PIK3CA/ARHGEF12/LIMK1/PKN2/RPS6KA2	8
KEGG_hsa04920	Adipocytokine signaling pathway	-1.01393167955395	0.0109676562749414	0.0324999864194889	5/499	69/18122	5106/6794/5564/5970/51703	PCK2/STK11/PRKAB1/RELA/ACSL5	5
KEGG_hsa04960	Aldosterone-regulated sodium reabsorption	-0.584993793340995	0.0166727374235523	0.0438169955487965	3/499	37/18122	478/6338/5290	ATP1A3/SCNN1B/PIK3CA	3
KEGG_hsa05220	Chronic myeloid leukemia	-0.817306451401746	0.017203153578996	0.0450695437047621	5/499	76/18122	53358/10912/2885/5970/5290	SHC3/GADD45G/GRB2/RELA/PIK3CA	5
KEGG_hsa03015	mRNA surveillance pathway	-0.831360985917504	0.0200835827487809	0.0487230983108635	4/499	98/18122	26986/7919/645974/9887	PABPC1/DDX39B/PABPC1L2B/SMG7	4
KEGG_hsa04216	Ferroptosis	-0.704192758459285	0.0218336831927171	0.0524148919123635	3/499	41/18122	2879/6520/51703	GPX4/SLC3A2/ACSL5	3
KEGG_hsa04964	Proximal tubule bicarbonate reclamation	-0.476612899604235	0.0244108882774872	0.0542383400000163	2/499	23/18122	5106/478	PCK2/ATP1A3	2
KEGG_hsa04931	Insulin resistance	-1.06099204542431	0.0248299166899218	0.0551283269365525	6/499	108/18122	5106/5564/5970/51085/5290/6196	PCK2/PRKAB1/RELA/MLXIPL/PIK3CA/RPS6KA2	6
KEGG_hsa00510	N-Glycan biosynthesis	-0.571027778356827	0.0257595438421104	0.057064943448298	3/499	50/18122	6185/84920/57134	RPN2/ALG10/MAN1C1	3
KEGG_hsa00010	Glycolysis / Gluconeogenesis	-0.852869131974786	0.0261205377106336	0.0577788617705935	4/499	67/18122	230/5106/2023/5313	ALDOC/PCK2/ENO1/PKLR	4
KEGG_hsa03013	Nucleocytoplasmic transport	-0.720667061767246	0.0261205377106336	0.0577788617705935	4/499	109/18122	10526/7919/23636/79023	IPO8/DDX39B/NUP62/NUP37	4
KEGG_hsa03008	Ribosome biogenesis in eukaryotes	-0.404249580707247	0.0273416228201014	0.0600790887298842	2/499	110/18122	10813/4809	UTP14A/SNU13	2
KEGG_hsa04211	Longevity regulating pathway	-1.23145205533945	0.0328813535276879	0.0685660090332779	5/499	89/18122	6794/5564/5970/6648/5290	STK11/PRKAB1/RELA/SOD2/PIK3CA	5
KEGG_hsa04744	Phototransduction	-0.462529533347773	0.0337384656767577	0.0700108355907129	2/499	29/18122	1259/1258	CNGA1/CNGB1	2
KEGG_hsa01230	Biosynthesis of amino acids	-0.877231891117775	0.035148016639966	0.0704694285394819	4/499	75/18122	230/2023/5313/5631	ALDOC/ENO1/PKLR/PRPS1	4
KEGG_hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	-0.347541906756856	0.0353055615504442	0.0704694285394819	1/499	11/18122	154807	VKORC1L1	1
KEGG_hsa05100	Bacterial invasion of epithelial cells	-0.838313540182085	0.0371574596286769	0.0738596512812504	4/499	77/18122	53358/63916/5290/1785	SHC3/ELMO2/PIK3CA/DNM2	4
KEGG_hsa04130	SNARE interactions in vesicular transport	-0.512631056411129	0.040840281245439	0.078631272799893	2/499	33/18122	51272/9570	BET1L/GOSR2	2
KEGG_hsa04917	Prolactin signaling pathway	-0.742827838679338	0.0413840521870717	0.078631272799893	4/499	70/18122	53358/2885/5970/5290	SHC3/GRB2/RELA/PIK3CA	4
KEGG_hsa04666	Fc gamma R-mediated phagocytosis	-0.894952453729284	0.0414902045904308	0.078631272799893	5/499	97/18122	55616/5290/56848/3984/1785	ASAP3/PIK3CA/SPHK2/LIMK1/DNM2	5
KEGG_hsa03060	Protein export	-0.302176189853526	0.0416081701578522	0.078631272799893	1/499	23/18122	58477	SRPRB	1
KEGG_hsa03430	Mismatch repair	-0.29791852121822	0.0416081701578522	0.078631272799893	1/499	23/18122	3978	LIG1	1
KEGG_hsa04072	Phospholipase D signaling pathway	-1.05171099774161	0.0429166196196017	0.0810013870619175	7/499	148/18122	53358/2885/2149/5290/56848/1785/9267	SHC3/GRB2/F2R/PIK3CA/SPHK2/DNM2/CYTH1	7
KEGG_hsa04623	Cytosolic DNA-sensing pathway	-0.642176494720419	0.0454820810944052	0.0849834251632467	3/499	63/18122	29110/5970/55718	TBK1/RELA/POLR3E	3
KEGG_hsa04932	Non-alcoholic fatty liver disease	-1.15301536914729	0.0475231370250312	0.086919445931961	7/499	155/18122	5564/5970/51085/5290/4728/5313/4713	PRKAB1/RELA/MLXIPL/PIK3CA/NDUFS8/PKLR/NDUFB7	7
KEGG_hsa03020	RNA polymerase	-0.282029954526241	0.0482950540734556	0.086919445931961	1/499	31/18122	55718	POLR3E	1
KEGG_hsa03030	DNA replication	-0.29791852121822	0.0482950540734556	0.086919445931961	1/499	36/18122	3978	LIG1	1
KEGG_hsa01523	Antifolate resistance	-0.578295662945322	0.0486316325073218	0.0870004744615396	2/499	31/18122	7298/5970	TYMS/RELA	2
KEGG_hsa03440	Homologous recombination	-0.519993148182078	0.0486316325073218	0.0870004744615396	2/499	41/18122	580/50511	BARD1/SYCP3	2
KEGG_hsa00513	Various types of N-glycan biosynthesis	-0.428355565396447	0.0527797499592895	0.0938586256725387	2/499	39/18122	6185/57134	RPN2/MAN1C1	2
KEGG_hsa05214	Glioma	-0.644137494908583	0.0531753025788947	0.0944494660091796	4/499	75/18122	53358/10912/2885/5290	SHC3/GADD45G/GRB2/PIK3CA	4
KEGG_hsa04660	T cell receptor signaling pathway	-0.932987272991107	0.0557354983642783	0.0963186505563572	5/499	104/18122	1326/2885/5970/5290/919	MAP3K8/GRB2/RELA/PIK3CA/CD247	5
KEGG_hsa04620	Toll-like receptor signaling pathway	-0.910690384173387	0.0579833910147514	0.0996673034493193	5/499	104/18122	1326/29110/5970/5290/3929	MAP3K8/TBK1/RELA/PIK3CA/LBP	5
KEGG_hsa00512	Mucin type O-glycan biosynthesis	-0.492102652851767	0.0615663744873712	0.104672607744559	2/499	36/18122	79695/64409	GALNT12/GALNT17	2
KEGG_hsa04926	Relaxin signaling pathway	-0.949160193758142	0.0617029679514107	0.104672607744559	6/499	129/18122	53358/2885/5970/5290/2791/10681	SHC3/GRB2/RELA/PIK3CA/GNG11/GNB5	6
KEGG_hsa00603	Glycosphingolipid biosynthesis	-0.269893511913375	0.0627193775627586	0.104672607744559	1/499	15/18122	26301	GBGT1	1
KEGG_hsa00480	Glutathione metabolism	-0.576105933468056	0.0680519345865607	0.112814984892387	3/499	58/18122	2879/2949/5226	GPX4/GSTM5/PGD	3
KEGG_hsa05213	Endometrial cancer	-0.526956686096796	0.0680519345865607	0.112814984892387	3/499	58/18122	10912/2885/5290	GADD45G/GRB2/PIK3CA	3
KEGG_hsa04662	B cell receptor signaling pathway	-0.723273889253933	0.0696464487847379	0.113505585064591	4/499	82/18122	2885/5970/5290/971	GRB2/RELA/PIK3CA/CD72	4
KEGG_hsa04910	Insulin signaling pathway	-0.95781015455889	0.0726530077120557	0.116432102584734	6/499	137/18122	5106/53358/2885/5564/5290/5313	PCK2/SHC3/GRB2/PRKAB1/PIK3CA/PKLR	6
KEGG_hsa01200	Carbon metabolism	-0.984402062330886	0.0778955578485946	0.122397108374113	5/499	115/18122	230/2023/5313/5631/5226	ALDOC/ENO1/PKLR/PRPS1/PGD	5
