ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5579010	Defective CYP24A1 causes HCAI	-0.940142840983622	0	0	1/510	1/18122	1591	CYP24A1	1
REACTOME_1222449	Mtb iron assimilation by chelation	-0.998409056058398	0	0	1/510	15/18122	4057	LTF	1
REACTOME_163680	AMPK inhibits chREBP transcriptional activation activity	-1.9830710746789	3.96623297165381e-05	0.000922671038668938	3/510	14/18122	6794/51085/51094	STK11/MLXIPL/ADIPOR1	3
REACTOME_391908	Prostanoid ligand receptors	-1.95521769614578	6.98029490274148e-05	0.00161171883799121	3/510	9/18122	5737/5733/5729	PTGFR/PTGER3/PTGDR	3
REACTOME_173736	Alternative complement activation	-1.59324740642384	0.000212420126363907	0.00435250245675448	2/510	5/18122	5199/1675	CFP/CFD	2
REACTOME_6799990	Metal sequestration by antimicrobial proteins	-1.43579850306084	0.000212420126363907	0.00435250245675448	2/510	6/18122	6280/4057	S100A9/LTF	2
REACTOME_3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	-1.62439477073612	0.000415949209477447	0.00743402613241031	2/510	7/18122	5970/170506	RELA/DHX36	2
REACTOME_9636667	Manipulation of host energy metabolism	-1.4588612234426	0.000790495991455395	0.00743402613241031	1/510	4/18122	2023	ENO1	1
REACTOME_166020	Transfer of LPS from LBP carrier to CD14	-0.90290297138839	0.000790495991455395	0.00743402613241031	1/510	2/18122	3929	LBP	1
REACTOME_8941413	Events associated with phagocytolytic activity of PMN cells	-0.966502566237985	0.000790495991455395	0.00743402613241031	1/510	2/18122	4025	LPO	1
REACTOME_964739	N-glycan trimming and elongation in the cis-Golgi	-0.972342008232178	0.000790495991455395	0.00743402613241031	1/510	2/18122	4245	MGAT1	1
REACTOME_198765	Signalling to ERK5	-1.09240719103725	0.000790495991455395	0.00743402613241031	1/510	3/18122	5598	MAPK7	1
REACTOME_5660862	Defective SLC7A7 causes lysinuric protein intolerance (LPI)	-1.160821745282	0.000790495991455395	0.00743402613241031	1/510	2/18122	6520	SLC3A2	1
REACTOME_977443	GABA receptor activation	-2.13856750248026	0.000861779088717644	0.00803115813401323	3/510	30/18122	2554/2559/2570	GABRA1/GABRA6/GABRR2	3
REACTOME_174577	Activation of C3 and C5	-1.70441482660412	0.00111652066935603	0.00992676710053895	2/510	8/18122	721/5199	C4B/CFP	2
REACTOME_163765	ChREBP activates metabolic gene expression	-1.40969571512256	0.00111652066935603	0.00992676710053895	2/510	10/18122	51085/5313	MLXIPL/PKLR	2
REACTOME_3595172	Defective CHST3 causes SEDCJD	-1.48277407628101	0.00111652066935603	0.00992676710053895	2/510	8/18122	1634/1464	DCN/CSPG4	2
REACTOME_3595174	Defective CHST14 causes EDS, musculocontractural type	-1.48277407628101	0.00111652066935603	0.00992676710053895	2/510	8/18122	1634/1464	DCN/CSPG4	2
REACTOME_3595177	Defective CHSY1 causes TPBS	-1.48277407628101	0.00111652066935603	0.00992676710053895	2/510	8/18122	1634/1464	DCN/CSPG4	2
REACTOME_5340588	Signaling by RNF43 mutants	-1.50411884247183	0.00111652066935603	0.00992676710053895	2/510	8/18122	7855/54894	FZD5/RNF43	2
REACTOME_166016	Toll Like Receptor 4 (TLR4) Cascade	-2.06225029925804	0.0013856432114664	0.0114108502755359	3/510	19/18122	9450/3929/1785	LY86/LBP/DNM2	3
REACTOME_5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	-1.99491096161894	0.0013856432114664	0.0114108502755359	3/510	22/18122	51330/329/8742	TNFRSF12A/BIRC2/TNFSF12	3
