ID	Description	NES	pvalue	p.adjust	GeneRatio	BgRatio	geneID	geneName	Count
REACTOME_5619092	Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	-0.273527103951125	0	0	1/499	1/18122	10479	SLC9A6	1
REACTOME_5683678	Defective ABCA3 causes SMDP3	-0.262900226390356	0	0	1/499	1/18122	21	ABCA3	1
REACTOME_5688399	Defective ABCA3 causes SMDP3	-0.262900226390356	0	0	1/499	1/18122	21	ABCA3	1
REACTOME_1222449	Mtb iron assimilation by chelation	-0.316219394964804	0	0	1/499	15/18122	4057	LTF	1
REACTOME_72165	mRNA Splicing - Minor Pathway	-1.02713551417416	6.15866634504928e-07	1.7842194537502e-05	5/499	52/18122	9410/85437/6634/154007/4809	SNRNP40/ZCRB1/SNRPD3/SNRNP48/SNU13	5
REACTOME_379716	Cytosolic tRNA aminoacylation	-1.08294482846729	6.53600770999972e-07	1.87533144294607e-05	6/499	24/18122	16/2617/8565/51520/6897/7407	AARS1/GARS1/YARS1/LARS1/TARS1/VARS1	6
REACTOME_6806664	Metabolism of vitamin K	-0.470395666302698	2.07558152981685e-05	0.000524875871607923	2/499	3/18122	154807/29914	VKORC1L1/UBIAD1	2
REACTOME_1606341	IRF3 mediated activation of type 1 IFN	-0.453032738591954	0.000199128566746086	0.00436911502331118	2/499	8/18122	29110/147945	TBK1/NLRP4	2
REACTOME_9707587	Regulation of HMOX1 expression and activity	-0.435933077215996	0.000199128566746086	0.00436911502331118	2/499	5/18122	81502/571	HM13/BACH1	2
REACTOME_72163	mRNA Splicing - Major Pathway	-1.36270298536708	0.000357178686611738	0.00680146295627497	7/499	183/18122	9410/6634/51645/11193/55749/54883/4809	SNRNP40/SNRPD3/PPIL1/WBP4/CCAR1/CWC25/SNU13	7
REACTOME_3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	-0.737252589443593	0.000390102732708707	0.00680146295627497	2/499	7/18122	5970/170506	RELA/DHX36	2
REACTOME_8851907	MET activates PI3K/AKT signaling	-0.420781973242623	0.000390102732708707	0.00680146295627497	2/499	6/18122	2885/5290	GRB2/PIK3CA	2
