Gene	D7	D14	EntrezID	Symbol	HumanGene	GeneID	Control	Treatment	Diff
IGFN1	0.0660315624715983	-0.0384095624715983	91156	IGFN1	IGFN1	91156	0.0660315624715983	-0.0384095624715983	-0.104441124943197
SNX29	0.13973275166504	0.13940724833496	92017	SNX29	SNX29	92017	0.13973275166504	0.13940724833496	-0.000325503330080357
MOV10	-0.0842240650307059	-0.160461934969294	4343	MOV10	MOV10	4343	-0.0842240650307059	-0.160461934969294	-0.0762378699385883
CADM4	-0.0683888179274939	-0.171254182072506	199731	CADM4	CADM4	199731	-0.0683888179274939	-0.171254182072506	-0.102865364145012
GFRA1	-0.0572132031039494	-0.143113796896051	2674	GFRA1	GFRA1	2674	-0.0572132031039494	-0.143113796896051	-0.0859005937921012
hsa-mir-7850	-0.088917835948394	-0.096194164051606	102465838	hsa-mir-7850	hsa-mir-7850	102465838	-0.088917835948394	-0.096194164051606	-0.00727632810321202
GPR141	-0.00329628778759229	-0.0891275122124077	353345	GPR141	GPR141	353345	-0.00329628778759229	-0.0891275122124077	-0.0858312244248154
STARD4	-0.259834409477727	0.153244409477727	134429	STARD4	STARD4	134429	-0.259834409477727	0.153244409477727	0.413078818955455
BCCIP	0.0476831060423207	-0.0661541060423207	56647	BCCIP	BCCIP	56647	0.0476831060423207	-0.0661541060423207	-0.113837212084641
TTC37	-0.0137053565719003	-0.1137824434281	9652	TTC37	TTC37	9652	-0.0137053565719003	-0.1137824434281	-0.100077086856199
LHFPL2	0.0330279715897292	-0.139171971589729	10184	LHFPL2	LHFPL2	10184	0.0330279715897292	-0.139171971589729	-0.172199943179458
VWA9	0.20014745010302	-0.0905574501030195	81556	VWA9	VWA9	81556	0.20014745010302	-0.0905574501030195	-0.290704900206039
SLC20A2	-0.12284427489351	0.29857427489351	6575	SLC20A2	SLC20A2	6575	-0.12284427489351	0.29857427489351	0.42141854978702
OR4N4	-0.0778915810718704	0.0468975810718704	283694	OR4N4	OR4N4	283694	-0.0778915810718704	0.0468975810718704	0.124789162143741
TPST2	0.241475588190719	0.188254411809281	8459	TPST2	TPST2	8459	0.241475588190719	0.188254411809281	-0.0532211763814378
DHCR24	0.171881340505102	0.00756945949489761	1718	DHCR24	DHCR24	1718	0.171881340505102	0.00756945949489761	-0.164311881010205
STK10	-0.0416548970786934	-0.177868102921307	6793	STK10	STK10	6793	-0.0416548970786934	-0.177868102921307	-0.136213205842613
C10orf10	0.257393406482064	0.0716215935179364	11067	C10orf10	C10orf10	11067	0.257393406482064	0.0716215935179364	-0.185771812964127
KTI12	-0.0576931168097664	-0.288903883190234	112970	KTI12	KTI12	112970	-0.0576931168097664	-0.288903883190234	-0.231210766380467
MRPL32	0.000569360142246646	-0.138254660142247	64983	MRPL32	MRPL32	64983	0.000569360142246646	-0.138254660142247	-0.138824020284493
CCL4L1	0.0183640004141723	0.0146529995858277	388372	CCL4L1	CCL4L1	388372	0.0183640004141723	0.0146529995858277	-0.00371100082834465
CD8B	0.0217584381375316	-0.125731438137532	926	CD8B	CD8B	926	0.0217584381375316	-0.125731438137532	-0.147489876275063
ZNF184	0.019464754305909	-0.144979754305909	7738	ZNF184	ZNF184	7738	0.019464754305909	-0.144979754305909	-0.164444508611818
TRAF3IP1	0.170748840820678	0.175461159179322	26146	TRAF3IP1	TRAF3IP1	26146	0.170748840820678	0.175461159179322	0.00471231835864308
