Gene	D7	D14	EntrezID	Symbol	HumanGene	GeneID	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
SLC24A3	-0.436123702726593	-0.044860297273407	57419	SLC24A3	SLC24A3	57419	-0.436123702726593	-0.044860297273407	0.391263405453186	18054	3644		midleft	40
BATF3	-0.349080464531996	-0.0280255354680036	55509	BATF3	BATF3	55509	-0.349080464531996	-0.0280255354680036	0.321054929063993	17924	1989		midleft	90
GALNT1	-0.398183169528633	-0.0311268304713673	2589	GALNT1	GALNT1	2589	-0.398183169528633	-0.0311268304713673	0.367056339057265	18011	3091		midleft	55
ZNF396	-0.363625740027081	-0.0896442599729185	252884	ZNF396	ZNF396	252884	-0.363625740027081	-0.0896442599729185	0.273981480054163	17731	16336		midleft	81
TACR1	-0.387115258753525	0.210845258753525	6869	TACR1	TACR1	6869	-0.387115258753525	0.210845258753525	0.597960517507051	18114	14241		midleft	61
UPK3BL	-0.576216027924825	-0.112843972075175	100134938	UPK3BL	UPK3BL	100134938	-0.576216027924825	-0.112843972075175	0.46337205584965	18092	9215		midleft	14
LSM10	-0.359615879541889	-0.0710471204581111	84967	LSM10	LSM10	84967	-0.359615879541889	-0.0710471204581111	0.288568759083778	17803	2563		midleft	85
TMEM161B	-0.335215712397918	-0.070545287602082	153396	TMEM161B	TMEM161B	153396	-0.335215712397918	-0.070545287602082	0.264670424795836	17675	14601		midleft	99
CCDC151	-0.386637395506814	0.0810813955068136	115948	CCDC151	CCDC151	115948	-0.386637395506814	0.0810813955068136	0.467718791013627	18093	15930		midleft	62
ST8SIA6	-0.320981520071472	0.0105148200714724	338596	ST8SIA6	ST8SIA6	338596	-0.320981520071472	0.0105148200714724	0.331496340142945	17944	16859		midleft	108
RECQL4	-0.343777218314492	0.000228218314491577	9401	RECQL4	RECQL4	9401	-0.343777218314492	0.000228218314491577	0.344005436628983	17975	7662		midleft	93
DLAT	-0.49770927134628	-0.0743507286537204	1737	DLAT	DLAT	1737	-0.49770927134628	-0.0743507286537204	0.423358542692559	18082	16018		midleft	25
TMEM50B	-0.38989463435677	-0.0711783656432304	757	TMEM50B	TMEM50B	757	-0.38989463435677	-0.0711783656432304	0.318716268713539	17916	13001		midleft	59
SEMA4D	-0.412539805248004	-0.0803401947519961	10507	SEMA4D	SEMA4D	10507	-0.412539805248004	-0.0803401947519961	0.332199610496008	17948	6102		midleft	47
CMSS1	-0.309637638450761	0.106244638450761	84319	CMSS1	CMSS1	84319	-0.309637638450761	0.106244638450761	0.415882276901521	18075	13805		midleft	119
PMCH	-0.392130519402066	-0.0960794805979341	5367	PMCH	PMCH	5367	-0.392130519402066	-0.0960794805979341	0.296051038804132	17834	5180		midleft	57
KDM5A	-0.352230102966355	-0.0522758970336448	5927	KDM5A	KDM5A	5927	-0.352230102966355	-0.0522758970336448	0.29995420593271	17857	5317		midleft	89
EARS2	-0.490386012299665	-0.216393987700335	124454	EARS2	EARS2	124454	-0.490386012299665	-0.216393987700335	0.273992024599331	17732	2549		midleft	29
hsa-mir-1243	-0.342062465150824	0.0837174651508236	100302188	hsa-mir-1243	hsa-mir-1243	100302188	-0.342062465150824	0.0837174651508236	0.425779930301647	18083	16850		midleft	95
NOTCH4	-0.320240494387757	-0.0352755056122431	4855	NOTCH4	NOTCH4	4855	-0.320240494387757	-0.0352755056122431	0.284964988775514	17790	8326		midleft	111
SLC12A8	-0.648081316126409	-0.270558683873591	84561	SLC12A8	SLC12A8	84561	-0.648081316126409	-0.270558683873591	0.377522632252817	18033	5043		midleft	7
ANTXR1	-0.372202339703216	-0.0861576602967845	84168	ANTXR1	ANTXR1	84168	-0.372202339703216	-0.0861576602967845	0.286044679406431	17796	17814		midleft	72
CTAGE1	-0.361779926357408	-0.0781610736425918	64693	CTAGE1	CTAGE1	64693	-0.361779926357408	-0.0781610736425918	0.283618852714816	17780	3847		midleft	83
ZNF575	-0.430651173190185	0.00311517319018511	284346	ZNF575	ZNF575	284346	-0.430651173190185	0.00311517319018511	0.43376634638037	18088	16603		midleft	42
ADCY2	-0.378376239850476	-0.0146217601495239	108	ADCY2	ADCY2	108	-0.378376239850476	-0.0146217601495239	0.363754479700952	18004	16827		midleft	68
AP3B2	-0.365478405959875	-0.0907415940401251	8120	AP3B2	AP3B2	8120	-0.365478405959875	-0.0907415940401251	0.27473681191975	17734	16944		midleft	79
