sgRNA	Gene	test1.D0	test1.T14	test1.D14	test3.D0	test3.T14	test3.D14
HGLibA_22853	IGFN1	1566	1270	1436	1508	1559	1311
HGLibA_46079	SNX29	210	181	246	243	286	205
HGLibA_29692	MOV10	144	115	110	123	242	124
HGLibA_06974	CADM4	339	277	260	288	311	265
HGLibA_18965	GFRA1	146	142	99	84	141	114
HGLibA_63991	hsa-mir-7850	36	43	26	7	35	42
HGLibA_19910	GPR141	83	107	86	119	103	74
HGLibA_47363	STARD4	208	180	217	276	169	229
HGLibA_04268	BCCIP	36	93	37	42	204	76
HGLibA_52125	TTC37	204	161	204	177	223	150
HGLibA_26433	LHFPL2	46	24	30	13	11	14
HGLibA_53919	VWA9	58	35	44	37	164	60
HGLibA_44532	SLC20A2	131	102	194	116	153	147
HGLibA_34049	OR4N4	29	27	37	49	30	44
HGLibA_51207	TPST2	274	308	327	305	223	262
HGLibA_13092	DHCR24	163	225	205	214	344	223
HGLibA_65359	NonTargetingControlGuideForHuman_0976	58	55	31	71	21	41
HGLibA_47450	STK10	367	336	260	355	411	296
HGLibA_05020	C10orf10	110	120	110	124	203	111
HGLibA_25869	KTI12	144	145	105	148	202	80
HGLibA_29951	MRPL32	112	105	101	103	218	55
HGLibA_08030	CCL4L1	269	270	289	214	282	145
HGLibA_08473	CD8B	305	314	323	276	391	236
HGLibA_55547	ZNF184	326	307	277	438	394	297
HGLibA_51248	TRAF3IP1	269	255	236	156	269	186
HGLibA_27649	LXN	70	135	110	144	259	151
HGLibA_11127	CRELD1	70	61	55	41	23	31
HGLibA_09427	CHFR	125	134	135	206	240	83
HGLibA_25748	KRTAP4-1	229	232	194	148	173	107
HGLibA_49859	TMEM106C	186	218	220	258	363	231
HGLibA_64724	NonTargetingControlGuideForHuman_0341	75	103	50	73	104	71
HGLibA_41230	RIBC1	241	275	231	187	502	192
HGLibA_63083	hsa-mir-6732	106	112	164	165	265	134
HGLibA_40220	RAP1A	133	144	160	205	414	191
