cut off: adjusted p-value<0.05 und absolute log2FC>1						
Gene ID	Average read counts per gene across all replicates	log2(FC)	P-value	P-adj	Gene symbol	Gene name
ENSG00000168036	6282.926113	-5.600373706	0	0	CTNNB1	catenin beta 1
ENSG00000131746	809.5231014	-4.346879758	6.39E-160	5.51E-156	TNS4	tensin 4
ENSG00000002745	1890.5211	-3.852615503	9.78E-146	5.62E-142	WNT16	Wnt family member 16
ENSG00000150051	677.2636046	-4.038976824	3.52E-111	1.52E-107	MKX	mohawk homeobox
ENSG00000150054	2950.381813	-3.079662069	5.87E-109	2.03E-105	MPP7	membrane palmitoylated protein 7
ENSG00000135318	6928.602313	2.374710891	8.85E-109	2.54E-105	NT5E	5'-nucleotidase ecto
ENSG00000135373	528.4375624	-6.203300551	9.49E-107	2.34E-103	EHF	ETS homologous factor
ENSG00000134954	744.7977519	4.179256269	1.12E-99	2.42E-96	ETS1	ETS proto-oncogene 1, transcription factor
ENSG00000105383	210.4289448	-5.122231856	4.18E-91	8.00E-88	CD33	CD33 molecule
ENSG00000205542	10081.39678	2.976717657	4.95E-90	8.54E-87	TMSB4X	thymosin beta 4 X-linked
ENSG00000075213	462.6392806	3.263486326	6.42E-86	1.01E-82	SEMA3A	semaphorin 3A
ENSG00000103018	13950.93798	-2.023312942	4.78E-82	6.86E-79	CYB5B	cytochrome b5 type B
ENSG00000067715	541.9109742	-3.326851907	2.75E-75	3.65E-72	SYT1	synaptotagmin 1
ENSG00000080819	9682.922401	-2.237967758	6.27E-73	7.73E-70	CPOX	coproporphyrinogen oxidase
ENSG00000069535	997.0067821	-3.969757086	2.86E-69	3.29E-66	MAOB	monoamine oxidase B
ENSG00000177494	241.1417322	-5.323049509	3.14E-68	3.38E-65	ZBED2	zinc finger BED-type containing 2
ENSG00000058085	4314.969765	2.402569784	8.97E-68	8.59E-65	LAMC2	laminin subunit gamma 2
ENSG00000168646	228.6860892	-4.556864668	8.96E-68	8.59E-65	AXIN2	axin 2
ENSG00000173334	8545.274585	-2.898473548	8.07E-66	7.33E-63	TRIB1	tribbles pseudokinase 1
ENSG00000169126	293.9177346	-2.899632104	3.28E-64	2.83E-61	ARMC4	outer dynein arm docking complex subunit 2
ENSG00000072952	129.3840383	-4.845747146	3.65E-62	3.00E-59	MRVI1	inositol 1,4,5-triphosphate receptor associated 1
ENSG00000108375	925.8856996	-4.203331369	3.59E-61	2.81E-58	RNF43	ring finger protein 43
ENSG00000135519	1602.918978	-2.255487725	8.35E-60	6.26E-57	KCNH3	potassium voltage-gated channel subfamily H member 3
ENSG00000156504	3952.510063	-1.974986272	4.27E-57	3.07E-54	FAM122B	PABIR family member 2
ENSG00000196569	430.9856031	-2.430652569	8.66E-57	5.97E-54	LAMA2	laminin subunit alpha 2
ENSG00000138271	327.5082797	2.755196114	1.53E-53	1.02E-50	GPR87	G protein-coupled receptor 87
ENSG00000180644	80.4364852	-4.771829713	2.55E-50	1.63E-47	PRF1	perforin 1
ENSG00000085063	8208.406067	2.279249116	4.78E-50	2.94E-47	CD59	CD59 molecule (CD59 blood group)
ENSG00000101928	1611.027148	-2.811073932	3.97E-48	2.36E-45	MOSPD1	motile sperm domain containing 1
ENSG00000151532	1879.400578	-1.679730721	1.44E-47	8.29E-45	VTI1A	vesicle transport through interaction with t-SNAREs 1A
ENSG00000108244	74.3274431	-4.560177221	1.81E-47	1.00E-44	KRT23	keratin 23
ENSG00000103534	819.0628203	1.902115303	5.95E-47	3.21E-44	TMC5	transmembrane channel like 5
ENSG00000122861	3410.579722	2.925878534	9.00E-47	4.70E-44	PLAU	plasminogen activator, urokinase
ENSG00000238266	76.41642427	4.193388651	6.74E-43	3.39E-40	LINC00707	long intergenic non-protein coding RNA 707
ENSG00000013588	20414.25063	2.253167931	6.88E-43	3.39E-40	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000072210	4300.850306	1.611622337	1.16E-42	5.58E-40	ALDH3A2	aldehyde dehydrogenase 3 family member A2
ENSG00000166949	3986.582381	2.043536204	7.01E-41	3.27E-38	SMAD3	SMAD family member 3
ENSG00000072657	211.2469332	3.617229644	5.44E-39	2.47E-36	TRHDE	thyrotropin releasing hormone degrading enzyme
ENSG00000171435	284.6218192	-2.910115842	2.11E-38	9.33E-36	KSR2	kinase suppressor of ras 2
ENSG00000138316	126.4562776	-2.974735467	4.44E-38	1.91E-35	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
ENSG00000170396	48.92364104	-4.324726204	6.79E-38	2.86E-35	ZNF804A	zinc finger protein 804A
ENSG00000170522	5246.846265	2.045152969	1.12E-37	4.61E-35	ELOVL6	ELOVL fatty acid elongase 6
ENSG00000104219	2456.421766	-1.811219905	7.78E-36	3.12E-33	ZDHHC2	zinc finger DHHC-type palmitoyltransferase 2
ENSG00000107719	1260.88787	-1.458220543	1.25E-35	4.90E-33	PALD1	phosphatase domain containing paladin 1
ENSG00000101871	1574.236001	-2.012488852	2.16E-35	8.26E-33	MID1	midline 1
ENSG00000196937	17866.09344	1.432559066	3.03E-35	1.13E-32	FAM3C	FAM3 metabolism regulating signaling molecule C
ENSG00000147010	4162.864316	1.537313306	7.56E-35	2.77E-32	SH3KBP1	SH3 domain containing kinase binding protein 1
ENSG00000012124	181.4059158	2.491362182	7.93E-35	2.85E-32	CD22	CD22 molecule
ENSG00000173898	596.5106211	1.711563516	8.92E-35	3.14E-32	SPTBN2	spectrin beta, non-erythrocytic 2
ENSG00000109452	1274.016703	2.60700065	9.27E-35	3.20E-32	INPP4B	inositol polyphosphate-4-phosphatase type II B
ENSG00000163435	2011.312893	2.32167142	1.79E-34	6.04E-32	ELF3	E74 like ETS transcription factor 3
ENSG00000099994	108.093379	-3.74447186	6.47E-34	2.14E-31	SUSD2	sushi domain containing 2
ENSG00000049130	18816.58736	-3.85407032	1.14E-33	3.71E-31	KITLG	KIT ligand
ENSG00000138685	1111.794465	1.952955725	1.25E-32	4.01E-30	FGF2	fibroblast growth factor 2
ENSG00000127955	4719.176905	-2.142884714	1.11E-31	3.48E-29	GNAI1	G protein subunit alpha i1
ENSG00000080503	562.7337271	1.989831744	2.00E-31	6.14E-29	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
ENSG00000250748	123.7318985	-3.023816764	4.07E-31	1.23E-28	RP11-230G5.2	
ENSG00000067182	3474.041735	1.290401706	2.20E-30	6.43E-28	TNFRSF1A	TNF receptor superfamily member 1A
ENSG00000171431	40.54880001	-3.973745556	2.17E-30	6.43E-28	KRT20	keratin 20
ENSG00000177426	2249.118607	-1.398069007	4.56E-30	1.31E-27	TGIF1	TGFB induced factor homeobox 1
ENSG00000088448	3486.499773	1.6210981	5.70E-30	1.61E-27	ANKRD10	ankyrin repeat domain 10
ENSG00000144136	7389.070302	1.031664112	7.30E-30	2.03E-27	SLC20A1	solute carrier family 20 member 1
ENSG00000156011	2376.868303	2.138049374	1.02E-29	2.78E-27	PSD3	pleckstrin and Sec7 domain containing 3
ENSG00000085276	329.063413	1.733683199	1.33E-29	3.59E-27	MECOM	MDS1 and EVI1 complex locus
ENSG00000123352	2768.22242	-1.370568838	1.65E-29	4.38E-27	SPATS2	spermatogenesis associated serine rich 2
ENSG00000173210	572.8837682	2.233571849	1.94E-29	5.06E-27	ABLIM3	actin binding LIM protein family member 3
ENSG00000196141	5586.962734	1.315117044	3.44E-29	8.73E-27	SPATS2L	spermatogenesis associated serine rich 2 like
ENSG00000018236	191.7744885	2.348291859	3.41E-29	8.73E-27	CNTN1	contactin 1
ENSG00000145687	93.14277599	2.620595964	7.11E-29	1.78E-26	SSBP2	single stranded DNA binding protein 2
ENSG00000181381	1205.754009	-2.224245041	8.74E-29	2.15E-26	DDX60L	DExD/H-box 60 like
ENSG00000107249	84.23604754	3.024247443	2.89E-28	7.01E-26	GLIS3	GLIS family zinc finger 3
ENSG00000135048	1071.621501	2.0152657	4.21E-28	1.01E-25	TMEM2	cell migration inducing hyaluronidase 2
